sprint;systemTime;modelTime;taskID;storyPoints;start/end;BackEnd Exp;FrontEnd Exp;Design Exp
1;237;0;4;3;start;1.5;1;1
1;9390;25;4;3;end;1.95;1;1.45
1;9398;25;12;5;start;1.95;1;1.45
1;24402;65;12;5;end;2.7;1;2.2
1;24411;65;9;1;start;2.7;1;2.2
1;27414;73;9;1;end;2.85;1.15;2.35
2;5;80;13;1;start;2.85;1.15;2.35
2;3006;88;13;1;end;3;1.3;2.35
2;3014;88;1;8;start;3;1.3;2.35
2;27018;152;1;8;end;4.2;1.3;3.55
3;15;160;25;4;start;4.2;1.3;3.55
3;12021;192;25;4;end;4.8;1.3;3.55
3;12025;192;22;3;start;4.8;1.3;3.55
3;21028;216;22;3;end;5.25;1.75;3.55
4;9;240;26;9;start;5.25;1.75;3.55
4;13515;276;26;9;end;6.6;3.1;3.55
5;7;320;31;2;start;6.6;3.1;3.55
5;3010;328;31;2;end;6.9;3.4;3.55
5;3016;328;28;6;start;6.9;3.4;3.55
5;12019;352;28;6;end;7.8;4.3;3.55
5;12024;352;30;7;start;7.8;4.3;3.55
5;22527;380;30;7;end;8.85;5.35;3.55
6;13;400;37;6;start;8.85;5.35;3.55
6;6016;416;37;6;end;9.75;5.35;3.55
7;10;480;43;4;start;9.75;5.35;3.55
7;3773;490;43;4;end;10.35;5.35;3.55
7;3776;490;38;6;start;10.35;5.35;3.55
7;12778;514;38;6;end;10.35;6.25;4.45
8;4;560;47;10;start;10.35;6.25;4.45
8;9757;586;47;10;end;11.85;6.25;4.45
9;8;640;54;1;start;11.85;6.25;4.45
9;760;642;54;1;end;11.85;6.4;4.45
9;761;642;58;1;start;11.85;6.4;4.45
9;1888;645;58;1;end;12;6.55;4.6
9;1892;645;51;6;start;12;6.55;4.6
9;7893;661;51;6;end;12;7.45;4.6
9;7899;661;56;6;start;12;7.45;4.6
9;16902;685;56;6;end;12;8.35;5.5
10;2;720;67;2;start;12;8.35;5.5
10;1881;725;67;2;end;12.3;8.65;5.8
10;1886;725;62;10;start;12.3;8.65;5.8
10;11638;751;62;10;end;12.3;8.65;7.3
11;24;800;79;2;start;12.3;8.65;7.3
11;1907;805;79;2;end;12.3;8.95;7.6
11;1910;805;69;5;start;12.3;8.95;7.6
11;6786;818;69;5;end;12.3;9.7;8.35
11;6788;818;78;9;start;12.3;9.7;8.35
11;15789;842;78;9;end;12.3;11.05;8.35
11;15791;842;80;10;start;12.3;11.05;8.35
11;25542;868;80;10;end;13.8;12.55;8.35
12;3;880;91;1;start;13.8;12.55;8.35
12;754;882;91;1;end;13.8;12.7;8.5
12;755;882;93;3;start;13.8;12.7;8.5
12;3756;890;93;3;end;13.8;13.15;8.95
12;3757;890;101;6;start;13.8;13.15;8.95
12;9759;906;101;6;end;14.7;13.15;8.95
12;9761;906;102;9;start;14.7;13.15;8.95
12;18761;930;102;9;end;14.7;13.15;10.3
13;3;960;122;1;start;14.7;13.15;10.3
13;754;962;122;1;end;14.85;13.3;10.3
13;757;962;131;3;start;14.85;13.3;10.3
13;3757;970;131;3;end;14.85;13.75;10.3
13;3761;970;133;6;start;14.85;13.75;10.3
13;9762;986;133;6;end;14.85;14.65;11.2
13;9773;986;120;6;start;14.85;14.65;11.2
13;15776;1002;120;6;end;15.75;15.55;12.1
13;15782;1002;121;9;start;15.75;15.55;12.1
13;24784;1026;121;9;end;17.1;16.9;13.45
14;17;1040;136;3;start;17.1;16.9;13.45
14;3019;1048;136;3;end;17.1;17.35;13.45
14;3023;1048;138;3;start;17.1;17.35;13.45
14;6025;1056;138;3;end;17.55;17.8;13.9
14;6026;1056;156;5;start;17.55;17.8;13.9
14;10903;1069;156;5;end;18.3;18.55;13.9
14;10907;1069;151;6;start;18.3;18.55;13.9
14;16909;1085;151;6;end;19.2;19.45;13.9
