sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,20,0,2,6,start,3,15,21
1,3437,9,2,6,end,3,15,21.9
1,3454,9,9,6,start,3,15,21.9
1,9458,25,9,6,end,3.9,15.9,22.8
2,19,80,18,1,start,3.9,15.9,22.8
2,770,82,18,1,end,4.05,16.05,22.95
2,777,82,21,5,start,4.05,16.05,22.95
2,5654,95,21,5,end,4.05,16.8,22.95
2,5661,95,15,8,start,4.05,16.8,22.95
2,13540,116,15,8,end,5.25,16.8,24.15
3,20,160,35,2,start,5.25,16.8,24.15
3,1897,165,35,2,end,5.55,17.1,24.15
3,1903,165,41,6,start,5.55,17.1,24.15
3,7905,181,41,6,end,5.55,18,24.15
3,7912,181,45,9,start,5.55,18,24.15
3,14665,199,45,9,end,6.9,18,25.5
4,12,240,54,1,start,6.9,18,25.5
4,767,242,54,1,end,6.9,18.15,25.5
4,773,242,65,4,start,6.9,18.15,25.5
4,3024,248,65,4,end,6.9,18.15,26.1
4,3030,248,69,5,start,6.9,18.15,26.1
4,6785,258,69,5,end,6.9,18.9,26.85
4,6791,258,63,5,start,6.9,18.9,26.85
4,11669,271,63,5,end,7.65,19.65,26.85
4,11675,271,61,9,start,7.65,19.65,26.85
4,18427,289,61,9,end,9,19.65,28.2
5,13,320,91,1,start,9,19.65,28.2
5,767,322,91,1,end,9,19.8,28.35
5,772,322,83,3,start,9,19.8,28.35
5,3024,328,83,3,end,9.45,19.8,28.8
5,3029,328,99,4,start,9.45,19.8,28.8
5,6782,338,99,4,end,9.45,20.4,28.8
5,6788,338,77,7,start,9.45,20.4,28.8
5,10915,349,77,7,end,9.45,21.45,28.8
5,10921,349,94,8,start,9.45,21.45,28.8
5,15424,361,94,8,end,9.45,22.65,28.8
5,15432,361,105,8,start,9.45,22.65,28.8
5,20684,375,105,8,end,10.65,23.85,30
6,27,400,141,8,start,10.65,23.85,30
6,4529,412,141,8,end,10.65,23.85,30
6,4536,412,111,4,start,10.65,23.85,30
6,6788,418,111,4,end,10.65,24.45,30
6,6793,418,124,7,start,10.65,24.45,30
6,13546,436,124,7,end,11.7,24.45,30
6,13552,436,121,9,start,11.7,24.45,30
6,19555,452,121,9,end,13.05,25.8,30
7,13,480,179,4,start,13.05,25.8,30
7,2264,486,179,4,end,13.05,25.8,30
7,2267,486,143,8,start,13.05,25.8,30
7,6769,498,143,8,end,13.05,25.8,30
7,6774,498,167,4,start,13.05,25.8,30
7,9027,504,167,4,end,13.05,26.4,30
7,9033,504,169,5,start,13.05,26.4,30
7,12035,512,169,5,end,13.05,27.15,30
7,12041,512,177,5,start,13.05,27.15,30
7,15794,522,177,5,end,13.8,27.9,30
7,15800,522,144,10,start,13.8,27.9,30
7,21802,538,144,10,end,13.8,29.4,30
8,23,560,224,10,start,13.8,29.4,30
8,6025,576,224,10,end,13.8,29.4,30
8,6031,576,194,5,start,13.8,29.4,30
8,9034,584,194,5,end,13.8,30,30
8,9040,584,203,6,start,13.8,30,30
8,12417,593,203,6,end,13.8,30,30
8,12423,593,225,8,start,13.8,30,30
8,16925,605,225,8,end,13.8,30,30
8,16930,605,195,9,start,13.8,30,30
8,22183,619,195,9,end,13.8,30,30
8,22188,619,186,7,start,13.8,30,30
8,26690,631,186,7,end,14.85,30,30
9,27,640,234,3,start,14.85,30,30
9,1529,644,234,3,end,14.85,30,30
