sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,1550,4,8,2,end,5.0,8.3,21.3
1,1560,4,5,6,start,5.0,8.3,21.3
1,7562,20,5,6,end,5.0,9.200000000000001,21.3
2,16,80,13,1,start,5.0,9.200000000000001,21.3
2,1517,84,13,1,end,5.15,9.350000000000001,21.3
2,1524,84,22,3,start,5.15,9.350000000000001,21.3
2,4526,92,22,3,end,5.6000000000000005,9.8,21.3
2,4534,92,14,8,start,5.6000000000000005,9.8,21.3
2,12413,113,14,8,end,6.800000000000001,9.8,21.3
2,12421,113,16,9,start,6.800000000000001,9.8,21.3
2,21424,137,16,9,end,8.15,11.15,21.3
3,26,160,43,4,start,8.15,11.15,21.3
3,3778,170,43,4,end,8.75,11.15,21.3
3,3784,170,38,6,start,8.75,11.15,21.3
3,8286,182,38,6,end,8.75,12.05,22.2
3,8292,182,44,10,start,8.75,12.05,22.2
3,15795,202,44,10,end,8.75,13.55,23.7
4,25,240,52,1,start,8.75,13.55,23.7
4,782,242,52,1,end,8.9,13.700000000000001,23.849999999999998
4,807,242,71,5,start,8.9,13.700000000000001,23.849999999999998
4,5684,255,71,5,end,9.65,13.700000000000001,23.849999999999998
4,5693,255,72,5,start,9.65,13.700000000000001,23.849999999999998
4,9447,265,72,5,end,9.65,14.450000000000001,24.599999999999998
4,9453,265,74,7,start,9.65,14.450000000000001,24.599999999999998
4,14705,279,74,7,end,10.700000000000001,14.450000000000001,25.65
5,20,320,95,2,start,10.700000000000001,14.450000000000001,25.65
5,1146,323,95,2,end,10.700000000000001,14.450000000000001,25.95
5,1151,323,93,3,start,10.700000000000001,14.450000000000001,25.95
5,3403,329,93,3,end,10.700000000000001,14.9,26.4
5,3408,329,100,6,start,10.700000000000001,14.9,26.4
5,9411,345,100,6,end,10.700000000000001,15.8,26.4
5,9418,345,82,10,start,10.700000000000001,15.8,26.4
5,15421,361,82,10,end,10.700000000000001,15.8,27.9
5,15427,361,104,7,start,10.700000000000001,15.8,27.9
5,22179,379,104,7,end,11.750000000000002,16.85,27.9
6,19,400,122,1,start,11.750000000000002,16.85,27.9
6,771,402,122,1,end,11.900000000000002,17.0,27.9
6,776,402,113,2,start,11.900000000000002,17.0,27.9
6,2278,406,113,2,end,12.200000000000003,17.0,28.2
6,2283,406,125,3,start,12.200000000000003,17.0,28.2
6,5285,414,125,3,end,12.650000000000002,17.0,28.2
6,5290,414,134,3,start,12.650000000000002,17.0,28.2
6,8293,422,134,3,end,13.100000000000001,17.45,28.2
6,8299,422,130,6,start,13.100000000000001,17.45,28.2
6,14301,438,130,6,end,14.000000000000002,18.349999999999998,28.2
6,14307,438,118,9,start,14.000000000000002,18.349999999999998,28.2
6,23310,462,118,9,end,15.350000000000001,19.7,28.2
7,20,480,152,1,start,15.350000000000001,19.7,28.2
7,771,482,152,1,end,15.350000000000001,19.849999999999998,28.2
7,776,482,150,1,start,15.350000000000001,19.849999999999998,28.2
7,1528,484,150,1,end,15.350000000000001,19.999999999999996,28.349999999999998
7,1533,484,162,1,start,15.350000000000001,19.999999999999996,28.349999999999998
7,2285,486,162,1,end,15.500000000000002,20.149999999999995,28.499999999999996
7,2288,486,154,3,start,15.500000000000002,20.149999999999995,28.499999999999996
7,3790,490,154,3,end,15.500000000000002,20.599999999999994,28.499999999999996
