sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,36,0,8,2,start,3.0,15.0,21.0
1,1539,4,8,2,end,3.0,15.3,21.3
1,1548,4,2,6,start,3.0,15.3,21.3
1,4927,13,2,6,end,3.0,15.3,22.2
1,4929,13,5,6,start,3.0,15.3,22.2
1,10930,29,5,6,end,3.0,16.2,22.2
2,18,80,18,1,start,3.0,16.2,22.2
2,769,82,18,1,end,3.15,16.349999999999998,22.349999999999998
2,776,82,24,1,start,3.15,16.349999999999998,22.349999999999998
2,1153,83,24,1,end,3.15,16.349999999999998,22.499999999999996
2,1160,83,32,4,start,3.15,16.349999999999998,22.499999999999996
2,3412,89,32,4,end,3.15,16.349999999999998,23.099999999999998
2,3420,89,16,9,start,3.15,16.349999999999998,23.099999999999998
2,16925,125,16,9,end,4.5,17.7,23.099999999999998
2,16935,125,29,1,start,4.5,17.7,23.099999999999998
2,17687,127,29,1,end,4.5,17.849999999999998,23.099999999999998
3,22,160,38,6,start,4.5,17.849999999999998,23.099999999999998
3,4523,172,38,6,end,4.5,18.749999999999996,23.999999999999996
3,4529,172,44,10,start,4.5,18.749999999999996,23.999999999999996
3,12034,192,44,10,end,4.5,20.249999999999996,25.499999999999996
3,12041,192,51,6,start,4.5,20.249999999999996,25.499999999999996
3,15418,201,51,6,end,4.5,21.149999999999995,25.499999999999996
4,20,240,69,5,start,4.5,21.149999999999995,25.499999999999996
4,3024,248,69,5,end,4.5,21.899999999999995,26.249999999999996
4,3028,248,72,5,start,4.5,21.899999999999995,26.249999999999996
4,6030,256,72,5,end,4.5,22.649999999999995,26.999999999999996
4,6036,256,79,2,start,4.5,22.649999999999995,26.999999999999996
4,7163,259,79,2,end,4.5,22.949999999999996,27.299999999999997
4,7169,259,77,7,start,4.5,22.949999999999996,27.299999999999997
4,11296,270,77,7,end,4.5,23.999999999999996,27.299999999999997
4,11302,270,62,10,start,4.5,23.999999999999996,27.299999999999997
4,17305,286,62,10,end,4.5,23.999999999999996,28.799999999999997
5,20,320,105,8,start,4.5,23.999999999999996,28.799999999999997
5,6397,337,105,8,end,5.7,25.199999999999996,29.999999999999996
5,6402,337,80,10,start,5.7,25.199999999999996,29.999999999999996
5,13905,357,80,10,end,7.2,26.699999999999996,29.999999999999996
