ModelTime, BackEnd, FrontEnd, Design
0,2.5,2.3,3.3
20,2.5,2.3,3.3
40,2.5,2.3,3.3
60,2.5,2.3,4.2
80,2.65,2.45,4.2
100,2.65,2.45,4.2
120,2.65,2.45,5.1
140,2.65,2.45,5.1
160,3.1,2.45,5.1
180,3.1,2.45,5.1
200,3.1,3.95,6.6
220,3.1,3.95,6.6
240,3.1,3.95,6.75
260,3.1,3.95,8.25
280,3.1,3.95,8.25
300,3.1,3.95,8.25
320,3.1,3.95,8.25
340,4.3,5.15,9.45
360,4.3,5.15,9.45
380,4.3,5.15,9.45
400,4.3,6.2,9.6
420,4.3,6.2,9.6
440,4.3,6.2,9.6
460,5.2,6.2,9.6
480,5.35,7.25,10.65
500,6.4,7.4,10.65
520,6.4,7.4,10.65
540,6.4,7.4,10.65
560,6.4,7.7,10.95
580,7.9,9.2,10.95
600,8.65,9.2,10.95
620,8.65,9.2,10.95
640,9.4,9.2,11.4
660,9.4,9.2,12.6
680,9.4,9.2,13.05
700,9.4,9.2,14.4
720,10.3,10.1,15.3
740,10.6,10.4,15.6
760,11.8,11.6,16.8
780,11.8,13.1,16.8
800,12.85,14.15,16.8
820,12.85,14.15,16.8
840,14.2,14.6,18.15
860,14.2,15.95,18.15
880,14.2,16.55,18.75
900,14.2,17.45,19.65
920,14.2,17.45,21.15
940,14.2,18.35,21.15
960,15.1,18.35,22.05
980,15.55,19.1,23.25
1000,15.55,19.1,24.45
1020,15.55,20.45,24.45
1040,15.7,21.65,25.5
1060,16.6,23.6,26.55
1080,16.6,24.5,26.55
1100,16.6,26,26.55
1120,17.65,27.05,27.6
1140,18.4,28.4,29.7
1160,18.55,29.45,29.85
1180,18.55,30,29.85
1200,19.3,30,30
1220,21.85,30,30
1240,23.35,30,30
1260,25.45,30,30
1280,26.95,30,30
1300,27.85,30,30
1320,30,30,30
1340,30,30,30
1360,30,30,30
1380,30,30,30
1400,30,30,30
1420,30,30,30
1440,30,30,30
1460,30,30,30
1480,30,30,30
1500,30,30,30
1520,30,30,30
1540,30,30,30
1560,30,30,30
1580,30,30,30
1600,30,30,30
1620,30,30,30
1640,30,30,30
1660,30,30,30
1680,30,30,30
1700,30,30,30
1720,30,30,30
1740,30,30,30
1760,30,30,30
1780,30,30,30
1800,30,30,30
1820,30,30,30
1840,30,30,30
1860,30,30,30
1880,30,30,30
1900,30,30,30
1920,30,30,30
1940,30,30,30
1960,30,30,30
1980,30,30,30
2000,30,30,30
