ModelTime, BackEnd, FrontEnd, Design
0,3,21,8.9
20,3,21,10.1
40,3,21,10.1
60,3,21,10.1
80,3.15,22.65,10.25
100,4.2,23.7,10.25
120,4.2,25.2,11.75
140,4.2,25.2,11.75
160,4.2,25.35,12.5
180,4.2,27,14.15
200,4.2,27,14.15
220,4.2,27,15.65
240,4.2,27.45,16.55
260,4.2,27.9,17.75
280,4.2,27.9,18.95
300,4.2,27.9,20.3
320,4.65,28.65,21.65
340,4.65,28.65,22.4
360,5.55,29.55,24.8
380,7.65,30,26.9
400,7.65,30,26.9
420,7.65,30,26.9
440,7.65,30,26.9
460,7.65,30,26.9
480,7.65,30,26.9
500,7.65,30,26.9
520,7.65,30,26.9
540,7.65,30,26.9
560,7.65,30,27.5
580,8.7,30,27.5
600,8.7,30,27.5
620,8.7,30,27.5
640,9.15,30,28.25
660,9.15,30,29.75
680,9.15,30,30
700,9.15,30,30
720,9.15,30,30
740,9.15,30,30
760,9.9,30,30
780,11.1,30,30
800,11.1,30,30
820,11.1,30,30
840,11.1,30,30
860,12.45,30,30
880,12.45,30,30
900,12.45,30,30
920,12.45,30,30
940,13.95,30,30
960,13.95,30,30
980,13.95,30,30
1000,13.95,30,30
1020,13.95,30,30
1040,13.95,30,30
1060,13.95,30,30
1080,13.95,30,30
1100,13.95,30,30
1120,14.7,30,30
1140,14.7,30,30
1160,14.7,30,30
1180,14.7,30,30
1200,14.7,30,30
1220,14.7,30,30
1240,14.7,30,30
1260,14.7,30,30
1280,14.7,30,30
1300,14.7,30,30
1320,14.7,30,30
1340,14.7,30,30
1360,14.7,30,30
1380,14.7,30,30
1400,14.7,30,30
1420,14.7,30,30
1440,14.7,30,30
1460,14.7,30,30
1480,14.7,30,30
1500,14.7,30,30
1520,14.7,30,30
1540,14.7,30,30
1560,14.7,30,30
1580,14.7,30,30
1600,14.7,30,30
1620,14.7,30,30
1640,14.7,30,30
1660,14.7,30,30
1680,14.7,30,30
1700,14.7,30,30
1720,14.7,30,30
1740,14.7,30,30
1760,14.7,30,30
1780,14.7,30,30
1800,14.7,30,30
1820,14.7,30,30
1840,14.7,30,30
1860,14.7,30,30
1880,14.7,30,30
1900,14.7,30,30
1920,14.7,30,30
1940,14.7,30,30
1960,14.7,30,30
1980,14.7,30,30
2000,14.7,30,30
