sep=,
ModelTime, BackEnd, FrontEnd, Design
0,22.2,3.0,6.2
20,22.2,3.0,7.1
40,22.2,3.0,7.1
60,22.2,3.0,7.1
80,23.249999999999996,3.3,8.0
100,24.749999999999996,4.35,8.0
120,26.849999999999994,4.35,8.0
140,26.849999999999994,4.35,8.0
160,26.849999999999994,4.35,8.0
180,29.249999999999996,5.699999999999999,9.35
200,29.999999999999996,5.699999999999999,9.35
220,29.999999999999996,5.699999999999999,10.85
240,30.0,6.749999999999999,11.9
260,30.0,8.25,11.9
280,30.0,8.85,11.9
300,30.0,10.049999999999999,11.9
320,30.0,10.649999999999999,12.5
340,30.0,12.15,14.000000000000002
360,30.0,13.5,14.000000000000002
380,30.0,13.5,14.750000000000002
400,30.0,14.549999999999999,15.8
420,30.0,14.549999999999999,15.8
440,30.0,16.049999999999997,17.3
460,30.0,17.4,17.3
480,30.0,18.15,18.05
500,30.0,19.2,19.1
520,30.0,21.15,19.1
540,30.0,21.15,19.1
560,30.0,21.75,19.700000000000003
580,30.0,24.0,21.950000000000003
600,30.0,24.75,23.150000000000002
620,30.0,24.75,23.150000000000002
640,30.0,26.55,24.950000000000003
660,30.0,27.0,26.450000000000003
680,30.0,27.0,28.25
700,30.0,27.0,28.25
720,30.0,28.5,29.75
740,30.0,30.0,30.0
760,30.0,30.0,30.0
780,30.0,30.0,30.0
800,30.0,30.0,30.0
820,30.0,30.0,30.0
840,30.0,30.0,30.0
860,30.0,30.0,30.0
880,30.0,30.0,30.0
900,30.0,30.0,30.0
920,30.0,30.0,30.0
940,30.0,30.0,30.0
960,30.0,30.0,30.0
980,30.0,30.0,30.0
1000,30.0,30.0,30.0
1020,30.0,30.0,30.0
1040,30.0,30.0,30.0
1060,30.0,30.0,30.0
1080,30.0,30.0,30.0
1100,30.0,30.0,30.0
1120,30.0,30.0,30.0
1140,30.0,30.0,30.0
1160,30.0,30.0,30.0
1180,30.0,30.0,30.0
1200,30.0,30.0,30.0
1220,30.0,30.0,30.0
1240,30.0,30.0,30.0
1260,30.0,30.0,30.0
1280,30.0,30.0,30.0
1300,30.0,30.0,30.0
1320,30.0,30.0,30.0
1340,30.0,30.0,30.0
1360,30.0,30.0,30.0
1380,30.0,30.0,30.0
1400,30.0,30.0,30.0
1420,30.0,30.0,30.0
1440,30.0,30.0,30.0
1460,30.0,30.0,30.0
1480,30.0,30.0,30.0
1500,30.0,30.0,30.0
1520,30.0,30.0,30.0
1540,30.0,30.0,30.0
1560,30.0,30.0,30.0
1580,30.0,30.0,30.0
1600,30.0,30.0,30.0
1620,30.0,30.0,30.0
1640,30.0,30.0,30.0
1660,30.0,30.0,30.0
1680,30.0,30.0,30.0
1700,30.0,30.0,30.0
1720,30.0,30.0,30.0
1740,30.0,30.0,30.0
1760,30.0,30.0,30.0
1780,30.0,30.0,30.0
1800,30.0,30.0,30.0
1820,30.0,30.0,30.0
1840,30.0,30.0,30.0
1860,30.0,30.0,30.0
1880,30.0,30.0,30.0
1900,30.0,30.0,30.0
1920,30.0,30.0,30.0
1940,30.0,30.0,30.0
1960,30.0,30.0,30.0
1980,30.0,30.0,30.0
2000,30.0,30.0,30.0
