sep=,
ModelTime, BackEnd, FrontEnd, Design
0,3,15,21.9
20,3.9,15.9,22.8
40,3.9,15.9,22.8
60,3.9,15.9,22.8
80,4.05,16.8,22.95
100,5.25,16.8,24.15
120,5.25,16.8,24.15
140,5.25,16.8,24.15
160,5.55,17.1,24.15
180,6.9,18,25.5
200,6.9,18,25.5
220,6.9,18,25.5
240,6.9,18.9,26.85
260,7.65,19.65,26.85
280,9,19.65,28.2
300,9,19.65,28.2
320,9.45,20.4,28.8
340,9.45,21.45,28.8
360,10.65,23.85,30
380,10.65,23.85,30
400,10.65,24.45,30
420,11.7,24.45,30
440,13.05,25.8,30
460,13.05,25.8,30
480,13.05,25.8,30
500,13.05,27.15,30
520,13.8,29.4,30
540,13.8,29.4,30
560,13.8,29.4,30
580,13.8,30,30
600,13.8,30,30
620,14.85,30,30
640,14.85,30,30
660,14.85,30,30
680,14.85,30,30
700,15.9,30,30
720,15.9,30,30
740,15.9,30,30
760,15.9,30,30
780,15.9,30,30
800,15.9,30,30
820,15.9,30,30
840,16.8,30,30
860,18.45,30,30
880,18.45,30,30
900,18.45,30,30
920,18.45,30,30
940,19.65,30,30
960,19.65,30,30
980,19.65,30,30
1000,19.65,30,30
1020,19.65,30,30
1040,19.65,30,30
1060,19.65,30,30
1080,19.65,30,30
1100,19.65,30,30
1120,19.65,30,30
1140,19.65,30,30
1160,19.65,30,30
1180,19.65,30,30
1200,19.65,30,30
1220,19.65,30,30
1240,19.65,30,30
1260,19.65,30,30
1280,19.65,30,30
1300,19.65,30,30
1320,19.65,30,30
1340,19.65,30,30
1360,19.65,30,30
1380,19.65,30,30
1400,19.65,30,30
1420,19.65,30,30
1440,19.65,30,30
1460,19.65,30,30
1480,19.65,30,30
1500,19.65,30,30
1520,19.65,30,30
1540,19.65,30,30
1560,19.65,30,30
1580,19.65,30,30
1600,19.65,30,30
1620,19.65,30,30
1640,19.65,30,30
1660,19.65,30,30
1680,19.65,30,30
1700,19.65,30,30
1720,19.65,30,30
1740,19.65,30,30
1760,19.65,30,30
1780,19.65,30,30
1800,19.65,30,30
1820,19.65,30,30
1840,19.65,30,30
1860,19.65,30,30
1880,19.65,30,30
1900,19.65,30,30
1920,19.65,30,30
1940,19.65,30,30
1960,19.65,30,30
1980,19.65,30,30
2000,19.65,30,30
