sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,254,0,5,6,start,3.0,1.0,1.5
1,18390,49,5,6,end,3.0,1.9,1.5
1,18412,49,10,3,start,3.0,1.9,1.5
1,27415,73,10,3,end,3.0,1.9,1.95
2,10,80,14,8,start,3.0,1.9,1.95
2,24012,144,14,8,end,4.2,1.9,1.95
2,24019,144,17,2,start,4.2,1.9,1.95
2,30022,160,17,2,end,4.2,2.1999999999999997,2.25
4,12,240,23,10,start,4.2,2.1999999999999997,2.25
4,30017,320,23,10,end,4.2,2.1999999999999997,3.75
5,15,320,29,5,start,4.2,2.1999999999999997,3.75
5,15018,360,29,5,end,4.2,2.9499999999999997,3.75
6,20,400,34,8,start,4.2,2.9499999999999997,3.75
6,24024,464,34,8,end,5.4,4.1499999999999995,4.95
7,27,480,40,6,start,5.4,4.1499999999999995,4.95
7,10529,508,40,6,end,6.300000000000001,5.049999999999999,5.85
8,6,560,45,9,start,6.300000000000001,5.049999999999999,5.85
8,9008,584,45,9,end,7.65,5.049999999999999,7.199999999999999
9,12,640,59,1,start,7.65,5.049999999999999,7.199999999999999
9,764,642,59,1,end,7.65,5.199999999999999,7.199999999999999
9,765,642,53,3,start,7.65,5.199999999999999,7.199999999999999
9,3766,650,53,3,end,7.65,5.199999999999999,7.6499999999999995
9,3772,650,55,7,start,7.65,5.199999999999999,7.6499999999999995
9,10524,668,55,7,end,8.700000000000001,5.199999999999999,7.6499999999999995
10,10,720,60,10,start,8.700000000000001,5.199999999999999,7.6499999999999995
10,9762,746,60,10,end,8.700000000000001,5.199999999999999,9.149999999999999
11,32,800,71,5,start,8.700000000000001,5.199999999999999,9.149999999999999
11,4908,813,71,5,end,9.450000000000001,5.199999999999999,9.149999999999999
11,4911,813,72,5,start,9.450000000000001,5.199999999999999,9.149999999999999
11,9787,826,72,5,end,9.450000000000001,5.949999999999999,9.899999999999999
11,9789,826,82,10,start,9.450000000000001,5.949999999999999,9.899999999999999
11,19540,852,82,10,end,9.450000000000001,5.949999999999999,11.399999999999999
12,4,880,95,2,start,9.450000000000001,5.949999999999999,11.399999999999999
12,1880,885,95,2,end,9.450000000000001,5.949999999999999,11.7
12,1882,885,88,5,start,9.450000000000001,5.949999999999999,11.7
12,6757,898,88,5,end,9.450000000000001,5.949999999999999,12.45
12,6758,898,92,8,start,9.450000000000001,5.949999999999999,12.45
12,14635,919,92,8,end,9.450000000000001,5.949999999999999,13.649999999999999
12,14637,919,105,8,start,9.450000000000001,5.949999999999999,13.649999999999999
12,22513,940,105,8,end,10.65,7.1499999999999995,14.849999999999998
13,4,960,113,2,start,10.65,7.1499999999999995,14.849999999999998
13,1880,965,113,2,end,10.950000000000001,7.1499999999999995,15.149999999999999
13,1882,965,126,2,start,10.950000000000001,7.1499999999999995,15.149999999999999
13,3758,970,126,2,end,11.250000000000002,7.449999999999999,15.45
13,3760,970,130,6,start,11.250000000000002,7.449999999999999,15.45
13,9761,986,130,6,end,12.150000000000002,8.35,15.45
13,9767,986,112,6,start,12.150000000000002,8.35,15.45
13,15769,1002,112,6,end,13.050000000000002,9.25,16.349999999999998
13,15775,1002,109,9,start,13.050000000000002,9.25,16.349999999999998
13,24778,1026,109,9,end,14.400000000000002,10.6,17.7
14,22,1040,154,3,start,14.400000000000002,10.6,17.7
14,3023,1048,154,3,end,14.400000000000002,11.049999999999999,17.7
14,3041,1048,146,6,start,14.400000000000002,11.049999999999999,17.7
14,9043,1064,146,6,end,14.400000000000002,11.049999999999999,18.599999999999998
14,9044,1064,147,8,start,14.400000000000002,11.049999999999999,18.599999999999998
14,16921,1085,147,8,end,14.400000000000002,11.049999999999999,19.799999999999997
14,16924,1085,135,10,start,14.400000000000002,11.049999999999999,19.799999999999997
14,26677,1111,135,10,end,15.900000000000002,11.049999999999999,21.299999999999997
16,15,1200,196,1,start,15.900000000000002,11.049999999999999,21.299999999999997
16,768,1202,196,1,end,15.900000000000002,11.2,21.299999999999997
16,773,1202,211,2,start,15.900000000000002,11.2,21.299999999999997
16,2274,1206,211,2,end,15.900000000000002,11.5,21.599999999999998
