sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.737516844520523,54,73,7
2,0.6490264603095357,52,80,0
3,0.2122029159177152,17,80,0
4,0.39973351099267157,32,80,0
5,0.3994673768308922,24,60,20
6,0.42138338604960873,27,64,16
7,0.6657050926439587,32,48,32
8,0.5747509412587879,46,80,0
9,0.7344817195660908,39,53,27
10,1.4853089442604062,55,37,43
11,1.4977402515502927,114,76,4
12,1.8214055448098,113,62,18
13,2.0689851984323275,145,70,10
14,2.009820239680426,161,80,0
15,1.6810475580572315,133,79,1
16,1.7159541046305151,134,78,2
17,2.2445279391847612,137,61,19
18,3.080258810572687,179,58,22
19,3.0481685900652282,243,79,1
20,3.0058601643540346,238,79,1
21,2.4887144589677943,197,79,1
22,0.6424288569525078,18,28,52
