sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_219,219,1,1,3,BackEnd Design
RandomTask_218,218,1,1,6,BackEnd FrontEnd
RandomTask_228,228,1,2,7,FrontEnd Design
RandomTask_220,220,1,3,1,BackEnd Design
RandomTask_232,232,1,3,2,BackEnd FrontEnd Design
RandomTask_213,213,1,4,3,FrontEnd Design
RandomTask_217,217,1,4,6,BackEnd Design
RandomTask_227,227,1,5,7,BackEnd FrontEnd
RandomTask_212,212,1,10,4,BackEnd
RandomTask_226,226,1,4,1,BackEnd FrontEnd Design
RandomTask_214,214,1,6,2,BackEnd Design
RandomTask_224,224,1,10,3,Design
RandomTask_216,216,1,6,6,BackEnd FrontEnd
RandomTask_221,221,1,7,7,BackEnd FrontEnd
RandomTask_222,222,1,10,4,BackEnd
RandomTask_231,231,1,7,3,BackEnd FrontEnd Design
RandomTask_223,223,1,9,6,BackEnd Design
RandomTask_229,229,1,10,1,BackEnd
RandomTask_233,233,1,8,7,BackEnd FrontEnd
RandomTask_225,225,1,8,2,FrontEnd Design
RandomTask_230,230,1,9,4,BackEnd FrontEnd
RandomTask_215,215,1,10,3,FrontEnd Design
