sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,17,0,12,5,start,3.0,1.0,1.5
1,15056,40,12,5,end,3.75,1.0,2.25
2,11,80,5,4,start,3.75,1.0,2.25
2,12013,112,5,4,end,3.75,1.6,2.25
2,12020,112,10,6,start,3.75,1.6,2.25
2,30024,160,10,6,end,3.75,1.6,3.15
3,30,160,19,2,start,3.75,1.6,3.15
3,6034,176,19,2,end,3.75,1.9000000000000001,3.15
4,12,240,28,6,start,3.75,1.9000000000000001,3.15
4,18025,288,28,6,end,4.65,2.8,3.15
5,12,320,35,2,start,4.65,2.8,3.15
5,6015,336,35,2,end,4.95,3.0999999999999996,3.15
5,6017,336,36,3,start,4.95,3.0999999999999996,3.15
5,15018,360,36,3,end,5.4,3.0999999999999996,3.15
6,19,400,45,9,start,5.4,3.0999999999999996,3.15
6,13522,436,45,9,end,6.75,3.0999999999999996,4.5
6,13528,436,47,10,start,6.75,3.0999999999999996,4.5
6,23281,462,47,10,end,8.25,3.0999999999999996,4.5
7,4,480,52,1,start,8.25,3.0999999999999996,4.5
7,1504,484,52,1,end,8.4,3.2499999999999996,4.65
7,1506,484,63,5,start,8.4,3.2499999999999996,4.65
7,9007,504,63,5,end,9.15,3.9999999999999996,4.65
7,9009,504,51,6,start,9.15,3.9999999999999996,4.65
7,27011,552,51,6,end,9.15,4.8999999999999995,4.65
8,3,560,76,1,start,9.15,4.8999999999999995,4.65
8,3004,568,76,1,end,9.15,5.05,4.65
8,3005,568,69,5,start,9.15,5.05,4.65
8,10507,588,69,5,end,9.15,5.8,5.4
8,10509,588,78,9,start,9.15,5.8,5.4
8,19510,612,78,9,end,9.15,7.1499999999999995,5.4
9,14,640,84,6,start,9.15,7.1499999999999995,5.4
9,6015,656,84,6,end,10.05,7.1499999999999995,6.300000000000001
9,6016,656,94,8,start,10.05,7.1499999999999995,6.300000000000001
9,13893,677,94,8,end,10.05,8.35,6.300000000000001
9,13895,677,100,6,start,10.05,8.35,6.300000000000001
9,19896,693,100,6,end,10.05,9.25,6.300000000000001
10,8,720,115,10,start,10.05,9.25,6.300000000000001
10,9760,746,115,10,end,11.55,10.75,7.800000000000001
10,9760,746,114,2,start,11.55,10.75,7.800000000000001
10,11636,751,114,2,end,11.55,11.05,8.100000000000001
10,11636,751,127,2,start,11.55,11.05,8.100000000000001
10,13512,756,127,2,end,11.55,11.350000000000001,8.400000000000002
10,13513,756,107,6,start,11.55,11.350000000000001,8.400000000000002
10,19514,772,107,6,end,11.55,12.250000000000002,8.400000000000002
10,19516,772,123,10,start,11.55,12.250000000000002,8.400000000000002
10,29268,798,123,10,end,11.55,12.250000000000002,9.900000000000002
11,7,800,150,1,start,11.55,12.250000000000002,9.900000000000002
11,759,802,150,1,end,11.55,12.400000000000002,10.050000000000002
11,760,802,153,4,start,11.55,12.400000000000002,10.050000000000002
11,4511,812,153,4,end,12.15,12.400000000000002,10.650000000000002
11,4512,812,135,10,start,12.15,12.400000000000002,10.650000000000002
11,14264,838,135,10,end,13.65,12.400000000000002,12.150000000000002
11,14265,838,143,8,start,13.65,12.400000000000002,12.150000000000002
11,22142,859,143,8,end,13.65,12.400000000000002,13.350000000000001
12,20,880,161,7,start,13.65,12.400000000000002,13.350000000000001
12,6773,898,161,7,end,14.700000000000001,13.450000000000003,13.350000000000001
12,6778,898,172,10,start,14.700000000000001,13.450000000000003,13.350000000000001
12,16531,924,172,10,end,14.700000000000001,14.950000000000003,14.850000000000001
