sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6110335195530727,49,80,0
2,0.47039017627252916,38,80,0
3,0.5134325044404974,37,72,8
4,0.5135275176727487,37,72,8
5,0.9736369083283404,39,40,40
6,1.1351253178350889,75,66,14
7,1.2077965348733897,87,72,8
8,1.5916376935928116,94,59,21
9,1.8768162738133678,124,66,14
10,1.8962689626896267,148,78,2
11,2.0122807649367953,149,74,6
12,2.172368564870478,159,73,7
13,2.202718393552353,172,78,2
14,2.7286902286902284,175,64,16
15,3.2708921747798634,210,64,16
16,3.3293605554979795,257,77,3
17,3.603636901241869,260,72,8
18,3.33000333000333,80,24,56
