sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_238,238,1,3,6,BackEnd FrontEnd Design
RandomTask_241,241,1,4,7,BackEnd Design
RandomTask_248,248,1,1,7,BackEnd Design
RandomTask_252,252,1,5,1,BackEnd FrontEnd Design
RandomTask_250,250,1,9,2,BackEnd FrontEnd Design
RandomTask_242,242,1,7,3,FrontEnd Design
RandomTask_236,236,1,5,1,FrontEnd Design
RandomTask_251,251,1,8,4,BackEnd FrontEnd Design
RandomTask_254,254,1,2,3,FrontEnd Design
RandomTask_259,259,1,9,7,BackEnd Design
RandomTask_256,256,1,10,6,BackEnd Design
RandomTask_263,263,1,2,1,BackEnd Design
RandomTask_240,240,1,2,4,BackEnd FrontEnd
RandomTask_262,262,1,7,2,FrontEnd Design
RandomTask_237,237,1,3,2,BackEnd
RandomTask_255,255,1,7,3,FrontEnd
RandomTask_235,235,1,7,7,BackEnd
RandomTask_243,243,1,3,2,FrontEnd
RandomTask_264,264,1,7,6,BackEnd FrontEnd
RandomTask_239,239,1,10,1,Design
RandomTask_260,260,1,3,6,Design
RandomTask_246,246,1,5,2,BackEnd
RandomTask_245,245,1,6,7,Design
RandomTask_247,247,1,7,4,BackEnd
RandomTask_258,258,1,1,7,Design
RandomTask_267,267,1,1,4,BackEnd
RandomTask_261,261,1,6,1,Design
RandomTask_244,244,1,10,3,FrontEnd
RandomTask_249,249,1,9,6,BackEnd
RandomTask_257,257,1,9,2,Design
RandomTask_253,253,1,9,7,FrontEnd
RandomTask_265,265,1,6,4,FrontEnd
RandomTask_266,266,1,9,1,FrontEnd
