sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,13,0,6,6,start,25.0,2.0,5.0
1,3419,9,6,6,end,25.9,2.0,5.0
1,3423,9,1,8,start,25.9,2.0,5.0
1,11300,30,1,8,end,27.099999999999998,2.0,6.2
2,20,80,13,1,start,27.099999999999998,2.0,6.2
2,771,82,13,1,end,27.249999999999996,2.15,6.2
2,776,82,25,4,start,27.249999999999996,2.15,6.2
2,3027,88,25,4,end,27.849999999999998,2.15,6.2
2,3035,88,37,6,start,27.849999999999998,2.15,6.2
2,6412,97,37,6,end,28.749999999999996,2.15,6.2
2,6432,97,33,8,start,28.749999999999996,2.15,6.2
2,10935,109,33,8,end,29.949999999999996,2.15,6.2
2,10946,109,16,9,start,29.949999999999996,2.15,6.2
2,19949,133,16,9,end,30.0,3.5,6.2
3,14,160,43,4,start,30.0,3.5,6.2
3,2274,166,43,4,end,30.0,3.5,6.2
3,2282,166,46,7,start,30.0,3.5,6.2
3,6413,177,46,7,end,30.0,3.5,6.2
3,6415,177,47,10,start,30.0,3.5,6.2
3,12416,193,47,10,end,30.0,3.5,6.2
3,12420,193,45,9,start,30.0,3.5,6.2
3,19172,211,45,9,end,30.0,3.5,7.55
3,19174,211,50,9,start,30.0,3.5,7.55
3,28175,235,50,9,end,30.0,4.85,8.9
5,3,320,141,8,start,30.0,4.85,8.9
5,7880,341,141,8,end,30.0,4.85,10.1
5,7884,341,130,6,start,30.0,4.85,10.1
5,13886,357,130,6,end,30.0,5.75,10.1
5,13890,357,112,6,start,30.0,5.75,10.1
5,18766,370,112,6,end,30.0,6.65,11.0
5,18772,370,135,10,start,30.0,6.65,11.0
5,26275,390,135,10,end,30.0,6.65,12.5
5,26281,390,140,4,start,30.0,6.65,12.5
5,29283,398,140,4,end,30.0,7.25,13.1
8,9,560,182,3,start,30.0,7.25,13.1
8,1511,564,182,3,end,30.0,7.25,13.1
8,1513,564,178,3,start,30.0,7.25,13.1
8,3764,570,178,3,end,30.0,7.7,13.549999999999999
8,3768,570,177,5,start,30.0,7.7,13.549999999999999
8,7520,580,177,5,end,30.0,8.45,13.549999999999999
9,13,640,206,4,start,30.0,8.45,13.549999999999999
9,2265,646,206,4,end,30.0,8.45,13.549999999999999
9,2267,646,205,9,start,30.0,8.45,13.549999999999999
9,7519,660,205,9,end,30.0,8.45,13.549999999999999
9,7524,660,192,6,start,30.0,8.45,13.549999999999999
9,12026,672,192,6,end,30.0,8.45,14.45
9,12031,672,199,8,start,30.0,8.45,14.45
9,18033,688,199,8,end,30.0,8.45,15.649999999999999
10,14,720,237,3,start,30.0,8.45,15.649999999999999
10,1515,724,237,3,end,30.0,8.45,15.649999999999999
10,1520,724,247,7,start,30.0,8.45,15.649999999999999
10,5648,735,247,7,end,30.0,8.45,15.649999999999999
10,5654,735,229,10,start,30.0,8.45,15.649999999999999
10,11657,751,229,10,end,30.0,8.45,15.649999999999999
10,11663,751,241,4,start,30.0,8.45,15.649999999999999
10,14665,759,241,4,end,30.0,8.45,16.25
10,14671,759,227,5,start,30.0,8.45,16.25
10,18423,769,227,5,end,30.0,9.2,16.25
10,18429,769,230,9,start,30.0,9.2,16.25
10,25182,787,230,9,end,30.0,10.549999999999999,16.25
11,32,800,289,2,start,30.0,10.549999999999999,16.25
11,1159,803,289,2,end,30.0,10.549999999999999,16.25
11,1168,803,300,3,start,30.0,10.549999999999999,16.25
11,2681,807,300,3,end,30.0,10.549999999999999,16.25
11,2687,807,295,7,start,30.0,10.549999999999999,16.25
11,6815,818,295,7,end,30.0,10.549999999999999,16.25
11,6821,818,288,10,start,30.0,10.549999999999999,16.25
11,12823,834,288,10,end,30.0,10.549999999999999,16.25
11,12829,834,281,3,start,30.0,10.549999999999999,16.25
11,15082,840,281,3,end,30.0,10.999999999999998,16.7
11,15088,840,301,6,start,30.0,10.999999999999998,16.7
11,19590,852,301,6,end,30.0,11.899999999999999,16.7
11,19636,852,303,10,start,30.0,11.899999999999999,16.7
11,29389,878,303,10,end,30.0,11.899999999999999,18.2
12,15,880,306,2,start,30.0,11.899999999999999,18.2
12,1142,883,306,2,end,30.0,11.899999999999999,18.2
12,1148,883,328,5,start,30.0,11.899999999999999,18.2
12,4149,891,328,5,end,30.0,11.899999999999999,18.2
12,4155,891,321,1,start,30.0,11.899999999999999,18.2
12,4908,893,321,1,end,30.0,12.049999999999999,18.2
12,4915,893,327,1,start,30.0,12.049999999999999,18.2
12,5667,895,327,1,end,30.0,12.2,18.2
12,5682,895,336,3,start,30.0,12.2,18.2
12,7933,901,336,3,end,30.0,12.649999999999999,18.2
12,7939,901,316,4,start,30.0,12.649999999999999,18.2
12,10941,909,316,4,end,30.0,13.249999999999998,18.2
12,10947,909,312,4,start,30.0,13.249999999999998,18.2
12,13949,917,312,4,end,30.0,13.849999999999998,18.8
12,13955,917,313,5,start,30.0,13.849999999999998,18.8
12,17708,927,313,5,end,30.0,14.599999999999998,19.55
12,17714,927,334,10,start,30.0,14.599999999999998,19.55
12,25217,947,334,10,end,30.0,16.099999999999998,19.55
15,5,1120,376,3,start,30.0,16.099999999999998,19.55
15,2257,1126,376,3,end,30.0,16.549999999999997,20.0
