sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,1.9658886894075405,73,37,43
2,2.430815258040389,156,64,16
3,2.5005182421227197,193,77,3
4,2.3343097766385936,187,80,0
5,2.33688146326675,185,79,1
6,1.072675868950607,86,80,0
7,1.1287770617064794,78,69,11
8,2.143274663895564,88,41,39
9,2.9921633816195676,168,56,24
10,3.2238088299577448,236,73,7
11,3.2661948829613503,256,78,2
12,3.2941235864297256,261,79,1
13,1.9401330376940131,154,79,1
14,0.5850456621004566,41,70,10
15,1.5521064301552108,28,18,62
