sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_258,258,1,1,3,Design
RandomTask_248,248,1,1,6,BackEnd Design
RandomTask_234,234,1,3,7,FrontEnd
RandomTask_263,263,1,2,6,BackEnd Design
RandomTask_237,237,1,3,4,BackEnd
RandomTask_260,260,1,3,3,Design
RandomTask_240,240,1,2,1,BackEnd FrontEnd
RandomTask_254,254,1,2,2,FrontEnd Design
RandomTask_243,243,1,3,7,FrontEnd
RandomTask_246,246,1,5,6,BackEnd
RandomTask_238,238,1,3,1,BackEnd FrontEnd Design
RandomTask_245,245,1,6,3,Design
RandomTask_235,235,1,7,4,BackEnd
RandomTask_241,241,1,4,2,BackEnd Design
RandomTask_255,255,1,7,7,FrontEnd
RandomTask_261,261,1,6,6,Design
RandomTask_236,236,1,5,3,FrontEnd Design
RandomTask_247,247,1,7,1,BackEnd
RandomTask_252,252,1,5,2,BackEnd FrontEnd Design
RandomTask_249,249,1,9,4,BackEnd
RandomTask_253,253,1,9,7,FrontEnd
RandomTask_257,257,1,9,6,Design
RandomTask_264,264,1,7,1,BackEnd FrontEnd
RandomTask_239,239,1,10,3,Design
RandomTask_259,259,1,9,4,BackEnd Design
RandomTask_242,242,1,7,2,FrontEnd Design
RandomTask_244,244,1,10,7,FrontEnd
RandomTask_262,262,1,7,6,FrontEnd Design
RandomTask_251,251,1,8,3,BackEnd FrontEnd Design
RandomTask_250,250,1,9,4,BackEnd FrontEnd Design
RandomTask_256,256,1,10,1,BackEnd Design
