sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,7549,20,9,6,end,25.9,2.9,5.9
1,7559,20,2,6,start,25.9,2.9,5.9
1,13561,36,2,6,end,25.9,2.9,6.800000000000001
2,14,80,20,7,start,25.9,2.9,6.800000000000001
2,6766,98,20,7,end,26.95,3.95,7.8500000000000005
2,6773,98,35,2,start,26.95,3.95,7.8500000000000005
2,8650,103,35,2,end,27.25,4.25,7.8500000000000005
2,8695,103,28,6,start,27.25,4.25,7.8500000000000005
2,14698,119,28,6,end,28.15,5.15,7.8500000000000005
2,14706,119,14,8,start,28.15,5.15,7.8500000000000005
2,19209,131,14,8,end,29.349999999999998,5.15,7.8500000000000005
3,27,160,57,4,start,29.349999999999998,5.15,7.8500000000000005
3,3034,168,57,4,end,29.95,5.75,8.450000000000001
3,3041,168,69,5,start,29.95,5.75,8.450000000000001
3,7919,181,69,5,end,29.95,6.5,9.200000000000001
3,7922,181,70,5,start,29.95,6.5,9.200000000000001
3,11674,191,70,5,end,30.0,7.25,9.200000000000001
3,11677,191,51,6,start,30.0,7.25,9.200000000000001
3,17680,207,51,6,end,30.0,8.15,9.200000000000001
3,17688,207,62,10,start,30.0,8.15,9.200000000000001
3,27441,233,62,10,end,30.0,8.15,10.700000000000001
5,12,320,128,6,start,30.0,8.15,10.700000000000001
5,4889,333,128,6,end,30.0,9.05,11.600000000000001
5,4894,333,115,10,start,30.0,9.05,11.600000000000001
5,12772,354,115,10,end,30.0,10.55,13.100000000000001
5,12778,354,111,4,start,30.0,10.55,13.100000000000001
5,16530,364,111,4,end,30.0,11.15,13.100000000000001
5,16537,364,103,5,start,30.0,11.15,13.100000000000001
5,21415,377,103,5,end,30.0,11.15,13.850000000000001
5,21421,377,129,3,start,30.0,11.15,13.850000000000001
5,24423,385,129,3,end,30.0,11.15,14.3
5,24429,385,116,5,start,30.0,11.15,14.3
5,29307,398,116,5,end,30.0,11.9,14.3
6,31,400,137,4,start,30.0,11.9,14.3
6,3790,410,137,4,end,30.0,12.5,14.9
6,3802,410,133,6,start,30.0,12.5,14.9
6,9805,426,133,6,end,30.0,13.4,15.8
6,9810,426,132,7,start,30.0,13.4,15.8
6,15062,440,132,7,end,30.0,14.450000000000001,15.8
6,15068,440,131,3,start,30.0,14.450000000000001,15.8
6,18071,448,131,3,end,30.0,14.9,15.8
6,18077,448,154,3,start,30.0,14.9,15.8
6,21079,456,154,3,end,30.0,15.35,15.8
7,19,480,178,3,start,30.0,15.35,15.8
7,2271,486,178,3,end,30.0,15.799999999999999,16.25
7,2276,486,175,4,start,30.0,15.799999999999999,16.25
7,6029,496,175,4,end,30.0,16.4,16.85
7,6034,496,169,5,start,30.0,16.4,16.85
7,10911,509,169,5,end,30.0,17.15,17.6
7,10917,509,177,5,start,30.0,17.15,17.6
7,14669,519,177,5,end,30.0,17.9,17.6
7,14675,519,179,4,start,30.0,17.9,17.6
7,18427,529,179,4,end,30.0,17.9,18.200000000000003
7,18433,529,185,3,start,30.0,17.9,18.200000000000003
7,21435,537,185,3,end,30.0,18.349999999999998,18.200000000000003
8,19,560,207,7,start,30.0,18.349999999999998,18.200000000000003
8,6771,578,207,7,end,30.0,19.4,19.250000000000004
8,6776,578,225,8,start,30.0,19.4,19.250000000000004
8,14653,599,225,8,end,30.0,20.599999999999998,20.450000000000003
8,14659,599,203,6,start,30.0,20.599999999999998,20.450000000000003
8,18037,608,203,6,end,30.0,21.499999999999996,20.450000000000003
8,18043,608,205,9,start,30.0,21.499999999999996,20.450000000000003
8,23295,622,205,9,end,30.0,21.499999999999996,20.450000000000003
9,23,640,262,7,start,30.0,21.499999999999996,20.450000000000003
9,4150,651,262,7,end,30.0,22.549999999999997,21.500000000000004
9,4151,651,254,2,start,30.0,22.549999999999997,21.500000000000004
9,5277,654,254,2,end,30.0,22.849999999999998,21.800000000000004
9,5282,654,255,7,start,30.0,22.849999999999998,21.800000000000004
9,9410,665,255,7,end,30.0,23.9,21.800000000000004
9,9416,665,243,3,start,30.0,23.9,21.800000000000004
9,10918,669,243,3,end,30.0,24.349999999999998,21.800000000000004
9,10924,669,244,10,start,30.0,24.349999999999998,21.800000000000004
9,16926,685,244,10,end,30.0,25.849999999999998,21.800000000000004
9,16932,685,260,3,start,30.0,25.849999999999998,21.800000000000004
9,18435,689,260,3,end,30.0,25.849999999999998,22.250000000000004
9,18437,689,257,9,start,30.0,25.849999999999998,22.250000000000004
9,23689,703,257,9,end,30.0,25.849999999999998,23.600000000000005
10,7,720,276,10,start,30.0,25.849999999999998,23.600000000000005
10,6010,736,276,10,end,30.0,27.349999999999998,25.100000000000005
10,6013,736,308,10,start,30.0,27.349999999999998,25.100000000000005
10,12015,752,308,10,end,30.0,28.849999999999998,26.600000000000005
10,12018,752,310,4,start,30.0,28.849999999999998,26.600000000000005
10,14271,758,310,4,end,30.0,29.45,27.200000000000006
10,14274,758,312,4,start,30.0,29.45,27.200000000000006
10,16526,764,312,4,end,30.0,30.0,27.800000000000008
10,16532,764,303,10,start,30.0,30.0,27.800000000000008
10,22534,780,303,10,end,30.0,30.0,29.300000000000008
10,22540,780,304,8,start,30.0,30.0,29.300000000000008
10,27043,792,304,8,end,30.0,30.0,29.300000000000008
11,20,800,354,3,start,30.0,30.0,29.300000000000008
11,1522,804,354,3,end,30.0,30.0,29.750000000000007
11,1530,804,335,1,start,30.0,30.0,29.750000000000007
11,1907,805,335,1,end,30.0,30.0,29.900000000000006
11,1913,805,342,1,start,30.0,30.0,29.900000000000006
11,2290,806,342,1,end,30.0,30.0,30.0
11,2297,806,321,1,start,30.0,30.0,30.0
11,2674,807,321,1,end,30.0,30.0,30.0
11,2680,807,322,1,start,30.0,30.0,30.0
11,3057,808,322,1,end,30.0,30.0,30.0
11,3063,808,324,1,start,30.0,30.0,30.0
11,3440,809,324,1,end,30.0,30.0,30.0
11,3445,809,326,2,start,30.0,30.0,30.0
11,4572,812,326,2,end,30.0,30.0,30.0
11,4578,812,329,4,start,30.0,30.0,30.0
11,6831,818,329,4,end,30.0,30.0,30.0
11,6837,818,336,3,start,30.0,30.0,30.0
11,8339,822,336,3,end,30.0,30.0,30.0
11,8345,822,338,5,start,30.0,30.0,30.0
11,11347,830,338,5,end,30.0,30.0,30.0
11,11353,830,343,9,start,30.0,30.0,30.0
11,16606,844,343,9,end,30.0,30.0,30.0
11,16609,844,351,2,start,30.0,30.0,30.0
11,17736,847,351,2,end,30.0,30.0,30.0
11,17739,847,356,10,start,30.0,30.0,30.0
11,23741,863,356,10,end,30.0,30.0,30.0
11,23747,863,370,6,start,30.0,30.0,30.0
11,27125,872,370,6,end,30.0,30.0,30.0
12,9,880,379,1,start,30.0,30.0,30.0
12,386,881,379,1,end,30.0,30.0,30.0
12,391,881,385,7,start,30.0,30.0,30.0
12,4521,892,385,7,end,30.0,30.0,30.0
12,4524,892,393,10,start,30.0,30.0,30.0
12,10527,908,393,10,end,30.0,30.0,30.0
12,10533,908,377,5,start,30.0,30.0,30.0
12,13535,916,377,5,end,30.0,30.0,30.0
