sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,39,0,6,6,start,10.0,4.0,25.0
1,6062,16,6,6,end,10.9,4.0,25.0
1,6070,16,11,10,start,10.9,4.0,25.0
1,21074,56,11,10,end,12.4,5.5,25.0
2,30,80,25,4,start,12.4,5.5,25.0
2,3781,90,25,4,end,13.0,5.5,25.0
2,3789,90,29,5,start,13.0,5.5,25.0
2,8667,103,29,5,end,13.0,6.25,25.0
2,8679,103,30,7,start,13.0,6.25,25.0
2,15431,121,30,7,end,14.05,7.3,25.0
3,28,160,42,5,start,14.05,7.3,25.0
3,4906,173,42,5,end,14.8,7.3,25.0
3,4912,173,33,8,start,14.8,7.3,25.0
3,12791,194,33,8,end,16.0,7.3,25.0
3,12798,194,49,9,start,16.0,7.3,25.0
3,21801,218,49,9,end,17.35,8.65,25.0
4,18,240,59,1,start,17.35,8.65,25.0
4,771,242,59,1,end,17.35,8.8,25.0
4,786,242,67,2,start,17.35,8.8,25.0
4,2288,246,67,2,end,17.650000000000002,9.100000000000001,25.3
4,2294,246,64,5,start,17.650000000000002,9.100000000000001,25.3
4,6046,256,64,5,end,18.400000000000002,9.100000000000001,26.05
4,6052,256,57,4,start,18.400000000000002,9.100000000000001,26.05
4,9055,264,57,4,end,19.000000000000004,9.700000000000001,26.650000000000002
4,9062,264,68,7,start,19.000000000000004,9.700000000000001,26.650000000000002
4,14314,278,68,7,end,20.050000000000004,9.700000000000001,27.700000000000003
5,32,320,85,2,start,20.050000000000004,9.700000000000001,27.700000000000003
5,1162,323,85,2,end,20.350000000000005,9.700000000000001,27.700000000000003
5,1167,323,88,5,start,20.350000000000005,9.700000000000001,27.700000000000003
5,4169,331,88,5,end,20.350000000000005,9.700000000000001,28.450000000000003
5,4174,331,101,6,start,20.350000000000005,9.700000000000001,28.450000000000003
5,7552,340,101,6,end,21.250000000000004,9.700000000000001,28.450000000000003
5,7558,340,84,6,start,21.250000000000004,9.700000000000001,28.450000000000003
5,10934,349,84,6,end,22.150000000000002,9.700000000000001,29.35
5,10940,349,81,5,start,22.150000000000002,9.700000000000001,29.35
5,14317,358,81,5,end,22.900000000000002,10.450000000000001,30.0
5,14323,358,96,7,start,22.900000000000002,10.450000000000001,30.0
5,18826,370,96,7,end,23.950000000000003,11.500000000000002,30.0
6,15,400,119,5,start,23.950000000000003,11.500000000000002,30.0
6,3017,408,119,5,end,23.950000000000003,11.500000000000002,30.0
6,3022,408,139,3,start,23.950000000000003,11.500000000000002,30.0
6,4524,412,139,3,end,24.400000000000002,11.500000000000002,30.0
6,4529,412,137,4,start,24.400000000000002,11.500000000000002,30.0
6,7531,420,137,4,end,24.400000000000002,12.100000000000001,30.0
6,7536,420,128,6,start,24.400000000000002,12.100000000000001,30.0
6,11663,431,128,6,end,25.3,13.000000000000002,30.0
6,11669,431,132,7,start,25.3,13.000000000000002,30.0
6,16921,445,132,7,end,26.35,14.050000000000002,30.0
6,16927,445,115,10,start,26.35,14.050000000000002,30.0
6,23680,463,115,10,end,27.85,15.550000000000002,30.0
7,15,480,146,6,start,27.85,15.550000000000002,30.0
7,3391,489,146,6,end,27.85,15.550000000000002,30.0
7,3396,489,147,8,start,27.85,15.550000000000002,30.0
7,7899,501,147,8,end,27.85,15.550000000000002,30.0
7,7906,501,175,4,start,27.85,15.550000000000002,30.0
7,10908,509,175,4,end,27.85,16.150000000000002,30.0
7,10914,509,163,7,start,27.85,16.150000000000002,30.0
7,15042,520,163,7,end,28.900000000000002,16.150000000000002,30.0
7,15048,520,181,8,start,28.900000000000002,16.150000000000002,30.0
7,19550,532,181,8,end,30.0,16.150000000000002,30.0
7,19555,532,161,7,start,30.0,16.150000000000002,30.0
7,24809,546,161,7,end,30.0,17.200000000000003,30.0
8,20,560,219,1,start,30.0,17.200000000000003,30.0
8,397,561,219,1,end,30.0,17.200000000000003,30.0
8,407,561,202,2,start,30.0,17.200000000000003,30.0
8,1534,564,202,2,end,30.0,17.200000000000003,30.0
8,1542,564,210,3,start,30.0,17.200000000000003,30.0
8,3044,568,210,3,end,30.0,17.200000000000003,30.0
8,3050,568,217,4,start,30.0,17.200000000000003,30.0
8,5302,574,217,4,end,30.0,17.200000000000003,30.0
8,5307,574,200,5,start,30.0,17.200000000000003,30.0
8,8310,582,200,5,end,30.0,17.200000000000003,30.0
8,8317,582,214,6,start,30.0,17.200000000000003,30.0
8,11694,591,214,6,end,30.0,17.200000000000003,30.0
8,11700,591,209,9,start,30.0,17.200000000000003,30.0
8,16952,605,209,9,end,30.0,17.200000000000003,30.0
8,16957,605,212,10,start,30.0,17.200000000000003,30.0
8,22960,621,212,10,end,30.0,17.200000000000003,30.0
8,22965,621,221,7,start,30.0,17.200000000000003,30.0
8,28218,635,221,7,end,30.0,18.250000000000004,30.0
9,20,640,267,1,start,30.0,18.250000000000004,30.0
9,397,641,267,1,end,30.0,18.250000000000004,30.0
