sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_285,285,1,1,1,Design
RandomTask_324,324,1,1,4,BackEnd
RandomTask_305,305,1,1,1,FrontEnd Design
RandomTask_302,302,1,2,7,Design
RandomTask_289,289,1,2,2,BackEnd
RandomTask_306,306,1,2,4,BackEnd
RandomTask_283,283,1,2,1,FrontEnd Design
RandomTask_280,280,1,3,7,Design
RandomTask_307,307,1,3,2,BackEnd Design
RandomTask_300,300,1,3,4,BackEnd
RandomTask_326,326,1,2,1,FrontEnd
RandomTask_315,315,1,3,1,FrontEnd
RandomTask_286,286,1,5,7,Design
RandomTask_325,325,1,5,2,BackEnd Design
RandomTask_328,328,1,5,4,BackEnd
RandomTask_310,310,1,4,1,FrontEnd Design
RandomTask_332,332,1,5,2,BackEnd
RandomTask_309,309,1,7,7,Design
RandomTask_311,311,1,5,1,FrontEnd
RandomTask_295,295,1,7,4,BackEnd
RandomTask_319,319,1,5,1,FrontEnd Design
RandomTask_299,299,1,8,2,Design
RandomTask_296,296,1,9,4,BackEnd
RandomTask_303,303,1,10,7,Design
RandomTask_287,287,1,1,7,BackEnd FrontEnd Design
RandomTask_317,317,1,6,1,FrontEnd Design
RandomTask_292,292,1,1,7,BackEnd FrontEnd Design
RandomTask_314,314,1,1,7,BackEnd FrontEnd Design
RandomTask_321,321,1,1,7,BackEnd FrontEnd
RandomTask_322,322,1,1,7,BackEnd FrontEnd
RandomTask_294,294,1,10,2,BackEnd Design
RandomTask_327,327,1,1,7,BackEnd FrontEnd
RandomTask_333,333,1,6,1,FrontEnd
RandomTask_298,298,1,2,2,BackEnd FrontEnd
RandomTask_331,331,1,2,7,BackEnd FrontEnd
RandomTask_288,288,1,10,4,BackEnd
RandomTask_281,281,1,3,2,BackEnd FrontEnd Design
RandomTask_291,291,1,4,7,BackEnd FrontEnd Design
RandomTask_312,312,1,4,4,BackEnd FrontEnd Design
RandomTask_279,279,1,8,1,FrontEnd
RandomTask_282,282,1,4,2,BackEnd FrontEnd
RandomTask_323,323,1,4,4,BackEnd FrontEnd
RandomTask_316,316,1,4,7,BackEnd FrontEnd
RandomTask_329,329,1,4,2,BackEnd FrontEnd
RandomTask_297,297,1,8,1,FrontEnd Design
RandomTask_313,313,1,5,4,BackEnd FrontEnd Design
RandomTask_320,320,1,2,2,BackEnd FrontEnd Design
RandomTask_293,293,1,5,7,BackEnd FrontEnd
