sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,42,0,3,7,start,2.0,11.0,22.0
1,4170,11,3,7,end,2.0,11.0,23.05
1,4178,11,11,10,start,2.0,11.0,23.05
1,19181,51,11,10,end,3.5,12.5,23.05
2,31,80,23,10,start,3.5,12.5,23.05
2,6034,96,23,10,end,3.5,12.5,24.55
2,6044,96,26,9,start,3.5,12.5,24.55
2,19551,132,26,9,end,4.85,13.85,24.55
3,16,160,40,6,start,4.85,13.85,24.55
3,6022,176,40,6,end,5.75,14.75,25.45
3,6028,176,35,2,start,5.75,14.75,25.45
3,7906,181,35,2,end,6.05,15.05,25.45
3,7913,181,54,1,start,6.05,15.05,25.45
3,8665,183,54,1,end,6.05,15.200000000000001,25.45
3,8671,183,37,6,start,6.05,15.200000000000001,25.45
3,14674,199,37,6,end,6.949999999999999,15.200000000000001,25.45
4,10,240,57,4,start,6.949999999999999,15.200000000000001,25.45
4,3012,248,57,4,end,7.549999999999999,15.8,26.05
4,3017,248,64,5,start,7.549999999999999,15.8,26.05
4,6769,258,64,5,end,8.299999999999999,15.8,26.8
4,6774,258,60,10,start,8.299999999999999,15.8,26.8
4,12776,274,60,10,end,8.299999999999999,15.8,28.3
4,12782,274,75,5,start,8.299999999999999,15.8,28.3
4,17660,287,75,5,end,9.049999999999999,15.8,28.3
5,11,320,81,5,start,9.049999999999999,15.8,28.3
5,3763,330,81,5,end,9.799999999999999,16.55,29.05
5,3768,330,83,3,start,9.799999999999999,16.55,29.05
5,6020,336,83,3,end,10.249999999999998,16.55,29.5
5,6025,336,91,1,start,10.249999999999998,16.55,29.5
5,6777,338,91,1,end,10.249999999999998,16.7,29.65
5,6787,338,93,3,start,10.249999999999998,16.7,29.65
5,9039,344,93,3,end,10.249999999999998,17.15,30.0
5,9044,344,85,2,start,10.249999999999998,17.15,30.0
5,10921,349,85,2,end,10.549999999999999,17.15,30.0
5,10926,349,90,4,start,10.549999999999999,17.15,30.0
5,14679,359,90,4,end,10.549999999999999,17.75,30.0
5,14685,359,111,4,start,10.549999999999999,17.75,30.0
5,18437,369,111,4,end,10.549999999999999,18.35,30.0
5,18443,369,88,5,start,10.549999999999999,18.35,30.0
5,21446,377,88,5,end,10.549999999999999,18.35,30.0
6,27,400,115,10,start,10.549999999999999,18.35,30.0
6,7904,421,115,10,end,12.049999999999999,19.85,30.0
6,7907,421,151,6,start,12.049999999999999,19.85,30.0
6,13909,437,151,6,end,12.95,20.75,30.0
6,13912,437,116,10,start,12.95,20.75,30.0
6,19915,453,116,10,end,12.95,22.25,30.0
6,19925,453,145,9,start,12.95,22.25,30.0
6,25178,467,145,9,end,12.95,23.6,30.0
7,15,480,178,3,start,12.95,23.6,30.0
7,1891,485,178,3,end,13.399999999999999,24.05,30.0
