sprint;systemTime;modelTime;task;storyPoints;picked/accepted/rejected;description;
1;9;0;1;8;PICKED;picked for inspection;
1;9;0;1;8;ACCEPTED;accepted for execution;
2;13;80;18;1;PICKED;picked for inspection;
2;13;80;18;1;ACCEPTED;accepted for execution;
2;771;82;15;8;PICKED;picked for inspection;
2;771;82;15;8;ACCEPTED;accepted for execution;
2;8649;103;14;8;PICKED;picked for inspection;
2;8649;103;14;8;ACCEPTED;accepted for execution;
3;0;160;20;7;PICKED;picked for inspection;
3;0;160;20;7;ACCEPTED;accepted for execution;
3;5637;175;31;2;PICKED;picked for inspection;
3;5637;175;31;2;ACCEPTED;accepted for execution;
3;7517;180;25;4;PICKED;picked for inspection;
3;7517;180;25;4;ACCEPTED;accepted for execution;
3;11272;190;21;5;PICKED;picked for inspection;
3;11272;190;21;5;ACCEPTED;accepted for execution;
3;16150;203;41;6;PICKED;picked for inspection;
3;16150;203;41;6;ACCEPTED;accepted for execution;
4;22199;299;50;9;PICKED;picked for inspection;
4;22199;299;50;9;ACCEPTED;accepted for execution;
4;7138;259;64;5;PICKED;picked for inspection;
4;7138;259;64;5;ACCEPTED;accepted for execution;
4;10891;269;60;10;PICKED;picked for inspection;
4;10891;269;60;10;ACCEPTED;accepted for execution;
4;16894;285;66;10;PICKED;picked for inspection;
4;16894;285;66;10;ACCEPTED;accepted for execution;
5;3;320;96;7;PICKED;picked for inspection;
5;3;320;96;7;ACCEPTED;accepted for execution;
5;4513;332;98;6;PICKED;picked for inspection;
5;4513;332;98;6;ACCEPTED;accepted for execution;
5;9016;344;88;5;PICKED;picked for inspection;
5;9016;344;88;5;ACCEPTED;accepted for execution;
5;12019;352;100;6;PICKED;picked for inspection;
5;12019;352;100;6;ACCEPTED;accepted for execution;
5;15398;361;87;9;PICKED;picked for inspection;
5;15398;361;87;9;ACCEPTED;accepted for execution;
6;13;400;108;10;PICKED;picked for inspection;
6;13;400;108;10;ACCEPTED;accepted for execution;
6;6766;418;140;10;PICKED;picked for inspection;
6;6766;418;140;10;ACCEPTED;accepted for execution;
6;13519;436;107;6;PICKED;picked for inspection;
6;13519;436;107;6;ACCEPTED;accepted for execution;
6;16898;445;131;3;PICKED;picked for inspection;
6;16898;445;131;3;ACCEPTED;accepted for execution;
6;18403;449;136;3;PICKED;picked for inspection;
6;18403;449;136;3;ACCEPTED;accepted for execution;
6;19906;453;117;1;PICKED;picked for inspection;
6;19906;453;117;1;ACCEPTED;accepted for execution;
6;20286;454;142;9;PICKED;picked for inspection;
6;20286;454;142;9;ACCEPTED;accepted for execution;
6;27038;472;141;3;PICKED;picked for inspection;
6;27038;472;141;3;ACCEPTED;accepted for execution;
6;28541;476;123;6;PICKED;picked for inspection;
6;28541;476;123;6;REJECTED;Mostafa cannot finish task within the remaining time;
6;28541;476;123;6;PICKED;No other tasks could be accepted - trying to break this task;
6;28541;476;123;2;ACCEPTED;broke task into smaller parts-accepted for execution;
6;28541;476;123;2;ACCEPTED;accepted for execution;
6;29669;479;123;4;PICKED;picked for inspection;
6;29669;479;123;4;REJECTED;Mostafa cannot finish task within the remaining time;
6;29669;479;123;4;PICKED;No other tasks could be accepted - trying to break this task;
6;29669;479;123;4;REJECTED;Could not break this task- Mostafa finished for this sprint;
7;18;480;151;6;PICKED;picked for inspection;
7;18;480;151;6;ACCEPTED;accepted for execution;
7;4521;492;150;1;PICKED;picked for inspection;
7;4521;492;150;1;ACCEPTED;accepted for execution;
7;4899;493;152;1;PICKED;picked for inspection;
7;4899;493;152;1;ACCEPTED;accepted for execution;
7;5290;494;149;3;PICKED;picked for inspection;
7;5290;494;149;3;ACCEPTED;accepted for execution;
7;7542;500;153;4;PICKED;picked for inspection;
7;7542;500;153;4;ACCEPTED;accepted for execution;
7;10545;508;170;4;PICKED;picked for inspection;
7;10545;508;170;4;ACCEPTED;accepted for execution;
7;13548;516;157;8;PICKED;picked for inspection;
7;13548;516;157;8;ACCEPTED;accepted for execution;
7;21427;537;158;10;PICKED;picked for inspection;
7;21427;537;158;10;ACCEPTED;accepted for execution;
8;23;560;187;3;PICKED;picked for inspection;
8;23;560;187;3;ACCEPTED;accepted for execution;
8;1531;564;221;7;PICKED;picked for inspection;
8;1531;564;221;7;ACCEPTED;accepted for execution;
8;5660;575;190;5;PICKED;picked for inspection;
8;5660;575;190;5;ACCEPTED;accepted for execution;
8;8663;583;210;3;PICKED;picked for inspection;
8;8663;583;210;3;ACCEPTED;accepted for execution;
8;10166;587;214;6;PICKED;picked for inspection;
8;10166;587;214;6;ACCEPTED;accepted for execution;
8;13544;596;220;3;PICKED;picked for inspection;
8;13544;596;220;3;ACCEPTED;accepted for execution;
8;15048;600;222;10;PICKED;picked for inspection;
8;15048;600;222;10;ACCEPTED;accepted for execution;
8;21052;616;205;9;PICKED;picked for inspection;
8;21052;616;205;9;ACCEPTED;accepted for execution;
9;0;640;231;7;PICKED;picked for inspection;
9;0;640;231;7;ACCEPTED;accepted for execution;
9;4126;651;235;7;PICKED;picked for inspection;
9;4126;651;235;7;ACCEPTED;accepted for execution;
9;8255;662;248;1;PICKED;picked for inspection;
9;8255;662;248;1;ACCEPTED;accepted for execution;
9;8633;663;234;3;PICKED;picked for inspection;
9;8633;663;234;3;ACCEPTED;accepted for execution;
9;10136;667;237;3;PICKED;picked for inspection;
9;10136;667;237;3;ACCEPTED;accepted for execution;
9;11639;671;239;10;PICKED;picked for inspection;
9;11639;671;239;10;ACCEPTED;accepted for execution;
9;17643;687;245;6;PICKED;picked for inspection;
9;17643;687;245;6;ACCEPTED;accepted for execution;
9;21022;696;249;9;PICKED;picked for inspection;
9;21022;696;249;9;ACCEPTED;accepted for execution;
10;0;720;273;1;PICKED;picked for inspection;
10;0;720;273;1;ACCEPTED;accepted for execution;
10;377;721;277;4;PICKED;picked for inspection;
10;377;721;277;4;ACCEPTED;accepted for execution;
10;2631;727;280;3;PICKED;picked for inspection;
10;2631;727;280;3;ACCEPTED;accepted for execution;
10;4133;731;282;4;PICKED;picked for inspection;
10;4133;731;282;4;ACCEPTED;accepted for execution;
10;6386;737;283;2;PICKED;picked for inspection;
10;6386;737;283;2;ACCEPTED;accepted for execution;
10;7515;740;287;1;PICKED;picked for inspection;
10;7515;740;287;1;ACCEPTED;accepted for execution;
10;7893;741;289;2;PICKED;picked for inspection;
10;7893;741;289;2;ACCEPTED;accepted for execution;
10;9022;744;290;9;PICKED;picked for inspection;
10;9022;744;290;9;ACCEPTED;accepted for execution;
10;14275;758;297;8;PICKED;picked for inspection;
10;14275;758;297;8;ACCEPTED;accepted for execution;
10;18778;770;302;2;PICKED;picked for inspection;
10;18778;770;302;2;ACCEPTED;accepted for execution;
10;19906;773;306;2;PICKED;picked for inspection;
10;19906;773;306;2;ACCEPTED;accepted for execution;
10;21035;776;309;7;PICKED;picked for inspection;
