sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,17,0,12,5,PICKED,picked for inspection
1,17,0,12,5,ACCEPTED,accepted for execution
1,3772,10,10,8,PICKED,picked for inspection
1,3772,10,10,8,ACCEPTED,accepted for execution
2,35,80,4,3,PICKED,picked for inspection
2,35,80,4,3,ACCEPTED,accepted for execution
2,2290,86,3,7,PICKED,picked for inspection
2,2290,86,3,7,ACCEPTED,accepted for execution
2,6419,97,7,6,PICKED,picked for inspection
2,6419,97,7,6,ACCEPTED,accepted for execution
2,9800,106,5,6,PICKED,picked for inspection
2,9800,106,5,6,ACCEPTED,accepted for execution
3,16,160,40,6,PICKED,picked for inspection
3,16,160,40,6,ACCEPTED,accepted for execution
3,6020,176,22,3,PICKED,picked for inspection
3,6020,176,22,3,ACCEPTED,accepted for execution
3,10524,188,33,8,PICKED,picked for inspection
3,10524,188,33,8,ACCEPTED,accepted for execution
4,23,240,57,4,PICKED,picked for inspection
4,23,240,57,4,ACCEPTED,accepted for execution
4,3781,250,49,9,PICKED,picked for inspection
4,3781,250,49,9,ACCEPTED,accepted for execution
5,13,320,81,5,PICKED,picked for inspection
5,13,320,81,5,ACCEPTED,accepted for execution
5,3774,330,80,10,PICKED,picked for inspection
5,3774,330,80,10,ACCEPTED,accepted for execution
5,13528,356,99,4,PICKED,picked for inspection
5,13528,356,99,4,ACCEPTED,accepted for execution
5,17281,366,95,2,PICKED,picked for inspection
5,17281,366,95,2,ACCEPTED,accepted for execution
5,18409,369,97,3,PICKED,picked for inspection
5,18409,369,97,3,ACCEPTED,accepted for execution
6,19,400,112,6,PICKED,picked for inspection
6,19,400,112,6,ACCEPTED,accepted for execution
6,4897,413,121,9,PICKED,picked for inspection
6,4897,413,121,9,ACCEPTED,accepted for execution
6,12030,432,130,6,PICKED,picked for inspection
6,12030,432,130,6,ACCEPTED,accepted for execution
6,18038,448,113,2,PICKED,picked for inspection
6,18038,448,113,2,ACCEPTED,accepted for execution
6,19542,452,135,10,PICKED,picked for inspection
6,19542,452,135,10,ACCEPTED,accepted for execution
6,27045,472,123,10,PICKED,picked for inspection
6,27045,472,123,10,REJECTED,Tiffany cannot finish task within the remaining time
6,27045,472,123,10,PICKED,No other tasks could be accepted - trying to break this task
6,27045,472,123,10,REJECTED,Could not break this task, Tiffany finished for this sprint
7,0,480,162,1,PICKED,picked for inspection
7,0,480,162,1,ACCEPTED,accepted for execution
7,761,482,166,7,PICKED,picked for inspection
7,761,482,166,7,ACCEPTED,accepted for execution
7,6014,496,174,7,PICKED,picked for inspection
7,6014,496,174,7,ACCEPTED,accepted for execution
7,10142,507,155,6,PICKED,picked for inspection
7,10142,507,155,6,ACCEPTED,accepted for execution
7,13522,516,182,3,PICKED,picked for inspection
7,13522,516,182,3,ACCEPTED,accepted for execution
7,15025,520,183,9,PICKED,picked for inspection
7,15025,520,183,9,ACCEPTED,accepted for execution
7,24029,544,173,3,PICKED,picked for inspection
7,24029,544,173,3,ACCEPTED,accepted for execution
7,25532,548,179,4,PICKED,picked for inspection
7,25532,548,179,4,ACCEPTED,accepted for execution
8,10,560,226,4,PICKED,picked for inspection
8,10,560,226,4,ACCEPTED,accepted for execution
8,2638,567,216,6,PICKED,picked for inspection
8,2638,567,216,6,ACCEPTED,accepted for execution
8,7141,579,200,5,PICKED,picked for inspection
8,7141,579,200,5,ACCEPTED,accepted for execution
8,10144,587,212,10,PICKED,picked for inspection
8,10144,587,212,10,ACCEPTED,accepted for execution
8,16148,603,229,10,PICKED,picked for inspection
8,16148,603,229,10,ACCEPTED,accepted for execution
8,22151,619,209,9,PICKED,picked for inspection
8,22151,619,209,9,ACCEPTED,accepted for execution
9,12,640,250,9,PICKED,picked for inspection
9,12,640,250,9,ACCEPTED,accepted for execution
9,6023,656,236,5,PICKED,picked for inspection
9,6023,656,236,5,ACCEPTED,accepted for execution
9,9776,666,272,9,PICKED,picked for inspection
9,9776,666,272,9,ACCEPTED,accepted for execution
9,16530,684,265,6,PICKED,picked for inspection
9,16530,684,265,6,ACCEPTED,accepted for execution
9,22532,700,257,9,PICKED,picked for inspection
9,22532,700,257,9,ACCEPTED,accepted for execution
10,23,720,278,9,PICKED,picked for inspection
10,23,720,278,9,ACCEPTED,accepted for execution
10,6034,736,301,6,PICKED,picked for inspection
10,6034,736,301,6,ACCEPTED,accepted for execution
10,9411,745,311,5,PICKED,picked for inspection
10,9411,745,311,5,ACCEPTED,accepted for execution
10,12415,753,313,5,PICKED,picked for inspection
10,12415,753,313,5,ACCEPTED,accepted for execution
10,15419,761,317,6,PICKED,picked for inspection
10,15419,761,317,6,ACCEPTED,accepted for execution
10,18797,770,304,8,PICKED,picked for inspection
10,18797,770,304,8,ACCEPTED,accepted for execution
10,23300,782,322,1,PICKED,picked for inspection
10,23300,782,322,1,ACCEPTED,accepted for execution
10,23679,783,326,2,PICKED,picked for inspection
10,23679,783,326,2,ACCEPTED,accepted for execution
10,24807,786,324,1,PICKED,picked for inspection
10,24807,786,324,1,ACCEPTED,accepted for execution
11,11,800,333,6,PICKED,picked for inspection
11,11,800,333,6,ACCEPTED,accepted for execution
11,3388,809,337,3,PICKED,picked for inspection
11,3388,809,337,3,ACCEPTED,accepted for execution
11,4891,813,345,6,PICKED,picked for inspection
11,4891,813,345,6,ACCEPTED,accepted for execution
11,8270,822,348,6,PICKED,picked for inspection
11,8270,822,348,6,ACCEPTED,accepted for execution
11,11649,831,360,3,PICKED,picked for inspection
11,11649,831,360,3,ACCEPTED,accepted for execution
11,13154,835,365,3,PICKED,picked for inspection
11,13154,835,365,3,ACCEPTED,accepted for execution
11,14661,839,364,2,PICKED,picked for inspection
11,14661,839,364,2,ACCEPTED,accepted for execution
11,15788,842,361,10,PICKED,picked for inspection
11,15788,842,361,10,ACCEPTED,accepted for execution
11,21792,858,373,5,PICKED,picked for inspection
11,21792,858,373,5,ACCEPTED,accepted for execution
11,24795,866,379,1,PICKED,picked for inspection
11,24795,866,379,1,ACCEPTED,accepted for execution
11,25173,867,380,9,PICKED,picked for inspection
11,25173,867,380,9,REJECTED,Tiffany cannot finish task within the remaining time
11,25173,867,381,3,PICKED,picked for inspection
11,25173,867,381,3,ACCEPTED,accepted for execution
11,25173,867,381,3,ACCEPTED,accepted for execution
11,26677,871,383,6,PICKED,picked for inspection
11,26677,871,383,6,REJECTED,Tiffany cannot finish task within the remaining time
11,26677,871,384,1,PICKED,picked for inspection
11,26677,871,384,1,ACCEPTED,accepted for execution
11,26677,871,384,1,ACCEPTED,accepted for execution
11,27055,872,380,9,PICKED,picked for inspection
