sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_42,42,1,5,BackEnd
RandomTask_43,43,1,4,BackEnd
RandomTask_44,44,1,10,Design FrontEnd
RandomTask_45,45,1,9,BackEnd Design
RandomTask_46,46,1,7,BackEnd
RandomTask_47,47,1,10,BackEnd
RandomTask_48,48,1,1,Design FrontEnd
RandomTask_49,49,1,9,BackEnd FrontEnd
RandomTask_50,50,1,9,BackEnd Design FrontEnd
RandomTask_51,51,1,6,FrontEnd
RandomTask_52,52,1,1,BackEnd Design FrontEnd
RandomTask_53,53,1,3,Design
RandomTask_54,54,1,1,FrontEnd
RandomTask_55,55,1,7,BackEnd
RandomTask_56,56,1,6,Design FrontEnd
RandomTask_57,57,1,4,BackEnd Design FrontEnd
RandomTask_58,58,1,1,BackEnd Design FrontEnd
RandomTask_59,59,1,1,FrontEnd
RandomTask_60,60,1,10,Design
RandomTask_61,61,1,9,BackEnd Design
RandomTask_62,62,1,10,Design
RandomTask_63,63,1,5,BackEnd FrontEnd
RandomTask_64,64,1,5,BackEnd Design
RandomTask_65,65,1,4,Design
RandomTask_66,66,1,10,FrontEnd
RandomTask_67,67,1,2,BackEnd Design FrontEnd
RandomTask_68,68,1,7,BackEnd Design
