sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_232,232,1,3,6,BackEnd Design FrontEnd
RandomTask_231,231,1,7,1,BackEnd Design FrontEnd
RandomTask_242,242,1,7,4,Design FrontEnd
RandomTask_268,268,1,7,2,BackEnd Design FrontEnd
RandomTask_252,252,1,5,6,BackEnd Design FrontEnd
RandomTask_251,251,1,8,3,BackEnd Design FrontEnd
RandomTask_250,250,1,9,7,BackEnd Design FrontEnd
RandomTask_238,238,1,3,2,BackEnd Design FrontEnd
RandomTask_240,240,1,2,2,BackEnd FrontEnd
RandomTask_235,235,1,7,1,BackEnd
RandomTask_255,255,1,7,4,FrontEnd
RandomTask_248,248,1,1,1,BackEnd Design
RandomTask_254,254,1,2,2,Design FrontEnd
RandomTask_236,236,1,5,7,Design FrontEnd
RandomTask_234,234,1,3,1,FrontEnd
RandomTask_233,233,1,8,3,BackEnd FrontEnd
RandomTask_237,237,1,3,1,BackEnd
RandomTask_230,230,1,9,6,BackEnd FrontEnd
RandomTask_262,262,1,7,4,Design FrontEnd
RandomTask_243,243,1,3,4,FrontEnd
RandomTask_241,241,1,4,3,BackEnd Design
RandomTask_264,264,1,7,2,BackEnd FrontEnd
RandomTask_247,247,1,7,6,BackEnd
RandomTask_272,272,1,9,7,Design FrontEnd
RandomTask_239,239,1,10,1,Design
RandomTask_246,246,1,5,6,BackEnd
RandomTask_244,244,1,10,4,FrontEnd
RandomTask_245,245,1,6,1,Design
RandomTask_256,256,1,10,3,BackEnd Design
RandomTask_271,271,1,5,6,BackEnd Design
RandomTask_265,265,1,6,7,FrontEnd
RandomTask_263,263,1,2,6,BackEnd Design
RandomTask_253,253,1,9,2,FrontEnd
RandomTask_267,267,1,1,6,BackEnd
RandomTask_258,258,1,1,2,Design
RandomTask_266,266,1,9,4,FrontEnd
RandomTask_260,260,1,3,2,Design
RandomTask_249,249,1,9,1,BackEnd
RandomTask_269,269,1,3,2,Design
RandomTask_257,257,1,9,7,Design
RandomTask_270,270,1,8,6,BackEnd Design
RandomTask_261,261,1,6,4,Design
RandomTask_259,259,1,9,3,BackEnd Design
