sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,28,0,4,3,start,3.0,10.0,24.0
1,3029,8,4,3,end,3.45,10.0,24.45
1,3037,8,10,8,start,3.45,10.0,24.45
1,7540,20,10,8,end,3.45,10.0,25.65
2,37,80,27,4,start,3.45,10.0,25.65
2,3789,90,27,4,end,3.45,10.6,25.65
2,3801,90,23,10,start,3.45,10.6,25.65
2,9803,106,23,10,end,3.45,10.6,27.15
2,9811,106,16,9,start,3.45,10.6,27.15
2,23315,142,16,9,end,4.8,11.95,27.15
3,28,160,53,3,start,4.8,11.95,27.15
3,1529,164,53,3,end,4.8,11.95,27.599999999999998
3,1536,164,43,4,start,4.8,11.95,27.599999999999998
3,13546,196,43,4,end,5.3999999999999995,11.95,27.599999999999998
3,13553,196,45,9,start,5.3999999999999995,11.95,27.599999999999998
3,20306,214,45,9,end,6.749999999999999,11.95,28.95
4,34,240,79,2,start,6.749999999999999,11.95,28.95
4,1535,244,79,2,end,6.749999999999999,12.25,29.25
4,1541,244,75,5,start,6.749999999999999,12.25,29.25
4,6419,257,75,5,end,7.499999999999999,12.25,29.25
4,6425,257,60,10,start,7.499999999999999,12.25,29.25
4,12427,273,60,10,end,7.499999999999999,12.25,30.0
4,12434,273,68,7,start,7.499999999999999,12.25,30.0
4,17687,287,68,7,end,8.549999999999999,12.25,30.0
5,20,320,88,5,start,8.549999999999999,12.25,30.0
5,3022,328,88,5,end,8.549999999999999,12.25,30.0
5,3028,328,92,8,start,8.549999999999999,12.25,30.0
5,7530,340,92,8,end,8.549999999999999,12.25,30.0
5,7536,340,82,10,start,8.549999999999999,12.25,30.0
5,13539,356,82,10,end,8.549999999999999,12.25,30.0
5,13542,356,81,5,start,8.549999999999999,12.25,30.0
5,17294,366,81,5,end,9.299999999999999,13.0,30.0
5,17301,366,109,9,start,9.299999999999999,13.0,30.0
5,24429,385,109,9,end,10.649999999999999,14.35,30.0
6,11,400,150,1,start,10.649999999999999,14.35,30.0
6,764,402,150,1,end,10.649999999999999,14.5,30.0
6,769,402,146,6,start,10.649999999999999,14.5,30.0
6,4147,411,146,6,end,10.649999999999999,14.5,30.0
6,4153,411,147,8,start,10.649999999999999,14.5,30.0
6,8655,423,147,8,end,10.649999999999999,14.5,30.0
6,8662,423,153,4,start,10.649999999999999,14.5,30.0
6,11664,431,153,4,end,11.249999999999998,14.5,30.0
6,11671,431,155,6,start,11.249999999999998,14.5,30.0
6,17674,447,155,6,end,12.149999999999999,14.5,30.0
6,17680,447,142,9,start,12.149999999999999,14.5,30.0
6,24433,465,142,9,end,13.499999999999998,14.5,30.0
7,24,480,179,4,start,13.499999999999998,14.5,30.0
7,2275,486,179,4,end,13.499999999999998,14.5,30.0
7,2280,486,191,8,start,13.499999999999998,14.5,30.0
7,6783,498,191,8,end,13.499999999999998,14.5,30.0
7,6789,498,167,4,start,13.499999999999998,14.5,30.0
