sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_208,208,1,2,1,Design
RandomTask_234,234,1,3,4,FrontEnd
RandomTask_201,201,1,5,4,FrontEnd
RandomTask_224,224,1,10,1,Design
RandomTask_204,204,1,1,1,BackEnd Design
RandomTask_203,203,1,6,4,FrontEnd
RandomTask_218,218,1,1,4,BackEnd FrontEnd
RandomTask_219,219,1,1,1,BackEnd Design
RandomTask_202,202,1,2,4,BackEnd
RandomTask_211,211,1,2,1,FrontEnd Design
RandomTask_228,228,1,2,4,FrontEnd Design
RandomTask_197,197,1,2,1,BackEnd Design
RandomTask_237,237,1,3,4,BackEnd
RandomTask_210,210,1,3,1,BackEnd Design
RandomTask_206,206,1,4,4,BackEnd
RandomTask_220,220,1,3,1,BackEnd Design
RandomTask_213,213,1,4,4,FrontEnd Design
RandomTask_217,217,1,4,1,BackEnd Design
RandomTask_232,232,1,3,4,BackEnd FrontEnd Design
RandomTask_238,238,1,3,1,BackEnd FrontEnd Design
RandomTask_236,236,1,5,4,FrontEnd Design
RandomTask_227,227,1,5,4,BackEnd FrontEnd
RandomTask_200,200,1,5,1,BackEnd
RandomTask_226,226,1,4,4,BackEnd FrontEnd Design
RandomTask_198,198,1,4,4,FrontEnd Design
