sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,37,0,12,5,start,1.0,10.0,27.0
1,4914,13,12,5,end,1.75,10.0,27.75
1,4922,13,2,6,start,1.75,10.0,27.75
1,8299,22,2,6,end,1.75,10.0,28.65
2,14,80,18,1,start,1.75,10.0,28.65
2,766,82,18,1,end,1.9,10.15,28.799999999999997
2,773,82,24,1,start,1.9,10.15,28.799999999999997
2,1150,83,24,1,end,1.9,10.15,28.949999999999996
2,1158,83,26,9,start,1.9,10.15,28.949999999999996
2,14662,119,26,9,end,3.25,11.5,28.949999999999996
3,23,160,40,6,start,3.25,11.5,28.949999999999996
3,6027,176,40,6,end,4.15,12.4,29.849999999999994
3,6034,176,29,5,start,4.15,12.4,29.849999999999994
3,10911,189,29,5,end,4.15,13.15,29.849999999999994
3,10918,189,36,3,start,4.15,13.15,29.849999999999994
3,19921,213,36,3,end,4.6000000000000005,13.15,29.849999999999994
4,5,240,52,1,start,4.6000000000000005,13.15,29.849999999999994
4,757,242,52,1,end,4.750000000000001,13.3,29.999999999999993
4,760,242,57,4,start,4.750000000000001,13.3,29.999999999999993
4,4513,252,57,4,end,5.3500000000000005,13.9,30.0
4,4519,252,63,5,start,5.3500000000000005,13.9,30.0
4,9396,265,63,5,end,6.1000000000000005,14.65,30.0
4,9402,265,54,1,start,6.1000000000000005,14.65,30.0
4,10154,267,54,1,end,6.1000000000000005,14.8,30.0
4,10161,267,59,1,start,6.1000000000000005,14.8,30.0
4,10913,269,59,1,end,6.1000000000000005,14.950000000000001,30.0
4,10920,269,55,7,start,6.1000000000000005,14.950000000000001,30.0
4,17673,287,55,7,end,7.15,14.950000000000001,30.0
4,17680,287,62,10,start,7.15,14.950000000000001,30.0
4,23682,303,62,10,end,7.15,14.950000000000001,30.0
5,12,320,89,2,start,7.15,14.950000000000001,30.0
5,1513,324,89,2,end,7.45,15.250000000000002,30.0
5,1519,324,80,10,start,7.45,15.250000000000002,30.0
5,11272,350,80,10,end,8.95,16.75,30.0
5,11279,350,90,4,start,8.95,16.75,30.0
5,15031,360,90,4,end,8.95,17.35,30.0
6,16,400,96,7,start,8.95,17.35,30.0
6,5643,415,96,7,end,10.0,18.400000000000002,30.0
6,5649,415,104,7,start,10.0,18.400000000000002,30.0
6,12402,433,104,7,end,11.05,19.450000000000003,30.0
6,12408,433,94,8,start,11.05,19.450000000000003,30.0
6,20286,454,94,8,end,11.05,20.650000000000002,30.0
7,19,480,140,10,start,11.05,20.650000000000002,30.0
7,6772,498,140,10,end,12.55,22.150000000000002,30.0
7,6778,498,151,6,start,12.55,22.150000000000002,30.0
7,11281,510,151,6,end,13.450000000000001,23.05,30.0
7,11287,510,144,10,start,13.450000000000001,23.05,30.0
7,17289,526,144,10,end,13.450000000000001,24.55,30.0
7,17295,526,125,3,start,13.450000000000001,24.55,30.0
7,20299,534,125,3,end,13.9,24.55,30.0
8,28,560,156,5,start,13.9,24.55,30.0
8,3780,570,156,5,end,14.65,25.3,30.0
8,3785,570,166,7,start,14.65,25.3,30.0
8,9038,584,166,7,end,15.700000000000001,26.35,30.0
8,9040,584,168,6,start,15.700000000000001,26.35,30.0
8,12417,593,168,6,end,15.700000000000001,27.25,30.0
8,12420,593,171,6,start,15.700000000000001,27.25,30.0
8,15798,602,171,6,end,15.700000000000001,28.15,30.0
8,15808,602,185,3,start,15.700000000000001,28.15,30.0
8,17310,606,185,3,end,15.700000000000001,28.599999999999998,30.0
8,17317,606,167,4,start,15.700000000000001,28.599999999999998,30.0
8,19569,612,167,4,end,15.700000000000001,29.2,30.0
8,19575,612,179,4,start,15.700000000000001,29.2,30.0
8,21827,618,179,4,end,15.700000000000001,29.2,30.0
9,13,640,232,3,start,15.700000000000001,29.2,30.0
9,1892,645,232,3,end,16.150000000000002,29.65,30.0
9,1897,645,218,1,start,16.150000000000002,29.65,30.0
9,2649,647,218,1,end,16.3,29.799999999999997,30.0
9,2654,647,227,5,start,16.3,29.799999999999997,30.0
9,6406,657,227,5,end,17.05,30.0,30.0
9,6412,657,223,9,start,17.05,30.0,30.0
9,13165,675,223,9,end,18.400000000000002,30.0,30.0
9,13171,675,202,2,start,18.400000000000002,30.0,30.0
9,15048,680,202,2,end,18.700000000000003,30.0,30.0
9,15054,680,222,10,start,18.700000000000003,30.0,30.0
9,24807,706,222,10,end,20.200000000000003,30.0,30.0
9,24813,706,228,2,start,20.200000000000003,30.0,30.0
9,25940,709,228,2,end,20.200000000000003,30.0,30.0
10,16,720,264,7,start,20.200000000000003,30.0,30.0
10,4142,731,264,7,end,21.250000000000004,30.0,30.0
10,4149,731,256,10,start,21.250000000000004,30.0,30.0
10,10152,747,256,10,end,22.750000000000004,30.0,30.0
10,10161,747,275,3,start,22.750000000000004,30.0,30.0
10,11663,751,275,3,end,23.200000000000003,30.0,30.0
10,11669,751,267,1,start,23.200000000000003,30.0,30.0
10,12046,752,267,1,end,23.35,30.0,30.0
10,12052,752,274,4,start,23.35,30.0,30.0
10,14304,758,274,4,end,23.950000000000003,30.0,30.0
10,14310,758,245,6,start,23.950000000000003,30.0,30.0
10,17687,767,245,6,end,23.950000000000003,30.0,30.0
10,17693,767,262,7,start,23.950000000000003,30.0,30.0
10,21821,778,262,7,end,23.950000000000003,30.0,30.0
10,21827,778,276,10,start,23.950000000000003,30.0,30.0
10,27829,794,276,10,end,23.950000000000003,30.0,30.0
11,23,800,284,10,start,23.950000000000003,30.0,30.0
11,6026,816,284,10,end,25.450000000000003,30.0,30.0
11,6029,816,308,10,start,25.450000000000003,30.0,30.0
11,12032,832,308,10,end,26.950000000000003,30.0,30.0
11,12035,832,334,10,start,26.950000000000003,30.0,30.0
11,18037,848,334,10,end,28.450000000000003,30.0,30.0
11,18043,848,329,4,start,28.450000000000003,30.0,30.0
11,20296,854,329,4,end,29.050000000000004,30.0,30.0
11,20302,854,311,5,start,29.050000000000004,30.0,30.0
11,23304,862,311,5,end,29.050000000000004,30.0,30.0
11,23310,862,319,5,start,29.050000000000004,30.0,30.0
11,26312,870,319,5,end,29.050000000000004,30.0,30.0
12,14,880,345,6,start,29.050000000000004,30.0,30.0
12,3391,889,345,6,end,29.950000000000003,30.0,30.0
12,3421,889,352,1,start,29.950000000000003,30.0,30.0
12,3799,890,352,1,end,30.0,30.0,30.0
12,3805,890,342,1,start,30.0,30.0,30.0
12,4182,891,342,1,end,30.0,30.0,30.0
12,4188,891,343,9,start,30.0,30.0,30.0
12,9440,905,343,9,end,30.0,30.0,30.0
12,9443,905,348,6,start,30.0,30.0,30.0
12,12820,914,348,6,end,30.0,30.0,30.0
12,12823,914,351,2,start,30.0,30.0,30.0
12,13951,917,351,2,end,30.0,30.0,30.0
12,13957,917,357,9,start,30.0,30.0,30.0
12,19209,931,357,9,end,30.0,30.0,30.0
12,19215,931,369,6,start,30.0,30.0,30.0
12,22592,940,369,6,end,30.0,30.0,30.0
12,22598,940,383,6,start,30.0,30.0,30.0
12,25976,949,383,6,end,30.0,30.0,30.0
