sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_232,232,1,3,7,BackEnd FrontEnd Design
RandomTask_211,211,1,2,4,FrontEnd Design
RandomTask_226,226,1,4,3,BackEnd FrontEnd Design
RandomTask_217,217,1,4,6,BackEnd Design
RandomTask_207,207,1,7,2,FrontEnd Design
RandomTask_210,210,1,3,7,BackEnd Design
RandomTask_219,219,1,1,6,BackEnd Design
RandomTask_213,213,1,4,4,FrontEnd Design
RandomTask_220,220,1,3,7,BackEnd Design
RandomTask_218,218,1,1,4,BackEnd FrontEnd
RandomTask_231,231,1,7,1,BackEnd FrontEnd Design
RandomTask_214,214,1,6,3,BackEnd Design
RandomTask_215,215,1,10,2,FrontEnd Design
RandomTask_228,228,1,2,2,FrontEnd Design
RandomTask_216,216,1,6,3,BackEnd FrontEnd
RandomTask_224,224,1,10,7,Design
RandomTask_225,225,1,8,1,FrontEnd Design
RandomTask_221,221,1,7,4,BackEnd FrontEnd
RandomTask_223,223,1,9,6,BackEnd Design
RandomTask_208,208,1,2,7,Design
RandomTask_227,227,1,5,2,BackEnd FrontEnd
RandomTask_234,234,1,3,2,FrontEnd
RandomTask_206,206,1,4,4,BackEnd
RandomTask_230,230,1,9,3,BackEnd FrontEnd
RandomTask_233,233,1,8,1,BackEnd FrontEnd
RandomTask_205,205,1,9,6,BackEnd
RandomTask_209,209,1,9,7,BackEnd
RandomTask_229,229,1,10,3,BackEnd
RandomTask_212,212,1,10,2,BackEnd
RandomTask_222,222,1,10,4,BackEnd
