sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,30,0,2,6,start,0.1,0.1,0.1
1,18033,48,2,6,end,0.1,0.1,0.9999999999999999
1,18041,48,12,4,start,0.1,0.1,0.9999999999999999
1,30044,80,12,4,end,0.7,0.1,1.5999999999999999
2,36,80,16,9,start,0.7,0.1,1.5999999999999999
2,27039,152,16,9,end,2.05,1.45,1.5999999999999999
3,16,160,18,1,start,2.05,1.45,1.5999999999999999
3,3017,168,18,1,end,2.1999999999999997,1.5999999999999999,1.7499999999999998
3,3030,168,23,9,start,2.1999999999999997,1.5999999999999999,1.7499999999999998
3,30034,240,23,9,end,2.1999999999999997,1.5999999999999999,3.0999999999999996
4,17,240,27,4,start,2.1999999999999997,1.5999999999999999,3.0999999999999996
4,12021,272,27,4,end,2.1999999999999997,2.1999999999999997,3.0999999999999996
4,12025,272,26,3,start,2.1999999999999997,2.1999999999999997,3.0999999999999996
4,21028,296,26,3,end,2.6499999999999995,2.6499999999999995,3.0999999999999996
5,6,320,35,2,start,2.6499999999999995,2.6499999999999995,3.0999999999999996
5,6009,336,35,2,end,2.9499999999999993,2.9499999999999993,3.0999999999999996
5,6015,336,38,6,start,2.9499999999999993,2.9499999999999993,3.0999999999999996
5,24017,384,38,6,end,2.9499999999999993,3.849999999999999,3.9999999999999996
5,24023,384,34,2,start,2.9499999999999993,3.849999999999999,3.9999999999999996
5,30026,400,34,2,end,3.249999999999999,4.1499999999999995,4.3
7,13,480,40,6,start,3.249999999999999,4.1499999999999995,4.3
7,18015,528,40,6,end,4.149999999999999,5.049999999999999,5.199999999999999
10,25,720,51,6,start,4.149999999999999,5.049999999999999,5.199999999999999
10,6027,736,51,6,end,4.149999999999999,5.949999999999999,5.199999999999999
10,6029,736,60,10,start,4.149999999999999,5.949999999999999,5.199999999999999
10,15781,762,60,10,end,4.149999999999999,5.949999999999999,6.699999999999999
11,12,800,65,4,start,4.149999999999999,5.949999999999999,6.699999999999999
11,3765,810,65,4,end,4.149999999999999,5.949999999999999,7.299999999999999
11,3770,810,69,5,start,4.149999999999999,5.949999999999999,7.299999999999999
11,8647,823,69,5,end,4.149999999999999,6.699999999999999,8.049999999999999
11,8652,823,66,10,start,4.149999999999999,6.699999999999999,8.049999999999999
11,18404,849,66,10,end,4.149999999999999,8.2,8.049999999999999
12,19,880,77,7,start,4.149999999999999,8.2,8.049999999999999
12,6772,898,77,7,end,4.149999999999999,9.25,8.049999999999999
12,6783,898,80,10,start,4.149999999999999,9.25,8.049999999999999
12,21785,938,80,10,end,5.649999999999999,10.75,8.049999999999999
13,14,960,95,2,start,5.649999999999999,10.75,8.049999999999999
13,1890,965,95,2,end,5.649999999999999,10.75,8.35
13,1897,965,92,8,start,5.649999999999999,10.75,8.35
13,9775,986,92,8,end,5.649999999999999,10.75,9.549999999999999
14,16,1040,99,4,start,5.649999999999999,10.75,9.549999999999999
14,3769,1050,99,4,end,5.649999999999999,11.35,9.549999999999999
14,3772,1050,107,6,start,5.649999999999999,11.35,9.549999999999999
14,9775,1066,107,6,end,5.649999999999999,12.25,9.549999999999999
14,9780,1066,105,8,start,5.649999999999999,12.25,9.549999999999999
14,17657,1087,105,8,end,6.849999999999999,13.45,10.749999999999998
15,26673,1191,122,1,start,6.849999999999999,13.45,10.749999999999998
15,753,1122,122,1,end,6.999999999999999,13.6,10.749999999999998
15,753,1122,139,3,start,6.999999999999999,13.6,10.749999999999998
15,3754,1130,139,3,end,7.449999999999999,13.6,10.749999999999998
15,3756,1130,124,7,start,7.449999999999999,13.6,10.749999999999998
15,10509,1148,124,7,end,8.5,13.6,10.749999999999998
15,10515,1148,128,6,start,8.5,13.6,10.749999999999998
15,16517,1164,128,6,end,9.4,14.5,11.649999999999999
16,17,1200,162,1,start,9.4,14.5,11.649999999999999
16,770,1202,162,1,end,9.55,14.65,11.799999999999999
