sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6235243257623624,50,80,0
2,0.6115622711841843,49,80,0
3,0.5366235149256214,43,80,0
4,0.46203796203796205,37,80,0
5,0.41195073235685753,33,80,0
6,0.12490747594374538,9,72,8
7,0.3538324915357718,17,48,32
8,0.324761841316368,26,80,0
9,0.7678918808231802,20,26,54
10,0.7238177643182802,58,80,0
11,0.801961021668079,53,66,14
12,1.0498898476225444,61,58,22
13,1.5562649640861932,78,50,30
14,1.6878586699673679,120,71,9
15,1.6907470027666769,132,78,2
16,1.3267403463845273,105,79,1
17,0.7169927276451911,56,78,2
18,0.7232781596296817,55,76,4
19,1.685814185814186,54,32,48
20,2.1248282967032965,132,62,18
21,2.640731675898493,164,62,18
22,2.961612939970384,208,70,10
23,2.982590885816692,233,78,2
24,3.246398952422523,238,73,7
25,3.1695194556665958,159,50,30
