sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_218,218,1,1,6,BackEnd FrontEnd
RandomTask_219,219,1,1,4,BackEnd Design
RandomTask_234,234,1,3,3,FrontEnd
RandomTask_237,237,1,3,7,BackEnd
RandomTask_228,228,1,2,1,FrontEnd Design
RandomTask_240,240,1,2,2,BackEnd FrontEnd
RandomTask_220,220,1,3,6,BackEnd Design
RandomTask_232,232,1,3,4,BackEnd FrontEnd Design
RandomTask_238,238,1,3,3,BackEnd FrontEnd Design
RandomTask_217,217,1,4,7,BackEnd Design
RandomTask_213,213,1,4,1,FrontEnd Design
RandomTask_241,241,1,4,2,BackEnd Design
RandomTask_226,226,1,4,6,BackEnd FrontEnd Design
RandomTask_236,236,1,5,4,FrontEnd Design
RandomTask_227,227,1,5,3,BackEnd FrontEnd
RandomTask_235,235,1,7,7,BackEnd
RandomTask_214,214,1,6,1,BackEnd Design
RandomTask_216,216,1,6,2,BackEnd FrontEnd
RandomTask_224,224,1,10,4,Design
RandomTask_222,222,1,10,3,BackEnd
RandomTask_229,229,1,10,7,BackEnd
RandomTask_221,221,1,7,6,BackEnd FrontEnd
RandomTask_239,239,1,10,1,Design
RandomTask_233,233,1,8,3,BackEnd FrontEnd
RandomTask_231,231,1,7,4,BackEnd FrontEnd Design
RandomTask_223,223,1,9,7,BackEnd Design
RandomTask_225,225,1,8,2,FrontEnd Design
RandomTask_215,215,1,10,1,FrontEnd Design
RandomTask_230,230,1,9,6,BackEnd FrontEnd
