sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,30,0,8,2,start,0.1,0.1,0.1
1,6061,16,8,2,end,0.1,0.4,0.4
1,6069,16,2,6,start,0.1,0.4,0.4
1,24068,64,2,6,end,0.1,0.4,1.2999999999999998
1,24077,64,6,2,start,0.1,0.4,1.2999999999999998
1,30078,80,6,2,end,0.4,0.4,1.2999999999999998
2,11,80,17,10,start,0.4,0.4,1.2999999999999998
2,30008,160,17,10,end,0.4,1.9,2.8
3,5,160,22,3,start,0.4,1.9,2.8
3,9011,184,22,3,end,0.85,2.3499999999999996,2.8
4,14,240,27,4,start,0.85,2.3499999999999996,2.8
4,12018,272,27,4,end,0.85,2.9499999999999997,2.8
4,12020,272,23,6,start,0.85,2.9499999999999997,2.8
4,30019,320,23,6,end,0.85,2.9499999999999997,3.6999999999999997
5,4,320,34,8,start,0.85,2.9499999999999997,3.6999999999999997
5,24004,384,34,8,end,2.05,4.1499999999999995,4.8999999999999995
7,2,480,37,1,start,2.05,4.1499999999999995,4.8999999999999995
7,3010,488,37,1,end,2.1999999999999997,4.1499999999999995,4.8999999999999995
7,3013,488,41,6,start,2.1999999999999997,4.1499999999999995,4.8999999999999995
7,21014,536,41,6,end,2.1999999999999997,5.049999999999999,4.8999999999999995
8,8,560,43,4,start,2.1999999999999997,5.049999999999999,4.8999999999999995
8,12009,592,43,4,end,2.8,5.049999999999999,4.8999999999999995
9,8,640,49,9,start,2.8,5.049999999999999,4.8999999999999995
9,13509,676,49,9,end,4.1499999999999995,6.399999999999999,4.8999999999999995
9,13511,676,47,2,start,4.1499999999999995,6.399999999999999,4.8999999999999995
9,19511,692,47,2,end,4.449999999999999,6.399999999999999,4.8999999999999995
10,4,720,58,1,start,4.449999999999999,6.399999999999999,4.8999999999999995
10,1505,724,58,1,end,4.6,6.549999999999999,5.05
10,1506,724,56,6,start,4.6,6.549999999999999,5.05
10,7507,740,56,6,end,4.6,7.449999999999999,5.949999999999999
10,7509,740,61,9,start,4.6,7.449999999999999,5.949999999999999
10,21009,776,61,9,end,5.949999999999999,7.449999999999999,7.299999999999999
11,6,800,60,9,start,5.949999999999999,7.449999999999999,7.299999999999999
11,9008,824,60,9,end,5.949999999999999,7.449999999999999,8.649999999999999
12,28,880,74,7,start,5.949999999999999,7.449999999999999,8.649999999999999
12,6779,898,74,7,end,6.999999999999999,7.449999999999999,9.7
12,6789,898,76,1,start,6.999999999999999,7.449999999999999,9.7
12,7541,900,76,1,end,6.999999999999999,7.6,9.7
12,7549,900,66,10,start,6.999999999999999,7.6,9.7
12,17301,926,66,10,end,6.999999999999999,9.1,9.7
13,5,960,79,2,start,6.999999999999999,9.1,9.7
13,1880,965,79,2,end,6.999999999999999,9.4,10.0
13,1881,965,91,1,start,6.999999999999999,9.4,10.0
13,2632,967,91,1,end,6.999999999999999,9.55,10.15
13,2634,967,93,3,start,6.999999999999999,9.55,10.15
13,5635,975,93,3,end,6.999999999999999,10.0,10.6
13,5636,975,90,4,start,6.999999999999999,10.0,10.6
13,9387,985,90,4,end,6.999999999999999,10.6,10.6
13,9393,985,82,10,start,6.999999999999999,10.6,10.6
13,19145,1011,82,10,end,6.999999999999999,10.6,12.1
15,7,1120,112,6,start,6.999999999999999,10.6,12.1
15,6008,1136,112,6,end,7.899999999999999,11.5,13.0
15,6011,1136,117,1,start,7.899999999999999,11.5,13.0
15,6762,1138,117,1,end,7.899999999999999,11.65,13.0
15,6764,1138,107,6,start,7.899999999999999,11.65,13.0
15,12765,1154,107,6,end,7.899999999999999,12.55,13.0
15,12770,1154,110,6,start,7.899999999999999,12.55,13.0
15,18771,1170,110,6,end,7.899999999999999,12.55,13.9
16,7,1200,122,1,start,7.899999999999999,12.55,13.9
16,757,1202,122,1,end,8.049999999999999,12.700000000000001,13.9
16,758,1202,132,7,start,8.049999999999999,12.700000000000001,13.9
16,7509,1220,132,7,end,9.1,13.750000000000002,13.9
16,7511,1220,135,10,start,9.1,13.750000000000002,13.9
16,17261,1246,135,10,end,10.6,13.750000000000002,15.4
17,3,1280,138,3,start,10.6,13.750000000000002,15.4
17,3005,1288,138,3,end,11.049999999999999,14.200000000000001,15.85
17,3010,1288,144,10,start,11.049999999999999,14.200000000000001,15.85
17,12762,1314,144,10,end,11.049999999999999,15.700000000000001,17.35
17,12767,1314,139,3,start,11.049999999999999,15.700000000000001,17.35
17,15769,1322,139,3,end,11.499999999999998,15.700000000000001,17.35
17,15775,1322,146,6,start,11.499999999999998,15.700000000000001,17.35
17,21777,1338,146,6,end,11.499999999999998,15.700000000000001,18.25
18,24,1360,189,6,start,11.499999999999998,15.700000000000001,18.25
18,6026,1376,189,6,end,12.399999999999999,16.6,19.15
