sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6856031645780009,55,80,0
2,0.4869805540756526,39,80,0
3,0.5128683327116748,33,64,16
4,0.4871752165223185,39,80,0
5,0.42467441628085134,34,80,0
6,0.2496768887322289,17,68,12
7,0.303340312143129,17,56,24
8,0.638510512289014,23,36,44
9,0.5871868336886994,47,80,0
10,0.3635230577482343,28,77,3
11,0.89166825185467,25,28,52
12,1.222171218728483,71,58,22
13,1.1996001332889037,96,80,0
14,0.8973408378551448,71,79,1
15,1.2954646399842076,70,54,26
16,1.8348512741013467,101,55,25
17,1.9847063547103698,145,73,7
18,2.0205292593097806,158,78,2
19,1.855675380520101,145,78,2
20,1.9430051813471503,148,76,4
21,3.0935653840012773,155,50,30
22,3.2317393589069887,246,76,4
23,3.441481321528827,255,74,6
24,3.4370670361291698,172,50,30
