sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_79,79,1,2,3,FrontEnd Design
RandomTask_91,91,1,1,3,FrontEnd Design
RandomTask_83,83,1,3,1,BackEnd Design
RandomTask_81,81,1,5,7,BackEnd FrontEnd Design
RandomTask_85,85,1,2,1,BackEnd
RandomTask_93,93,1,3,3,FrontEnd Design
RandomTask_89,89,1,2,4,BackEnd FrontEnd Design
RandomTask_84,84,1,6,6,BackEnd Design
RandomTask_90,90,1,4,3,FrontEnd
RandomTask_77,77,1,7,7,FrontEnd
RandomTask_92,92,1,8,1,Design
RandomTask_86,86,1,10,4,BackEnd
RandomTask_88,88,1,5,1,Design
RandomTask_78,78,1,9,6,FrontEnd
RandomTask_82,82,1,10,3,Design
RandomTask_87,87,1,9,7,Design
RandomTask_80,80,1,10,2,BackEnd FrontEnd
