sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,4,0,8,2,start,0.1,0.1,0.1
1,6041,16,8,2,end,0.1,0.4,0.4
1,6044,16,3,7,start,0.1,0.4,0.4
1,27046,72,3,7,end,0.1,0.4,1.4500000000000002
3,9,160,18,1,start,0.1,0.4,1.4500000000000002
3,3013,168,18,1,end,0.25,0.55,1.6
5,5,320,27,4,start,0.25,0.55,1.6
5,12007,352,27,4,end,0.25,1.15,1.6
7,8,480,36,3,start,0.25,1.15,1.6
7,9011,504,36,3,end,0.7,1.15,1.6
8,10,560,37,4,start,0.7,1.15,1.6
8,12013,592,37,4,end,1.2999999999999998,1.15,1.6
9,12,640,42,5,start,1.2999999999999998,1.15,1.6
9,15016,680,42,5,end,2.05,1.15,1.6
11,8,800,49,9,start,2.05,1.15,1.6
11,27011,872,49,9,end,3.3999999999999995,2.5,1.6
12,9,880,52,1,start,3.3999999999999995,2.5,1.6
12,3010,888,52,1,end,3.5499999999999994,2.65,1.75
13,23,960,60,10,start,3.5499999999999994,2.65,1.75
13,30025,1040,60,10,end,3.5499999999999994,2.65,3.25
17,6,1280,73,10,start,3.5499999999999994,2.65,3.25
17,30009,1360,73,10,end,3.5499999999999994,4.15,4.75
19,7,1440,83,3,start,3.5499999999999994,4.15,4.75
19,9008,1464,83,3,end,3.999999999999999,4.15,5.2
20,8,1520,95,2,start,3.999999999999999,4.15,5.2
20,1884,1525,95,2,end,3.999999999999999,4.15,5.5
20,1889,1525,88,5,start,3.999999999999999,4.15,5.5
20,6766,1538,88,5,end,3.999999999999999,4.15,6.25
20,6772,1538,87,9,start,3.999999999999999,4.15,6.25
20,15775,1562,87,9,end,3.999999999999999,4.15,7.6
21,13,1600,122,1,start,3.999999999999999,4.15,7.6
21,3016,1608,122,1,end,4.1499999999999995,4.300000000000001,7.6
21,3027,1608,110,6,start,4.1499999999999995,4.300000000000001,7.6
21,9029,1624,110,6,end,4.1499999999999995,4.300000000000001,8.5
21,9031,1624,112,6,start,4.1499999999999995,4.300000000000001,8.5
21,19534,1652,112,6,end,5.049999999999999,5.200000000000001,9.4
21,19537,1652,121,9,start,5.049999999999999,5.200000000000001,9.4
21,28540,1676,121,9,end,6.399999999999999,6.550000000000001,10.75
22,13,1680,131,3,start,6.399999999999999,6.550000000000001,10.75
22,3015,1688,131,3,end,6.399999999999999,7.000000000000001,10.75
22,3018,1688,129,3,start,6.399999999999999,7.000000000000001,10.75
22,6021,1696,129,3,end,6.399999999999999,7.000000000000001,11.2
22,6024,1696,143,8,start,6.399999999999999,7.000000000000001,11.2
22,13902,1717,143,8,end,6.399999999999999,7.000000000000001,12.399999999999999
22,13904,1717,128,6,start,6.399999999999999,7.000000000000001,12.399999999999999
22,19905,1733,128,6,end,7.299999999999999,7.9,13.299999999999999
22,19906,1733,144,10,start,7.299999999999999,7.9,13.299999999999999
22,29658,1759,144,10,end,7.299999999999999,9.4,14.799999999999999
23,2,1760,150,1,start,7.299999999999999,9.4,14.799999999999999
23,753,1762,150,1,end,7.299999999999999,9.55,14.95
23,753,1762,148,4,start,7.299999999999999,9.55,14.95
23,4505,1772,148,4,end,7.299999999999999,10.15,15.549999999999999
23,4506,1772,156,5,start,7.299999999999999,10.15,15.549999999999999
23,9382,1785,156,5,end,8.049999999999999,10.9,15.549999999999999
23,9385,1785,160,9,start,8.049999999999999,10.9,15.549999999999999
23,18387,1809,160,9,end,8.049999999999999,10.9,16.9
24,10,1840,180,1,start,8.049999999999999,10.9,16.9
24,762,1842,180,1,end,8.2,10.9,16.9
24,767,1842,178,3,start,8.2,10.9,16.9
24,3769,1850,178,3,end,8.649999999999999,11.35,17.349999999999998
24,3773,1850,165,7,start,8.649999999999999,11.35,17.349999999999998
24,10525,1868,165,7,end,8.649999999999999,11.35,18.4
24,10537,1868,181,8,start,8.649999999999999,11.35,18.4
24,18414,1889,181,8,end,9.849999999999998,11.35,18.4
25,23,1920,202,2,start,9.849999999999998,11.35,18.4
25,1899,1925,202,2,end,10.149999999999999,11.35,18.4
25,1904,1925,190,5,start,10.149999999999999,11.35,18.4
25,6781,1938,190,5,end,10.899999999999999,11.35,18.4
25,6787,1938,195,9,start,10.899999999999999,11.35,18.4
25,15790,1962,195,9,end,10.899999999999999,12.7,18.4
26,1,2000,219,1,start,10.899999999999999,12.7,18.4
26,753,2002,219,1,end,11.049999999999999,12.7,18.549999999999997
26,755,2002,220,3,start,11.049999999999999,12.7,18.549999999999997
26,3757,2010,220,3,end,11.499999999999998,12.7,18.999999999999996
26,3760,2010,236,5,start,11.499999999999998,12.7,18.999999999999996
26,8638,2023,236,5,end,11.499999999999998,13.45,19.749999999999996
26,8652,2023,224,10,start,11.499999999999998,13.45,19.749999999999996
26,18405,2049,224,10,end,11.499999999999998,13.45,21.249999999999996
