sprint,time,model time in overall project,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,0,0,6,5,start,1,3,2
1,15040,40,6,5,end,1.75,3,2
1,15070,40,12,2,start,1.75,3,2
1,21073,56,12,2,end,1.75,3,2.3
2,13,80,14,8,start,1.75,3,2.3
2,24015,144,14,8,end,1.75,4.2,2.3
3,25,160,18,10,start,1.75,4.2,2.3
3,30029,240,18,10,end,3.25,4.2,3.8
6,31,400,27,6,start,3.25,4.2,3.8
6,18033,448,27,6,end,4.15,4.2,4.7
7,15,480,38,3,start,4.15,4.2,4.7
7,9018,504,38,3,end,4.6,4.2,4.7
8,27,560,47,5,start,4.6,4.2,4.7
8,15030,600,47,5,end,4.6,4.95,5.45
9,22,640,53,3,start,4.6,4.95,5.45
9,4523,652,53,3,end,5.05,4.95,5.9
9,4525,652,60,8,start,5.05,4.95,5.9
9,16528,684,60,8,end,5.05,6.15,7.1
10,33,720,70,5,start,5.05,6.15,7.1
10,4910,733,70,5,end,5.8,6.9,7.1
10,4921,733,75,9,start,5.8,6.9,7.1
10,13924,757,75,9,end,7.15,6.9,8.45
11,28,800,89,4,start,7.15,6.9,8.45
11,3779,810,89,4,end,7.75,7.5,8.45
11,3784,810,84,6,start,7.75,7.5,8.45
11,9787,826,84,6,end,8.65,8.4,9.35
11,9792,826,82,8,start,8.65,8.4,9.35
11,17670,847,82,8,end,9.85,9.6,10.55
12,30,880,104,3,start,9.85,9.6,10.55
12,3031,888,104,3,end,9.85,10.05,10.55
12,3036,888,118,5,start,9.85,10.05,10.55
12,7914,901,118,5,end,10.6,10.05,11.3
12,7917,901,99,9,start,10.6,10.05,11.3
12,16919,925,99,9,end,11.95,11.4,11.3
13,22,960,126,2,start,11.95,11.4,11.3
13,1899,965,126,2,end,11.95,11.7,11.6
13,1904,965,130,3,start,11.95,11.7,11.6
13,4906,973,130,3,end,12.4,11.7,12.05
13,4911,973,137,6,start,12.4,11.7,12.05
13,10914,989,137,6,end,12.4,11.7,12.95
13,10919,989,138,9,start,12.4,11.7,12.95
13,19922,1013,138,9,end,13.75,11.7,12.95
13,19928,1013,142,8,start,13.75,11.7,12.95
13,27806,1034,142,8,end,14.95,11.7,14.15
14,10,1040,153,1,start,14.95,11.7,14.15
14,762,1042,153,1,end,14.95,11.7,14.3
14,767,1042,158,2,start,14.95,11.7,14.3
14,2644,1047,158,2,end,14.95,11.7,14.6
14,2649,1047,144,3,start,14.95,11.7,14.6
14,5652,1055,144,3,end,15.4,11.7,15.05
14,5657,1055,157,3,start,15.4,11.7,15.05
14,8659,1063,157,3,end,15.85,11.7,15.5
14,8664,1063,159,5,start,15.85,11.7,15.5
14,13541,1076,159,5,end,15.85,12.45,15.5
14,13546,1076,161,6,start,15.85,12.45,15.5
14,19549,1092,161,6,end,15.85,12.45,16.4
14,19554,1092,160,8,start,15.85,12.45,16.4
14,27432,1113,160,8,end,15.85,12.45,17.6
15,5,1120,163,8,start,15.85,12.45,17.6
15,7883,1141,163,8,end,15.85,12.45,18.8
15,7887,1141,149,7,start,15.85,12.45,18.8
15,14639,1159,149,7,end,16.9,13.5,18.8
