sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.6109522542891341,49,80,0
2,0.43717940177203385,35,80,0
3,0.34954559073204833,28,80,0
4,0.3248051169298421,26,80,0
5,0.3193143534115731,23,72,8
6,0.2810626249167222,18,64,16
7,0.3278244942136375,21,64,16
8,0.47842245396050587,23,48,32
9,0.42460370321033697,34,80,0
10,0.13323858589447504,8,60,20
11,0.2637521285259495,19,72,8
12,0.4162273156112992,20,48,32
13,0.3621619821499933,29,80,0
14,0.2998900403185499,24,80,0
15,0.26902842306641156,21,78,2
16,0.38610623220883045,17,44,36
17,0.3373762953583686,27,80,0
18,0.614586178639716,24,39,41
19,1.178037287441098,46,39,41
20,1.7571884984025559,88,50,30
21,1.5860022510999694,124,78,2
22,1.4479728380267627,116,80,0
23,1.5265536301165223,109,71,9
24,1.460747103475829,117,80,0
25,2.1039903264812576,116,55,25
26,2.237374813552099,168,75,5
