sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_153,153,1,1,7,Design
RandomTask_155,155,1,1,4,Design FrontEnd BackEnd
RandomTask_158,158,1,2,7,Design
RandomTask_143,143,1,3,4,BackEnd
RandomTask_144,144,1,3,7,Design BackEnd
RandomTask_146,146,1,3,4,FrontEnd BackEnd
RandomTask_157,157,1,3,7,Design BackEnd
RandomTask_145,145,1,5,4,BackEnd
RandomTask_159,159,1,5,7,FrontEnd
RandomTask_161,161,1,6,7,Design
RandomTask_151,151,1,8,4,BackEnd
RandomTask_160,160,1,8,7,Design
RandomTask_156,156,1,9,4,BackEnd
RandomTask_149,149,1,1,4,FrontEnd BackEnd
