sep=,
sprint,time,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,26,10,10,start,2.0,1.5,2.0
1,30030,10,10,end,3.5,3.0,2.0
2,11,18,10,start,3.5,3.0,2.0
2,30014,18,10,end,5.0,3.0,3.5
3,18,22,2,start,5.0,3.0,3.5
3,6020,22,2,end,5.3,3.3,3.8
3,6026,30,3,start,5.3,3.3,3.8
3,10528,30,3,end,5.75,3.3,4.25
3,10534,26,3,start,5.75,3.3,4.25
3,13536,26,3,end,6.2,3.3,4.25
3,13543,31,1,start,6.2,3.3,4.25
3,16546,31,1,end,6.2,3.3,4.4
5,14,39,7,start,6.2,3.3,4.4
5,6766,39,7,end,7.25,3.3,4.4
7,4,48,2,start,7.25,3.3,4.4
7,1885,48,2,end,7.55,3.3,4.4
8,4,53,3,start,7.55,3.3,4.4
8,4505,53,3,end,8.0,3.3,4.8500000000000005
9,16,66,4,start,8.0,3.3,4.8500000000000005
9,7151,66,4,end,8.6,3.9,5.45
10,14,74,6,start,8.6,3.9,5.45
10,6017,74,6,end,9.5,3.9,6.35
11,24,75,9,start,9.5,3.9,6.35
11,9026,75,9,end,10.85,3.9,7.699999999999999
11,9031,79,1,start,10.85,3.9,7.699999999999999
11,9783,79,1,end,10.85,3.9,7.85
11,9791,87,7,start,10.85,3.9,7.85
11,16543,87,7,end,11.9,3.9,7.85
12,16,100,8,start,11.9,3.9,7.85
12,10142,100,8,end,13.1,5.1,9.049999999999999
12,10145,93,2,start,13.1,5.1,9.049999999999999
12,12021,93,2,end,13.1,5.1,9.35
12,12026,105,2,start,13.1,5.1,9.35
12,13903,105,2,end,13.4,5.1,9.35
12,13908,102,9,start,13.4,5.1,9.35
12,22910,102,9,end,13.4,6.449999999999999,9.35
13,36,120,8,start,13.4,6.449999999999999,9.35
13,7913,120,8,end,14.6,7.6499999999999995,9.35
13,7918,122,6,start,14.6,7.6499999999999995,9.35
13,13920,122,6,end,15.5,7.6499999999999995,10.25
13,13926,135,8,start,15.5,7.6499999999999995,10.25
13,21803,135,8,end,16.7,7.6499999999999995,10.25
14,20,142,8,start,16.7,7.6499999999999995,10.25
14,7897,142,8,end,17.9,7.6499999999999995,11.45
14,7899,157,3,start,17.9,7.6499999999999995,11.45
14,10901,157,3,end,18.349999999999998,7.6499999999999995,11.899999999999999
14,10904,151,8,start,18.349999999999998,7.6499999999999995,11.899999999999999
14,18780,151,8,end,19.549999999999997,7.6499999999999995,11.899999999999999
14,18786,145,5,start,19.549999999999997,7.6499999999999995,11.899999999999999
14,23663,145,5,end,20.299999999999997,7.6499999999999995,11.899999999999999
15,10,178,7,start,20.299999999999997,7.6499999999999995,11.899999999999999
15,5638,178,7,end,21.349999999999998,8.7,12.95
15,5643,169,7,start,21.349999999999998,8.7,12.95
15,10895,169,7,end,22.4,8.7,14.0
15,10900,179,2,start,22.4,8.7,14.0
15,12402,179,2,end,22.7,8.7,14.3
15,12407,185,9,start,22.7,8.7,14.3
15,19159,185,9,end,24.05,8.7,15.65
15,19164,184,8,start,24.05,8.7,15.65
15,23666,184,8,end,25.25,8.7,15.65
15,23672,174,5,start,25.25,8.7,15.65
15,28549,174,5,end,25.25,9.45,15.65
15,28555,192,1,start,25.25,9.45,15.65
15,29307,192,1,end,25.25,9.45,15.8
16,20,205,4,start,25.25,9.45,15.8
16,3022,205,4,end,25.85,10.049999999999999,16.400000000000002
16,3027,209,1,start,25.85,10.049999999999999,16.400000000000002
16,3779,209,1,end,26.0,10.049999999999999,16.55
16,3783,197,9,start,26.0,10.049999999999999,16.55
16,10535,197,9,end,27.35,10.049999999999999,17.900000000000002
16,10540,193,10,start,27.35,10.049999999999999,17.900000000000002
16,16542,193,10,end,28.85,10.049999999999999,17.900000000000002
16,16547,208,8,start,28.85,10.049999999999999,17.900000000000002
16,24424,208,8,end,28.85,11.249999999999998,17.900000000000002
17,15,232,7,start,28.85,11.249999999999998,17.900000000000002
17,5642,232,7,end,29.900000000000002,12.299999999999999,18.950000000000003
17,5647,212,10,start,29.900000000000002,12.299999999999999,18.950000000000003
17,15399,212,10,end,29.900000000000002,13.799999999999999,20.450000000000003
17,15405,241,3,start,29.900000000000002,13.799999999999999,20.450000000000003
17,16907,241,3,end,29.900000000000002,13.799999999999999,20.900000000000002
18,16,255,10,start,29.900000000000002,13.799999999999999,20.900000000000002
18,6767,255,10,end,30.0,15.299999999999999,22.400000000000002
18,6770,254,7,start,30.0,15.299999999999999,22.400000000000002
18,10897,254,7,end,30.0,15.299999999999999,23.450000000000003
18,10902,269,7,start,30.0,15.299999999999999,23.450000000000003
18,15029,269,7,end,30.0,15.299999999999999,24.500000000000004
18,15035,247,3,start,30.0,15.299999999999999,24.500000000000004
18,16537,247,3,end,30.0,15.299999999999999,24.950000000000003
18,16543,259,10,start,30.0,15.299999999999999,24.950000000000003
18,22545,259,10,end,30.0,15.299999999999999,26.450000000000003
19,19,275,4,start,30.0,15.299999999999999,26.450000000000003
19,2647,275,4,end,30.0,15.899999999999999,27.050000000000004
19,2652,292,6,start,30.0,15.899999999999999,27.050000000000004
19,7154,292,6,end,30.0,16.799999999999997,27.950000000000003
19,7159,291,6,start,30.0,16.799999999999997,27.950000000000003
19,10536,291,6,end,30.0,16.799999999999997,28.85
19,10541,281,1,start,30.0,16.799999999999997,28.85
19,10918,281,1,end,30.0,16.799999999999997,29.0
19,10923,290,1,start,30.0,16.799999999999997,29.0
19,11300,290,1,end,30.0,16.799999999999997,29.15
19,11308,294,9,start,30.0,16.799999999999997,29.15
19,18059,294,9,end,30.0,18.15,29.15
