sprint,time,model time overall project,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,31,0,11,4,start,1.5,1,1
1,12033,32,11,4,end,1.5,1.6,1.6
1,12052,32,4,5,start,1.5,1.6,1.6
1,27057,72,4,5,end,1.5,2.35,1.6
1,27064,72,12,1,start,1.5,2.35,1.6
1,30066,80,12,1,end,1.5,2.35,1.75
2,15,80,21,10,start,1.5,2.35,1.75
2,30018,160,21,10,end,1.5,3.85,3.25
3,25,160,28,6,start,1.5,3.85,3.25
3,18027,208,28,6,end,2.4,4.75,3.25
3,18036,208,23,4,start,2.4,4.75,3.25
3,30038,240,23,4,end,2.4,4.75,3.85
8,3,560,52,5,start,2.4,4.75,3.85
8,15004,600,52,5,end,3.15,4.75,4.6
9,26,640,67,3,start,3.15,4.75,4.6
9,9028,664,67,3,end,3.6,5.2,5.05
10,23,720,70,5,start,3.6,5.2,5.05
10,7526,740,70,5,end,4.35,5.95,5.05
11,31,800,80,2,start,4.35,5.95,5.05
11,1908,805,80,2,end,4.35,6.25,5.35
11,1914,805,77,10,start,4.35,6.25,5.35
11,16916,845,77,10,end,5.85,7.75,5.35
12,19,880,110,3,start,5.85,7.75,5.35
12,3021,888,110,3,end,6.3,8.2,5.8
12,3026,888,95,5,start,6.3,8.2,5.8
12,7903,901,95,5,end,6.3,8.95,6.55
12,7906,901,106,6,start,6.3,8.95,6.55
12,13908,917,106,6,end,6.3,9.85,7.45
12,13915,917,103,10,start,6.3,9.85,7.45
12,23667,943,103,10,end,7.8,9.85,7.45
13,38,960,124,1,start,7.8,9.85,7.45
13,789,962,124,1,end,7.8,10,7.6
13,794,962,128,1,start,7.8,10,7.6
13,1546,964,128,1,end,7.95,10.15,7.6
13,1551,964,133,1,start,7.95,10.15,7.6
13,2303,966,133,1,end,8.1,10.3,7.6
13,2308,966,117,9,start,8.1,10.3,7.6
13,11310,990,117,9,end,9.45,11.65,7.6
13,11315,990,114,2,start,9.45,11.65,7.6
13,13192,995,114,2,end,9.45,11.95,7.6
13,13198,995,134,4,start,9.45,11.95,7.6
13,16950,1005,134,4,end,10.05,11.95,7.6
13,16956,1005,137,6,start,10.05,11.95,7.6
13,22958,1021,137,6,end,10.05,11.95,8.5
14,24,1040,147,8,start,10.05,11.95,8.5
14,7901,1061,147,8,end,10.05,13.15,9.7
14,7903,1061,164,5,start,10.05,13.15,9.7
14,12780,1074,164,5,end,10.8,13.9,9.7
14,12786,1074,158,2,start,10.8,13.9,9.7
14,14662,1079,158,2,end,10.8,13.9,10
14,14667,1079,141,5,start,10.8,13.9,10
14,19544,1092,141,5,end,10.8,13.9,10.75
14,19550,1092,150,10,start,10.8,13.9,10.75
14,29302,1118,150,10,end,10.8,13.9,12.25
15,16,1120,173,4,start,10.8,13.9,12.25
15,3768,1130,173,4,end,11.4,14.5,12.85
15,3773,1130,188,3,start,11.4,14.5,12.85
15,6775,1138,188,3,end,11.85,14.95,13.3
15,6780,1138,172,8,start,11.85,14.95,13.3
15,14657,1159,172,8,end,13.05,16.15,13.3
15,14662,1159,190,10,start,13.05,16.15,13.3
15,24414,1185,190,10,end,14.55,16.15,14.8
15,24420,1185,191,5,start,14.55,16.15,14.8
15,29297,1198,191,5,end,14.55,16.15,15.55
17,12,1280,224,1,start,14.55,16.15,15.55
17,767,1282,224,1,end,14.7,16.15,15.7
17,772,1282,235,2,start,14.7,16.15,15.7
17,2649,1287,235,2,end,15,16.45,15.7
17,2654,1287,240,1,start,15,16.45,15.7
17,3406,1289,240,1,end,15,16.6,15.85
17,3411,1289,215,2,start,15,16.6,15.85
17,5288,1294,215,2,end,15.3,16.6,16.15
17,5293,1294,220,7,start,15.3,16.6,16.15
17,12045,1312,220,7,end,16.35,16.6,17.2
17,12051,1312,225,1,start,16.35,16.6,17.2
17,12802,1314,225,1,end,16.35,16.6,17.35
17,12808,1314,231,1,start,16.35,16.6,17.35
17,13560,1316,231,1,end,16.35,16.6,17.5
17,13566,1316,233,2,start,16.35,16.6,17.5
17,15443,1321,233,2,end,16.65,16.6,17.5
17,15449,1321,238,4,start,16.65,16.6,17.5
17,19201,1331,238,4,end,16.65,16.6,18.1
18,19,1360,244,8,start,16.65,16.6,18.1
18,7895,1381,244,8,end,17.85,16.6,19.3
18,7898,1381,265,4,start,17.85,16.6,19.3
18,11650,1391,265,4,end,18.45,17.2,19.3
18,11656,1391,260,9,start,18.45,17.2,19.3
18,20658,1415,260,9,end,19.8,18.55,19.3
19,24,1440,276,5,start,19.8,18.55,19.3
19,4901,1453,276,5,end,20.55,19.3,20.05
19,4906,1453,286,10,start,20.55,19.3,20.05
19,10908,1469,286,10,end,22.05,19.3,21.55
19,10913,1469,296,10,start,22.05,19.3,21.55
19,16915,1485,296,10,end,23.55,19.3,23.05
19,16921,1485,299,5,start,23.55,19.3,23.05
19,20673,1495,299,5,end,24.3,20.05,23.05
