sep=,
sprint,velocity,storyPoints,duration
1,0.7481794300535364,60,30073
2,0.7242516066731044,58,30031
3,0.5367664192270564,43,30041
4,0.3468111867416395,25,27032
5,0.33719652312918375,27,30027
6,0.38398525496620933,20,19532
7,0.5744638337551619,23,15014
8,0.6248380049616766,45,27007
9,0.5667914207571614,42,27788
10,1.263318708868693,43,12764
11,1.5995185607500317,101,23679
12,1.9486692015209126,123,23670
13,2.0077334919690664,153,28577
14,2.0346357276915206,159,29305
15,1.7673792290860124,140,29705
16,1.730613757326686,137,29686
17,2.2604379044410954,136,22562
18,2.8605641298563067,172,22548
19,2.6080995151418804,175,25162
