sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_80,80,1,2,4,Design FrontEnd
RandomTask_81,81,1,2,7,Design FrontEnd
RandomTask_84,84,1,6,2,Design FrontEnd BackEnd
RandomTask_83,83,1,8,6,FrontEnd BackEnd
RandomTask_90,90,1,1,6,FrontEnd BackEnd
RandomTask_75,75,1,9,3,Design BackEnd
RandomTask_89,89,1,4,2,FrontEnd BackEnd
RandomTask_79,79,1,1,3,Design
RandomTask_85,85,1,8,7,FrontEnd BackEnd
RandomTask_82,82,1,8,1,Design FrontEnd BackEnd
RandomTask_88,88,1,1,7,FrontEnd
RandomTask_86,86,1,7,2,FrontEnd
RandomTask_87,87,1,7,3,BackEnd
RandomTask_77,77,1,10,4,FrontEnd BackEnd
RandomTask_91,91,1,8,1,FrontEnd
RandomTask_76,76,1,9,7,FrontEnd
RandomTask_78,78,1,10,6,Design BackEnd
