sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,15,0,339,6,PICKED,picked for inspection
1,15,0,339,6,ACCEPTED,accepted for execution
1,6018,16,362,10,PICKED,picked for inspection
1,6018,16,362,10,ACCEPTED,accepted for execution
2,15,80,352,1,PICKED,picked for inspection
2,15,80,352,1,ACCEPTED,accepted for execution
2,768,82,163,7,PICKED,picked for inspection
2,768,82,163,7,ACCEPTED,accepted for execution
2,7520,100,159,7,PICKED,picked for inspection
2,7520,100,159,7,ACCEPTED,accepted for execution
2,14273,118,286,5,PICKED,picked for inspection
2,14273,118,286,5,ACCEPTED,accepted for execution
3,15,160,140,10,PICKED,picked for inspection
3,15,160,140,10,ACCEPTED,accepted for execution
3,9768,186,49,9,PICKED,picked for inspection
3,9768,186,49,9,ACCEPTED,accepted for execution
3,18771,210,185,3,PICKED,picked for inspection
3,18771,210,185,3,ACCEPTED,accepted for execution
4,11,240,284,10,PICKED,picked for inspection
4,11,240,284,10,ACCEPTED,accepted for execution
4,9766,266,399,8,PICKED,picked for inspection
4,9766,266,399,8,ACCEPTED,accepted for execution
4,17644,287,239,10,PICKED,picked for inspection
4,17644,287,239,10,ACCEPTED,accepted for execution
5,0,320,138,3,PICKED,picked for inspection
5,0,320,138,3,ACCEPTED,accepted for execution
5,3012,328,4,3,PICKED,picked for inspection
5,3012,328,4,3,ACCEPTED,accepted for execution
5,6016,336,39,5,PICKED,picked for inspection
5,6016,336,39,5,ACCEPTED,accepted for execution
5,10894,349,255,7,PICKED,picked for inspection
5,10894,349,255,7,ACCEPTED,accepted for execution
5,17647,367,315,3,PICKED,picked for inspection
5,17647,367,315,3,ACCEPTED,accepted for execution
5,20657,375,201,5,PICKED,picked for inspection
5,20657,375,201,5,ACCEPTED,accepted for execution
6,20,400,40,6,PICKED,picked for inspection
6,20,400,40,6,ACCEPTED,accepted for execution
6,6025,416,343,9,PICKED,picked for inspection
6,6025,416,343,9,ACCEPTED,accepted for execution
6,15036,440,124,7,PICKED,picked for inspection
6,15036,440,124,7,ACCEPTED,accepted for execution
6,21789,458,348,6,PICKED,picked for inspection
6,21789,458,348,6,ACCEPTED,accepted for execution
7,51,480,204,1,PICKED,picked for inspection
7,51,480,204,1,ACCEPTED,accepted for execution
7,812,482,188,7,PICKED,picked for inspection
7,812,482,188,7,ACCEPTED,accepted for execution
7,7570,500,256,10,PICKED,picked for inspection
7,7570,500,256,10,ACCEPTED,accepted for execution
7,15080,520,102,9,PICKED,picked for inspection
7,15080,520,102,9,ACCEPTED,accepted for execution
8,10,560,121,9,PICKED,picked for inspection
8,10,560,121,9,ACCEPTED,accepted for execution
8,7138,579,72,5,PICKED,picked for inspection
8,7138,579,72,5,ACCEPTED,accepted for execution
8,10893,589,215,10,PICKED,picked for inspection
8,10893,589,215,10,ACCEPTED,accepted for execution
8,16896,605,27,4,PICKED,picked for inspection
8,16896,605,27,4,ACCEPTED,accepted for execution
9,16,640,251,8,PICKED,picked for inspection
9,16,640,251,8,ACCEPTED,accepted for execution
9,5269,654,372,10,PICKED,picked for inspection
9,5269,654,372,10,ACCEPTED,accepted for execution
9,11274,670,234,3,PICKED,picked for inspection
9,11274,670,234,3,ACCEPTED,accepted for execution
9,12777,674,243,3,PICKED,picked for inspection
9,12777,674,243,3,ACCEPTED,accepted for execution
9,14279,678,157,8,PICKED,picked for inspection
9,14279,678,157,8,ACCEPTED,accepted for execution
9,18782,690,19,2,PICKED,picked for inspection
9,18782,690,19,2,ACCEPTED,accepted for execution
9,19910,693,257,9,PICKED,picked for inspection
9,19910,693,257,9,ACCEPTED,accepted for execution
10,0,720,186,7,PICKED,picked for inspection
10,0,720,186,7,ACCEPTED,accepted for execution
10,4138,731,161,7,PICKED,picked for inspection
10,4138,731,161,7,ACCEPTED,accepted for execution
10,8267,742,63,5,PICKED,picked for inspection
10,8267,742,63,5,ACCEPTED,accepted for execution
10,11270,750,364,2,PICKED,picked for inspection
10,11270,750,364,2,ACCEPTED,accepted for execution
10,12398,753,240,2,PICKED,picked for inspection
10,12398,753,240,2,ACCEPTED,accepted for execution
10,13527,756,6,6,PICKED,picked for inspection
10,13527,756,6,6,ACCEPTED,accepted for execution
10,16905,765,200,5,PICKED,picked for inspection
10,16905,765,200,5,ACCEPTED,accepted for execution
10,19909,773,183,9,PICKED,picked for inspection
10,19909,773,183,9,ACCEPTED,accepted for execution
11,0,800,247,7,PICKED,picked for inspection
11,0,800,247,7,ACCEPTED,accepted for execution
11,4135,811,264,7,PICKED,picked for inspection
11,4135,811,264,7,ACCEPTED,accepted for execution
11,8262,822,84,6,PICKED,picked for inspection
11,8262,822,84,6,ACCEPTED,accepted for execution
11,11639,831,267,1,PICKED,picked for inspection
11,11639,831,267,1,ACCEPTED,accepted for execution
11,12016,832,65,4,PICKED,picked for inspection
11,12016,832,65,4,ACCEPTED,accepted for execution
11,14269,838,26,9,PICKED,picked for inspection
11,14269,838,26,9,ACCEPTED,accepted for execution
11,19520,852,278,9,PICKED,picked for inspection
11,19520,852,278,9,ACCEPTED,accepted for execution
11,24774,866,9,6,PICKED,picked for inspection
11,24774,866,9,6,ACCEPTED,accepted for execution
12,9,880,232,3,PICKED,picked for inspection
12,9,880,232,3,ACCEPTED,accepted for execution
12,1512,884,117,1,PICKED,picked for inspection
12,1512,884,117,1,ACCEPTED,accepted for execution
12,1889,885,296,9,PICKED,picked for inspection
12,1889,885,296,9,ACCEPTED,accepted for execution
12,7143,899,356,10,PICKED,picked for inspection
12,7143,899,356,10,ACCEPTED,accepted for execution
12,13147,915,212,10,PICKED,picked for inspection
12,13147,915,212,10,ACCEPTED,accepted for execution
12,19150,931,337,3,PICKED,picked for inspection
12,19150,931,337,3,ACCEPTED,accepted for execution
12,20653,935,235,7,PICKED,picked for inspection
12,20653,935,235,7,ACCEPTED,accepted for execution
