sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_78,78,1,9,FrontEnd
RandomTask_145,145,1,9,FrontEnd
RandomTask_8,8,1,2,Design FrontEnd
RandomTask_282,282,1,4,BackEnd FrontEnd
RandomTask_152,152,1,1,FrontEnd
RandomTask_303,303,1,10,Design
RandomTask_295,295,1,7,BackEnd
RandomTask_158,158,1,10,Design
RandomTask_200,200,1,5,BackEnd
RandomTask_161,161,1,7,BackEnd FrontEnd
RandomTask_132,132,1,7,BackEnd FrontEnd
RandomTask_191,191,1,8,Design
RandomTask_196,196,1,1,FrontEnd
RandomTask_310,310,1,4,Design FrontEnd
RandomTask_371,371,1,1,BackEnd Design
RandomTask_149,149,1,3,BackEnd Design
RandomTask_247,247,1,7,BackEnd
RandomTask_89,89,1,2,BackEnd Design FrontEnd
RandomTask_144,144,1,10,Design FrontEnd
RandomTask_261,261,1,6,Design
RandomTask_104,104,1,7,BackEnd FrontEnd
RandomTask_312,312,1,4,BackEnd Design FrontEnd
RandomTask_87,87,1,9,Design
RandomTask_171,171,1,6,FrontEnd
RandomTask_354,354,1,3,Design FrontEnd
RandomTask_65,65,1,4,Design
RandomTask_141,141,1,8,Design
RandomTask_128,128,1,6,BackEnd Design FrontEnd
RandomTask_74,74,1,7,BackEnd Design
RandomTask_84,84,1,6,BackEnd Design
RandomTask_139,139,1,3,BackEnd
RandomTask_3,3,1,7,Design
RandomTask_383,383,1,6,Design
RandomTask_1,1,1,8,BackEnd Design
RandomTask_118,118,1,9,BackEnd FrontEnd
RandomTask_267,267,1,1,BackEnd
RandomTask_264,264,1,7,BackEnd FrontEnd
RandomTask_26,26,1,9,BackEnd FrontEnd
RandomTask_242,242,1,7,Design FrontEnd
RandomTask_336,336,1,3,BackEnd FrontEnd
RandomTask_393,393,1,10,BackEnd Design
RandomTask_355,355,1,5,Design
