sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,13,0,13,1,start,6.0,21.0,0.1
1,763,2,13,1,end,6.15,21.15,0.1
1,769,2,66,10,start,6.15,21.15,0.1
1,6769,18,66,10,end,6.15,22.65,0.1
1,6773,18,357,7,start,6.15,22.65,0.1
1,27773,74,357,7,end,6.15,22.65,1.1500000000000001
2,13,80,400,1,start,6.15,22.65,1.1500000000000001
2,763,82,400,1,end,6.300000000000001,22.799999999999997,1.1500000000000001
2,769,82,198,6,start,6.300000000000001,22.799999999999997,1.1500000000000001
2,6770,98,198,6,end,6.300000000000001,23.699999999999996,2.05
2,6773,98,2,6,start,6.300000000000001,23.699999999999996,2.05
2,24774,146,2,6,end,6.300000000000001,23.699999999999996,2.9499999999999997
3,13,160,374,7,start,6.300000000000001,23.699999999999996,2.9499999999999997
3,5264,174,374,7,end,7.3500000000000005,24.749999999999996,2.9499999999999997
3,5267,174,47,10,start,7.3500000000000005,24.749999999999996,2.9499999999999997
3,15017,200,47,10,end,8.850000000000001,24.749999999999996,2.9499999999999997
4,16,240,387,2,start,8.850000000000001,24.749999999999996,2.9499999999999997
4,1891,245,387,2,end,9.150000000000002,25.049999999999997,3.2499999999999996
4,1894,245,70,5,start,9.150000000000002,25.049999999999997,3.2499999999999996
4,5644,255,70,5,end,9.900000000000002,25.799999999999997,3.2499999999999996
4,5648,255,16,9,start,9.900000000000002,25.799999999999997,3.2499999999999996
4,12399,273,16,9,end,11.250000000000002,27.15,3.2499999999999996
4,12402,273,185,3,start,11.250000000000002,27.15,3.2499999999999996
4,13902,277,185,3,end,11.250000000000002,27.599999999999998,3.2499999999999996
4,13906,277,43,4,start,11.250000000000002,27.599999999999998,3.2499999999999996
4,17656,287,43,4,end,11.850000000000001,27.599999999999998,3.2499999999999996
5,23,320,252,5,start,11.850000000000001,27.599999999999998,3.2499999999999996
5,4898,333,252,5,end,12.600000000000001,28.349999999999998,3.9999999999999996
5,4903,333,130,6,start,12.600000000000001,28.349999999999998,3.9999999999999996
5,9403,345,130,6,end,13.500000000000002,29.249999999999996,3.9999999999999996
5,9407,345,35,2,start,13.500000000000002,29.249999999999996,3.9999999999999996
