sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,16,0,57,4,PICKED,picked for inspection
1,16,0,57,4,ACCEPTED,accepted for execution
1,12022,32,66,4,PICKED,picked for inspection
1,12022,32,66,4,ACCEPTED,accepted for execution
1,24025,64,362,5,PICKED,picked for inspection
1,24025,64,362,5,REJECTED,Rashina cannot finish task within the remaining time
1,24025,64,367,8,PICKED,picked for inspection
1,24025,64,367,8,REJECTED,Rashina cannot finish task within the remaining time
1,24025,64,297,8,PICKED,picked for inspection
1,24025,64,297,8,REJECTED,Rashina cannot finish task within the remaining time
1,24025,64,362,5,PICKED,no other tasks could be accepted-trying to break this task
1,24025,64,362,5,REJECTED,could not break this task-Rashina finished for this sprint
2,0,80,357,9,PICKED,picked for inspection
2,0,80,357,9,ACCEPTED,accepted for execution
3,0,160,287,1,PICKED,picked for inspection
3,0,160,287,1,ACCEPTED,accepted for execution
3,3000,168,362,10,PICKED,picked for inspection
3,3000,168,362,10,REJECTED,Rashina cannot finish task within the remaining time
3,3000,168,297,8,PICKED,picked for inspection
3,3000,168,297,8,ACCEPTED,accepted for execution
3,3000,168,297,8,ACCEPTED,accepted for execution
4,31,240,390,4,PICKED,picked for inspection
4,31,240,390,4,ACCEPTED,accepted for execution
5,0,320,400,1,PICKED,picked for inspection
5,0,320,400,1,ACCEPTED,accepted for execution
6,0,400,273,1,PICKED,picked for inspection
6,0,400,273,1,ACCEPTED,accepted for execution
7,0,480,381,3,PICKED,picked for inspection
7,0,480,381,3,ACCEPTED,accepted for execution
8,16,560,386,5,PICKED,picked for inspection
8,16,560,386,5,ACCEPTED,accepted for execution
10,18,720,387,2,PICKED,picked for inspection
10,18,720,387,2,ACCEPTED,accepted for execution
10,3393,729,49,9,PICKED,picked for inspection
10,3393,729,49,9,ACCEPTED,accepted for execution
11,22,800,329,4,PICKED,picked for inspection
11,22,800,329,4,ACCEPTED,accepted for execution
11,3780,810,96,7,PICKED,picked for inspection
11,3780,810,96,7,ACCEPTED,accepted for execution
12,31,880,368,1,PICKED,picked for inspection
12,31,880,368,1,ACCEPTED,accepted for execution
12,788,882,332,5,PICKED,picked for inspection
12,788,882,332,5,ACCEPTED,accepted for execution
12,5672,895,253,9,PICKED,picked for inspection
12,5672,895,253,9,ACCEPTED,accepted for execution
12,14682,919,284,10,PICKED,picked for inspection
12,14682,919,284,10,ACCEPTED,accepted for execution
13,22,960,35,2,PICKED,picked for inspection
13,22,960,35,2,ACCEPTED,accepted for execution
13,1905,965,206,4,PICKED,picked for inspection
13,1905,965,206,4,ACCEPTED,accepted for execution
13,5657,975,39,5,PICKED,picked for inspection
13,5657,975,39,5,ACCEPTED,accepted for execution
13,10539,988,301,6,PICKED,picked for inspection
13,10539,988,301,6,ACCEPTED,accepted for execution
13,16544,1004,276,10,PICKED,picked for inspection
13,16544,1004,276,10,ACCEPTED,accepted for execution
14,15,1040,18,1,PICKED,picked for inspection
14,15,1040,18,1,ACCEPTED,accepted for execution
14,766,1042,353,3,PICKED,picked for inspection
14,766,1042,353,3,ACCEPTED,accepted for execution
14,3768,1050,107,6,PICKED,picked for inspection
14,3768,1050,107,6,ACCEPTED,accepted for execution
14,9773,1066,279,8,PICKED,picked for inspection
14,9773,1066,279,8,ACCEPTED,accepted for execution
14,17654,1087,109,9,PICKED,picked for inspection
14,17654,1087,109,9,ACCEPTED,accepted for execution
14,26660,1111,108,6,PICKED,picked for inspection
14,26660,1111,108,6,REJECTED,Rashina cannot finish task within the remaining time
14,26660,1111,108,6,PICKED,no other tasks could be accepted-trying to break this task
14,26660,1111,108,6,REJECTED,could not break this task-Rashina finished for this sprint
15,0,1120,154,3,PICKED,picked for inspection
15,0,1120,154,3,ACCEPTED,accepted for execution
15,3009,1128,46,7,PICKED,picked for inspection
15,3009,1128,46,7,ACCEPTED,accepted for execution
15,9770,1146,68,7,PICKED,picked for inspection
15,9770,1146,68,7,ACCEPTED,accepted for execution
15,16523,1164,11,10,PICKED,picked for inspection
15,16523,1164,11,10,ACCEPTED,accepted for execution
16,17,1200,27,4,PICKED,picked for inspection
16,17,1200,27,4,ACCEPTED,accepted for execution
16,3781,1210,51,6,PICKED,picked for inspection
16,3781,1210,51,6,ACCEPTED,accepted for execution
16,9781,1226,72,5,PICKED,picked for inspection
16,9781,1226,72,5,ACCEPTED,accepted for execution
16,13536,1236,30,7,PICKED,picked for inspection
16,13536,1236,30,7,ACCEPTED,accepted for execution
17,16,1280,162,1,PICKED,picked for inspection
