sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_204,204,1,1,2,BackEnd Design
RandomTask_48,48,1,1,4,Design FrontEnd
RandomTask_237,237,1,3,1,BackEnd
RandomTask_154,154,1,3,3,FrontEnd
RandomTask_108,108,1,3,7,BackEnd Design FrontEnd
RandomTask_373,373,1,5,6,Design
RandomTask_348,348,1,6,2,FrontEnd
RandomTask_110,110,1,6,4,Design
RandomTask_271,271,1,5,7,BackEnd Design
RandomTask_124,124,1,7,1,BackEnd
RandomTask_46,46,1,7,3,BackEnd
RandomTask_214,214,1,6,2,BackEnd Design
RandomTask_168,168,1,6,4,Design FrontEnd
RandomTask_181,181,1,8,6,BackEnd
RandomTask_313,313,1,5,7,BackEnd Design FrontEnd
RandomTask_68,68,1,7,3,BackEnd Design
RandomTask_102,102,1,9,1,Design
RandomTask_40,40,1,6,6,BackEnd Design FrontEnd
RandomTask_188,188,1,7,2,Design FrontEnd
RandomTask_15,15,1,8,7,BackEnd Design
RandomTask_288,288,1,10,4,BackEnd
RandomTask_11,11,1,10,3,BackEnd FrontEnd
RandomTask_80,80,1,10,1,BackEnd FrontEnd
RandomTask_344,344,1,10,6,BackEnd Design
