sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,339,6,PICKED,picked for inspection
1,0,0,339,6,ACCEPTED,accepted for execution
1,18017,48,66,10,PICKED,picked for inspection
1,18017,48,66,10,REJECTED,Mohan cannot finish task within the remaining time
1,18017,48,362,10,PICKED,picked for inspection
1,18017,48,362,10,REJECTED,Mohan cannot finish task within the remaining time
1,18017,48,88,5,PICKED,picked for inspection
1,18017,48,88,5,REJECTED,Mohan cannot finish task within the remaining time
1,18017,48,66,10,PICKED,no other tasks could be accepted-trying to break this task
1,18017,48,66,10,REJECTED,could not break this task-Mohan finished for this sprint
2,15,80,357,9,PICKED,picked for inspection
2,15,80,357,9,ACCEPTED,accepted for execution
3,15,160,66,10,PICKED,picked for inspection
3,15,160,66,10,ACCEPTED,accepted for execution
4,0,240,114,2,PICKED,picked for inspection
4,0,240,114,2,ACCEPTED,accepted for execution
4,6010,256,86,10,PICKED,picked for inspection
4,6010,256,86,10,REJECTED,Mohan cannot finish task within the remaining time
4,6010,256,86,10,PICKED,no other tasks could be accepted-trying to break this task
4,6010,256,86,8,ACCEPTED,broke task into smaller parts-accepted for execution
4,6010,256,86,8,ACCEPTED,accepted for execution
5,0,320,198,6,PICKED,picked for inspection
5,0,320,198,6,ACCEPTED,accepted for execution
6,15,400,53,3,PICKED,picked for inspection
6,15,400,53,3,ACCEPTED,accepted for execution
7,16,480,47,10,PICKED,picked for inspection
7,16,480,47,10,ACCEPTED,accepted for execution
8,0,560,178,3,PICKED,picked for inspection
8,0,560,178,3,ACCEPTED,accepted for execution
9,20,640,16,9,PICKED,picked for inspection
9,20,640,16,9,ACCEPTED,accepted for execution
10,15,720,120,6,PICKED,picked for inspection
10,15,720,120,6,ACCEPTED,accepted for execution
10,6016,736,338,5,PICKED,picked for inspection
10,6016,736,338,5,ACCEPTED,accepted for execution
11,34,800,329,4,PICKED,picked for inspection
11,34,800,329,4,ACCEPTED,accepted for execution
11,3800,810,277,4,PICKED,picked for inspection
11,3800,810,277,4,ACCEPTED,accepted for execution
11,7565,820,222,10,PICKED,picked for inspection
11,7565,820,222,10,ACCEPTED,accepted for execution
12,0,880,138,3,PICKED,picked for inspection
12,0,880,138,3,ACCEPTED,accepted for execution
12,3017,888,142,9,PICKED,picked for inspection
12,3017,888,142,9,ACCEPTED,accepted for execution
12,12021,912,33,8,PICKED,picked for inspection
12,12021,912,33,8,ACCEPTED,accepted for execution
13,0,960,189,6,PICKED,picked for inspection
13,0,960,189,6,ACCEPTED,accepted for execution
13,6017,976,301,6,PICKED,picked for inspection
13,6017,976,301,6,ACCEPTED,accepted for execution
13,12021,992,304,8,PICKED,picked for inspection
13,12021,992,304,8,ACCEPTED,accepted for execution
14,15,1040,248,1,PICKED,picked for inspection
14,15,1040,248,1,ACCEPTED,accepted for execution
14,765,1042,68,7,PICKED,picked for inspection
14,765,1042,68,7,ACCEPTED,accepted for execution
14,7519,1060,11,10,PICKED,picked for inspection
14,7519,1060,11,10,ACCEPTED,accepted for execution
14,17274,1086,280,3,PICKED,picked for inspection
14,17274,1086,280,3,ACCEPTED,accepted for execution
14,20280,1094,348,6,PICKED,picked for inspection
14,20280,1094,348,6,ACCEPTED,accepted for execution
15,44,1120,204,1,PICKED,picked for inspection
15,44,1120,204,1,ACCEPTED,accepted for execution
15,803,1122,323,4,PICKED,picked for inspection
15,803,1122,323,4,ACCEPTED,accepted for execution
