sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_48,48,1,1,2,Design FrontEnd
RandomTask_238,238,1,3,1,BackEnd Design FrontEnd
RandomTask_313,313,1,5,7,BackEnd Design FrontEnd
RandomTask_377,377,1,5,6,BackEnd Design FrontEnd
RandomTask_40,40,1,6,4,BackEnd Design FrontEnd
RandomTask_305,305,1,1,4,Design FrontEnd
RandomTask_188,188,1,7,2,Design FrontEnd
RandomTask_168,168,1,6,7,Design FrontEnd
RandomTask_15,15,1,8,3,BackEnd Design
RandomTask_214,214,1,6,6,BackEnd Design
RandomTask_204,204,1,1,3,BackEnd Design
RandomTask_68,68,1,7,1,BackEnd Design
RandomTask_69,69,1,5,4,Design FrontEnd
RandomTask_110,110,1,6,7,Design
RandomTask_271,271,1,5,3,BackEnd Design
RandomTask_373,373,1,5,7,Design
RandomTask_192,192,1,6,1,BackEnd Design
RandomTask_11,11,1,10,2,BackEnd FrontEnd
RandomTask_344,344,1,10,6,BackEnd Design
RandomTask_359,359,1,2,1,BackEnd FrontEnd
RandomTask_22,22,1,3,2,BackEnd FrontEnd
RandomTask_80,80,1,10,4,BackEnd FrontEnd
RandomTask_323,323,1,4,6,BackEnd FrontEnd
RandomTask_102,102,1,9,7,Design
RandomTask_154,154,1,3,7,FrontEnd
RandomTask_124,124,1,7,1,BackEnd
RandomTask_256,256,1,10,3,BackEnd Design
RandomTask_348,348,1,6,4,FrontEnd
RandomTask_237,237,1,3,7,BackEnd
RandomTask_46,46,1,1,4,BackEnd
RandomTask_266,266,1,9,2,FrontEnd
RandomTask_181,181,1,8,6,BackEnd
RandomTask_288,288,1,1,2,BackEnd
RandomTask_174,174,1,7,7,BackEnd
RandomTask_46,46,1,6,3,BackEnd
RandomTask_288,288,1,9,4,BackEnd
