sprint;systemTime;modelTime;taskID;storyPoints;start/end;BackEnd Exp;FrontEnd Exp;Design Exp
1;21;0;57;4;start;3;15;21
1;3771;10;57;4;end;3.6;15.6;21.6
1;3774;10;297;8;start;3.6;15.6;21.6
1;9775;26;297;8;end;3.6;16.8;22.8
2;24;80;287;1;start;3.6;16.8;22.8
2;774;82;287;1;end;3.75;16.95;22.95
2;783;82;88;5;start;3.75;16.95;22.95
2;3784;90;88;5;end;3.75;16.95;23.7
2;3787;90;347;5;start;3.75;16.95;23.7
2;8663;103;347;5;end;3.75;17.7;23.7
2;8666;103;195;9;start;3.75;17.7;23.7
2;17666;127;195;9;end;3.75;19.05;23.7
3;28;160;53;3;start;3.75;19.05;23.7
3;1529;164;53;3;end;3.75;19.05;24.15
3;1533;164;387;2;start;3.75;19.05;24.15
3;3408;169;387;2;end;4.05;19.35;24.45
3;3411;169;178;3;start;4.05;19.35;24.45
3;6412;177;178;3;end;4.5;19.8;24.9
3;6416;177;333;6;start;4.5;19.8;24.9
3;12416;193;333;6;end;4.5;20.7;24.9
3;12423;193;225;8;start;4.5;20.7;24.9
3;16923;205;225;8;end;4.5;21.9;26.1
3;16929;205;16;9;start;4.5;21.9;26.1
3;25929;229;16;9;end;5.85;23.25;26.1
3;25935;229;140;5;start;5.85;23.25;26.1
3;29310;238;140;5;end;6.6;24;26.85
3;29314;238;140;1;start;6.6;24;26.85
3;29690;239;140;1;end;6.75;24.15;27
4;22;240;384;1;start;6.75;24.15;27
4;772;242;384;1;end;6.9;24.15;27
4;775;242;211;2;start;6.9;24.15;27
4;1900;245;211;2;end;6.9;24.45;27.3
4;1910;245;134;3;start;6.9;24.45;27.3
4;4160;251;134;3;end;7.35;24.9;27.3
4;4163;251;329;4;start;7.35;24.9;27.3
4;7164;259;329;4;end;7.95;25.5;27.3
4;7168;259;316;4;start;7.95;25.5;27.3
4;10168;267;316;4;end;8.55;26.1;27.3
4;10175;267;253;9;start;8.55;26.1;27.3
4;15425;281;253;9;end;8.55;27.45;27.3
4;15431;281;130;6;start;8.55;27.45;27.3
4;19932;293;130;6;end;9.45;28.35;27.3
5;50;320;322;1;start;9.45;28.35;27.3
5;801;322;322;1;end;9.6;28.5;27.3
5;805;322;315;3;start;9.6;28.5;27.3
5;2305;326;315;3;end;9.6;28.95;27.3
5;2309;326;35;2;start;9.6;28.95;27.3
5;3809;330;35;2;end;9.9;29.25;27.3
5;3812;330;29;5;start;9.9;29.25;27.3
5;6813;338;29;5;end;9.9;30;27.3
5;6819;338;107;6;start;9.9;30;27.3
5;10194;347;107;6;end;9.9;30;27.3
5;10200;347;346;8;start;9.9;30;27.3
5;14700;359;346;8;end;9.9;30;27.3
5;14707;359;116;10;start;9.9;30;27.3
5;20707;375;116;10;end;9.9;30;27.3
6;55;400;154;3;start;9.9;30;27.3
6;1555;404;154;3;end;9.9;30;27.3
6;1568;404;265;6;start;9.9;30;27.3
6;4944;413;265;6;end;9.9;30;27.3
6;4947;413;266;9;start;9.9;30;27.3
6;10198;427;266;9;end;9.9;30;27.3
6;10204;427;313;5;start;9.9;30;27.3
6;13580;436;313;5;end;10.65;30;28.05
6;13583;436;345;6;start;10.65;30;28.05
6;17708;447;345;6;end;11.55;30;28.95
6;17711;447;80;10;start;11.55;30;28.95
6;25212;467;80;10;end;13.05;30;28.95
7;3;480;59;1;start;13.05;30;28.95
7;378;481;59;1;end;13.05;30;28.95
7;381;481;394;3;start;13.05;30;28.95
7;1881;485;394;3;end;13.05;30;28.95
7;1885;485;111;4;start;13.05;30;28.95
7;4136;491;111;4;end;13.05;30;28.95
7;4139;491;51;6;start;13.05;30;28.95
7;7514;500;51;6;end;13.05;30;28.95
7;7520;500;369;6;start;13.05;30;28.95
7;10896;509;369;6;end;13.05;30;28.95
7;10902;509;317;6;start;13.05;30;28.95
7;14277;518;317;6;end;13.05;30;29.85
7;14280;518;44;10;start;13.05;30;29.85
7;20281;534;44;10;end;13.05;30;30
7;20287;534;73;10;start;13.05;30;30
7;26287;550;73;10;end;13.05;30;30
8;2;560;186;7;start;13.05;30;30
8;4502;572;186;7;end;14.1;30;30
8;4505;572;262;7;start;14.1;30;30
8;8630;583;262;7;end;14.1;30;30
8;8634;583;396;8;start;14.1;30;30
8;13134;595;396;8;end;14.1;30;30
8;13140;595;372;10;start;14.1;30;30
8;19141;611;372;10;end;14.1;30;30
8;19147;611;63;5;start;14.1;30;30
8;22897;621;63;5;end;14.85;30;30
9;24;640;91;1;start;14.85;30;30
9;399;641;91;1;end;14.85;30;30
9;401;641;196;1;start;14.85;30;30
9;777;642;196;1;end;14.85;30;30
9;781;642;213;4;start;14.85;30;30
9;3032;648;213;4;end;14.85;30;30
9;3036;648;261;6;start;14.85;30;30
9;6411;657;261;6;end;14.85;30;30
9;6416;657;94;8;start;14.85;30;30
9;10916;669;94;8;end;14.85;30;30
9;10916;669;78;9;start;14.85;30;30
9;16167;683;78;9;end;14.85;30;30
9;16173;683;144;10;start;14.85;30;30
9;22174;699;144;10;end;14.85;30;30
9;22180;699;380;9;start;14.85;30;30
9;28930;717;380;9;end;16.2;30;30
10;33;720;95;2;start;16.2;30;30
10;1158;723;95;2;end;16.2;30;30
10;1163;723;175;4;start;16.2;30;30
10;3413;729;175;4;end;16.2;30;30
10;3417;729;133;6;start;16.2;30;30
10;6792;738;133;6;end;16.2;30;30
