sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,1.8705107741420592,75,40,40
2,2.326832974547296,147,63,17
3,2.372269081858407,183,77,3
4,2.558746259943078,187,73,7
5,2.629987908101572,203,77,3
6,2.9377091572862795,206,70,10
7,3.246692402833477,231,71,9
8,3.417790740065622,250,73,7
9,3.3833827093994073,268,79,1
10,3.5324088664775712,269,76,4
11,3.3188228522089513,246,74,6
1,1.8726280045275985,75,40,40
2,2.364966322021537,147,62,18
3,2.311617879880082,183,79,1
4,2.1739854734457253,174,80,0
5,2.517378351539225,169,67,13
6,2.94763785875524,195,66,14
7,3.2295324339308817,233,72,8
8,3.631099297512815,255,70,10
9,3.608316791710123,286,79,1
10,3.5413826355867393,284,80,0
11,3.4646881780639744,264,76,4
1,1.8697646589549262,75,40,40
2,2.4404551089073845,147,60,20
3,2.3989091276387997,190,79,1
4,2.5998905309250135,190,73,7
5,2.7534406923950057,207,75,5
6,3.255956864766284,219,67,13
7,3.21738552093379,258,80,0
8,3.4473528760245147,249,72,8
9,3.48110985973175,272,78,2
10,3.51434705561614,275,78,2
11,3.1476470048619394,183,58,22
