sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,13,1,PICKED,picked for inspection
1,0,0,13,1,ACCEPTED,accepted for execution
1,3004,8,357,9,PICKED,picked for inspection
1,3004,8,357,9,ACCEPTED,accepted for execution
1,30014,80,362,3,PICKED,picked for inspection
1,30014,80,362,3,REJECTED,Lisa cannot finish task within the remaining time
1,30014,80,367,8,PICKED,picked for inspection
1,30014,80,367,8,REJECTED,Lisa cannot finish task within the remaining time
1,30014,80,297,8,PICKED,picked for inspection
1,30014,80,297,8,REJECTED,Lisa cannot finish task within the remaining time
1,30014,80,362,3,PICKED,no other tasks could be accepted-trying to break this task
1,30014,80,362,3,REJECTED,could not break this task-Lisa finished for this sprint
2,0,80,357,9,PICKED,picked for inspection
2,0,80,357,9,ACCEPTED,accepted for execution
3,0,160,13,1,PICKED,picked for inspection
3,0,160,13,1,ACCEPTED,accepted for execution
3,3001,168,362,10,PICKED,picked for inspection
3,3001,168,362,10,REJECTED,Lisa cannot finish task within the remaining time
3,3001,168,297,8,PICKED,picked for inspection
3,3001,168,297,8,ACCEPTED,accepted for execution
3,3001,168,297,8,ACCEPTED,accepted for execution
4,0,240,289,2,PICKED,picked for inspection
4,0,240,289,2,ACCEPTED,accepted for execution
4,6018,256,86,10,PICKED,picked for inspection
4,6018,256,86,10,REJECTED,Lisa cannot finish task within the remaining time
4,6018,256,86,10,PICKED,no other tasks could be accepted-trying to break this task
4,6018,256,86,8,ACCEPTED,broke task into smaller parts-accepted for execution
4,6018,256,86,8,ACCEPTED,accepted for execution
5,0,320,347,5,PICKED,picked for inspection
5,0,320,347,5,ACCEPTED,accepted for execution
6,0,400,273,1,PICKED,picked for inspection
6,0,400,273,1,ACCEPTED,accepted for execution
7,16,480,333,6,PICKED,picked for inspection
7,16,480,333,6,ACCEPTED,accepted for execution
8,0,560,208,2,PICKED,picked for inspection
8,0,560,208,2,ACCEPTED,accepted for execution
9,16,640,338,5,PICKED,picked for inspection
9,16,640,338,5,ACCEPTED,accepted for execution
10,0,720,122,1,PICKED,picked for inspection
10,0,720,122,1,ACCEPTED,accepted for execution
10,3000,728,120,6,PICKED,picked for inspection
10,3000,728,120,6,ACCEPTED,accepted for execution
11,16,800,260,3,PICKED,picked for inspection
11,16,800,260,3,ACCEPTED,accepted for execution
11,3032,808,253,9,PICKED,picked for inspection
11,3032,808,253,9,ACCEPTED,accepted for execution
12,34,880,315,3,PICKED,picked for inspection
12,34,880,315,3,ACCEPTED,accepted for execution
12,3036,888,29,5,PICKED,picked for inspection
12,3036,888,29,5,ACCEPTED,accepted for execution
12,7914,901,252,5,PICKED,picked for inspection
12,7914,901,252,5,ACCEPTED,accepted for execution
12,14295,918,276,10,PICKED,picked for inspection
12,14295,918,276,10,ACCEPTED,accepted for execution
13,15,960,18,1,PICKED,picked for inspection
13,15,960,18,1,ACCEPTED,accepted for execution
13,1155,963,201,5,PICKED,picked for inspection
13,1155,963,201,5,ACCEPTED,accepted for execution
13,6043,976,304,8,PICKED,picked for inspection
13,6043,976,304,8,ACCEPTED,accepted for execution
13,13925,997,397,7,PICKED,picked for inspection
13,13925,997,397,7,ACCEPTED,accepted for execution
14,0,1040,48,1,PICKED,picked for inspection
14,0,1040,48,1,ACCEPTED,accepted for execution
14,772,1042,265,6,PICKED,picked for inspection
14,772,1042,265,6,ACCEPTED,accepted for execution
14,6786,1058,266,9,PICKED,picked for inspection
14,6786,1058,266,9,ACCEPTED,accepted for execution
14,15786,1082,11,10,PICKED,picked for inspection
14,15786,1082,11,10,REJECTED,Lisa cannot finish task within the remaining time
14,15786,1082,80,10,PICKED,picked for inspection
14,15786,1082,80,10,REJECTED,Lisa cannot finish task within the remaining time
14,15786,1082,344,10,PICKED,picked for inspection
14,15786,1082,344,10,REJECTED,Lisa cannot finish task within the remaining time
14,15786,1082,109,9,PICKED,picked for inspection
14,15786,1082,109,9,ACCEPTED,accepted for execution
14,15786,1082,109,9,ACCEPTED,accepted for execution
15,31,1120,359,2,PICKED,picked for inspection
15,31,1120,359,2,ACCEPTED,accepted for execution
15,1915,1125,373,5,PICKED,picked for inspection
15,1915,1125,373,5,ACCEPTED,accepted for execution
15,6793,1138,194,5,PICKED,picked for inspection
15,6793,1138,194,5,ACCEPTED,accepted for execution
15,11674,1151,313,5,PICKED,picked for inspection
15,11674,1151,313,5,ACCEPTED,accepted for execution
16,28,1200,127,2,PICKED,picked for inspection
16,28,1200,127,2,ACCEPTED,accepted for execution
16,1914,1205,307,3,PICKED,picked for inspection
16,1914,1205,307,3,ACCEPTED,accepted for execution
16,4914,1213,137,4,PICKED,picked for inspection
16,4914,1213,137,4,ACCEPTED,accepted for execution
16,8670,1223,319,5,PICKED,picked for inspection
16,8670,1223,319,5,ACCEPTED,accepted for execution
16,13551,1236,176,10,PICKED,picked for inspection
16,13551,1236,176,10,ACCEPTED,accepted for execution
17,14,1280,162,1,PICKED,picked for inspection
17,14,1280,162,1,ACCEPTED,accepted for execution
17,767,1282,234,3,PICKED,picked for inspection
17,767,1282,234,3,ACCEPTED,accepted for execution
17,2277,1286,99,4,PICKED,picked for inspection
17,2277,1286,99,4,ACCEPTED,accepted for execution
17,4532,1292,392,9,PICKED,picked for inspection
17,4532,1292,392,9,ACCEPTED,accepted for execution
17,9786,1306,396,8,PICKED,picked for inspection
17,9786,1306,396,8,ACCEPTED,accepted for execution
17,15792,1322,372,10,PICKED,picked for inspection
17,15792,1322,372,10,ACCEPTED,accepted for execution
18,0,1360,54,1,PICKED,picked for inspection
18,0,1360,54,1,ACCEPTED,accepted for execution
18,386,1361,350,2,PICKED,picked for inspection
18,386,1361,350,2,ACCEPTED,accepted for execution
18,1889,1365,281,3,PICKED,picked for inspection
18,1889,1365,281,3,ACCEPTED,accepted for execution
