sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_52,52,1,1,6,BackEnd Design FrontEnd
RandomTask_232,232,1,3,2,BackEnd Design FrontEnd
RandomTask_264,264,1,7,4,BackEnd FrontEnd
RandomTask_268,268,1,7,3,BackEnd Design FrontEnd
RandomTask_9,9,1,6,6,BackEnd Design FrontEnd
RandomTask_336,336,1,3,4,BackEnd FrontEnd
RandomTask_330,330,1,10,1,BackEnd Design FrontEnd
RandomTask_278,278,1,9,7,BackEnd Design FrontEnd
RandomTask_156,156,1,5,3,BackEnd FrontEnd
RandomTask_290,290,1,9,2,BackEnd Design FrontEnd
RandomTask_118,118,1,9,6,BackEnd FrontEnd
RandomTask_242,242,1,7,1,Design FrontEnd
RandomTask_190,190,1,5,2,BackEnd
RandomTask_393,393,1,10,4,BackEnd Design
RandomTask_220,220,1,3,1,BackEnd Design
RandomTask_1,1,1,8,7,BackEnd Design
RandomTask_125,125,1,3,2,BackEnd
RandomTask_26,26,1,9,3,BackEnd FrontEnd
RandomTask_267,267,1,1,2,BackEnd
RandomTask_131,131,1,3,3,FrontEnd
RandomTask_328,328,1,5,4,BackEnd
RandomTask_229,229,1,10,6,BackEnd
RandomTask_193,193,1,4,2,Design FrontEnd
RandomTask_3,3,1,7,7,Design
RandomTask_45,45,1,9,1,BackEnd Design
RandomTask_133,133,1,6,3,Design FrontEnd
RandomTask_383,383,1,6,4,Design
RandomTask_175,175,1,4,6,Design FrontEnd
RandomTask_117,117,1,1,6,FrontEnd
RandomTask_97,97,1,3,1,Design
RandomTask_24,24,1,1,1,Design
RandomTask_355,355,1,5,7,Design
RandomTask_90,90,1,4,2,FrontEnd
RandomTask_95,95,1,2,1,Design
RandomTask_143,143,1,8,6,Design
RandomTask_244,244,1,10,3,FrontEnd
RandomTask_92,92,1,8,7,Design
RandomTask_60,60,1,10,4,Design
