sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,14,0,367,8,start,0.1,0.1,0.1
1,24014,64,367,8,end,0.1,1.3,1.3
1,24016,64,66,2,start,0.1,1.3,1.3
1,30017,80,66,2,end,0.1,1.6,1.3
2,1,80,349,6,start,0.1,1.6,1.3
2,18001,128,349,6,end,0.9999999999999999,1.6,2.2
3,6,160,308,10,start,0.9999999999999999,1.6,2.2
3,30006,240,308,10,end,2.5,3.1,3.7
4,15,240,286,5,start,2.5,3.1,3.7
4,15016,280,286,5,end,2.5,3.1,4.45
5,6,320,333,6,start,2.5,3.1,4.45
5,18007,368,333,6,end,2.5,4.0,4.45
6,19,400,185,3,start,2.5,4.0,4.45
6,9019,424,185,3,end,2.5,4.45,4.45
7,11,480,274,4,start,2.5,4.45,4.45
7,12011,512,274,4,end,3.1,4.45,4.45
8,6,560,340,10,start,3.1,4.45,4.45
8,30006,640,340,10,end,3.1,4.45,5.95
9,1,640,96,7,start,3.1,4.45,5.95
9,12377,673,96,7,end,4.15,5.5,7.0
10,15,720,134,3,start,4.15,5.5,7.0
10,4515,732,134,3,end,4.6000000000000005,5.95,7.0
11,1,800,115,10,start,4.6000000000000005,5.95,7.0
11,12751,834,115,10,end,6.1000000000000005,7.45,8.5
12,2,880,153,4,start,6.1000000000000005,7.45,8.5
12,3752,890,153,4,end,6.7,7.45,9.1
12,3754,890,14,8,start,6.7,7.45,9.1
12,11630,911,14,8,end,7.9,7.45,9.1
12,11634,911,332,5,start,7.9,7.45,9.1
12,16509,924,332,5,end,8.65,7.45,9.1
13,10,960,138,3,start,8.65,7.45,9.1
13,3010,968,138,3,end,9.1,7.9,9.549999999999999
13,3013,968,298,2,start,9.1,7.9,9.549999999999999
13,4889,973,298,2,end,9.4,8.200000000000001,9.549999999999999
13,4892,973,272,9,start,9.4,8.200000000000001,9.549999999999999
13,13892,997,272,9,end,9.4,9.55,10.899999999999999
13,13895,997,164,3,start,9.4,9.55,10.899999999999999
13,16895,1005,164,3,end,9.85,9.55,10.899999999999999
13,16898,1005,315,3,start,9.85,9.55,10.899999999999999
13,19898,1013,315,3,end,9.85,10.0,10.899999999999999
14,11,1040,291,4,start,9.85,10.0,10.899999999999999
14,3761,1050,291,4,end,10.45,10.6,11.499999999999998
14,3766,1050,293,5,start,10.45,10.6,11.499999999999998
14,8641,1063,293,5,end,11.2,11.35,11.499999999999998
14,8643,1063,343,9,start,11.2,11.35,11.499999999999998
14,17643,1087,343,9,end,12.549999999999999,12.7,11.499999999999998
14,17645,1087,201,5,start,12.549999999999999,12.7,11.499999999999998
14,22520,1100,201,5,end,12.549999999999999,13.45,11.499999999999998
14,22524,1100,266,7,start,12.549999999999999,13.45,11.499999999999998
14,29274,1118,266,7,end,12.549999999999999,14.5,11.499999999999998
15,23,1120,204,1,start,12.549999999999999,14.5,11.499999999999998
15,774,1122,204,1,end,12.7,14.5,11.649999999999999
15,776,1122,48,1,start,12.7,14.5,11.649999999999999
15,1526,1124,48,1,end,12.7,14.65,11.799999999999999
15,1530,1124,188,7,start,12.7,14.65,11.799999999999999
15,8280,1142,188,7,end,12.7,15.700000000000001,12.85
15,8283,1142,168,6,start,12.7,15.700000000000001,12.85
15,14283,1158,168,6,end,12.7,16.6,13.75
15,14286,1158,181,8,start,12.7,16.6,13.75
15,22161,1179,181,8,end,13.899999999999999,16.6,13.75
