sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,25,0,297,8,PICKED,picked for inspection
1,25,0,297,8,ACCEPTED,accepted for execution
1,24030,64,66,8,PICKED,picked for inspection
1,24030,64,66,8,REJECTED,Mohan cannot finish task within the remaining time
1,24030,64,362,10,PICKED,picked for inspection
1,24030,64,362,10,REJECTED,Mohan cannot finish task within the remaining time
1,24030,64,88,5,PICKED,picked for inspection
1,24030,64,88,5,REJECTED,Mohan cannot finish task within the remaining time
1,24030,64,66,8,PICKED,no other tasks could be accepted-trying to break this task
1,24030,64,66,2,ACCEPTED,broke task into smaller parts-accepted for execution
1,24030,64,66,2,ACCEPTED,accepted for execution
1,30034,80,66,6,PICKED,picked for inspection
1,30034,80,66,6,REJECTED,Mohan cannot finish task within the remaining time
1,30034,80,362,10,PICKED,picked for inspection
1,30034,80,362,10,REJECTED,Mohan cannot finish task within the remaining time
1,30034,80,88,5,PICKED,picked for inspection
1,30034,80,88,5,REJECTED,Mohan cannot finish task within the remaining time
1,30034,80,66,6,PICKED,no other tasks could be accepted-trying to break this task
1,30034,80,66,6,REJECTED,could not break this task-Mohan finished for this sprint
2,4,80,390,4,PICKED,picked for inspection
2,4,80,390,4,ACCEPTED,accepted for execution
2,12006,112,324,1,PICKED,picked for inspection
2,12006,112,324,1,ACCEPTED,accepted for execution
2,15009,120,86,10,PICKED,picked for inspection
2,15009,120,86,10,REJECTED,Mohan cannot finish task within the remaining time
2,15009,120,289,2,PICKED,picked for inspection
2,15009,120,289,2,ACCEPTED,accepted for execution
2,15009,120,289,2,ACCEPTED,accepted for execution
2,21011,136,86,1,PICKED,picked for inspection
2,21011,136,86,1,ACCEPTED,accepted for execution
3,6,160,352,1,PICKED,picked for inspection
3,6,160,352,1,ACCEPTED,accepted for execution
3,3009,168,245,6,PICKED,picked for inspection
3,3009,168,245,6,ACCEPTED,accepted for execution
4,9,240,53,3,PICKED,picked for inspection
4,9,240,53,3,ACCEPTED,accepted for execution
4,9011,264,381,3,PICKED,picked for inspection
4,9011,264,381,3,ACCEPTED,accepted for execution
4,18015,288,47,10,PICKED,picked for inspection
4,18015,288,47,10,REJECTED,Mohan cannot finish task within the remaining time
4,18015,288,333,6,PICKED,picked for inspection
4,18015,288,333,6,REJECTED,Mohan cannot finish task within the remaining time
4,18015,288,47,10,PICKED,no other tasks could be accepted-trying to break this task
4,18015,288,47,4,ACCEPTED,broke task into smaller parts-accepted for execution
4,18015,288,47,4,ACCEPTED,accepted for execution
4,30018,320,333,6,PICKED,picked for inspection
4,30018,320,333,6,REJECTED,Mohan cannot finish task within the remaining time
4,30018,320,333,6,PICKED,no other tasks could be accepted-trying to break this task
4,30018,320,333,6,REJECTED,could not break this task-Mohan finished for this sprint
5,6,320,23,10,PICKED,picked for inspection
5,6,320,23,10,ACCEPTED,accepted for execution
6,5,400,236,5,PICKED,picked for inspection
6,5,400,236,5,ACCEPTED,accepted for execution
7,11,480,338,5,PICKED,picked for inspection
7,11,480,338,5,ACCEPTED,accepted for execution
8,2,560,225,8,PICKED,picked for inspection
8,2,560,225,8,ACCEPTED,accepted for execution
10,3,720,167,4,PICKED,picked for inspection
