sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_287,287,1,1,1,BackEnd Design FrontEnd
RandomTask_13,13,1,1,7,BackEnd FrontEnd
RandomTask_57,57,1,4,3,BackEnd Design FrontEnd
RandomTask_339,339,1,6,6,Design FrontEnd
RandomTask_179,179,1,4,3,Design
RandomTask_367,367,1,8,4,Design FrontEnd
RandomTask_297,297,1,8,2,Design FrontEnd
RandomTask_357,357,1,9,1,Design
RandomTask_66,66,1,2,4,FrontEnd
RandomTask_195,195,1,9,7,FrontEnd
RandomTask_66,66,1,2,2,FrontEnd
