sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,2,0,287,1,PICKED,picked for inspection
1,2,0,287,1,ACCEPTED,accepted for execution
1,386,1,195,9,PICKED,picked for inspection
1,386,1,195,9,ACCEPTED,accepted for execution
2,19,80,352,1,PICKED,picked for inspection
2,19,80,352,1,ACCEPTED,accepted for execution
2,412,81,79,2,PICKED,picked for inspection
2,412,81,79,2,ACCEPTED,accepted for execution
2,1543,84,43,4,PICKED,picked for inspection
2,1543,84,43,4,ACCEPTED,accepted for execution
2,3797,90,178,3,PICKED,picked for inspection
2,3797,90,178,3,ACCEPTED,accepted for execution
2,5301,94,2,6,PICKED,picked for inspection
2,5301,94,2,6,ACCEPTED,accepted for execution
2,8680,103,236,5,PICKED,picked for inspection
2,8680,103,236,5,ACCEPTED,accepted for execution
2,11684,111,86,10,PICKED,picked for inspection
2,11684,111,86,10,ACCEPTED,accepted for execution
2,17686,127,225,8,PICKED,picked for inspection
2,17686,127,225,8,ACCEPTED,accepted for execution
2,22190,139,308,10,PICKED,picked for inspection
2,22190,139,308,10,ACCEPTED,accepted for execution
3,0,160,342,1,PICKED,picked for inspection
3,0,160,342,1,ACCEPTED,accepted for execution
3,385,161,218,1,PICKED,picked for inspection
3,385,161,218,1,ACCEPTED,accepted for execution
3,763,162,173,3,PICKED,picked for inspection
3,763,162,173,3,ACCEPTED,accepted for execution
3,2267,166,25,4,PICKED,picked for inspection
3,2267,166,25,4,ACCEPTED,accepted for execution
3,4520,172,138,3,PICKED,picked for inspection
3,4520,172,138,3,ACCEPTED,accepted for execution
3,6024,176,316,4,PICKED,picked for inspection
3,6024,176,316,4,ACCEPTED,accepted for execution
3,8279,182,169,5,PICKED,picked for inspection
3,8279,182,169,5,ACCEPTED,accepted for execution
3,11282,190,301,6,PICKED,picked for inspection
3,11282,190,301,6,ACCEPTED,accepted for execution
3,14661,199,253,9,PICKED,picked for inspection
3,14661,199,253,9,ACCEPTED,accepted for execution
3,19913,213,272,9,PICKED,picked for inspection
3,19913,213,272,9,ACCEPTED,accepted for execution
4,27,240,326,2,PICKED,picked for inspection
4,27,240,326,2,ACCEPTED,accepted for execution
4,1156,243,201,5,PICKED,picked for inspection
4,1156,243,201,5,ACCEPTED,accepted for execution
4,4158,251,107,6,PICKED,picked for inspection
4,4158,251,107,6,ACCEPTED,accepted for execution
4,7542,260,346,8,PICKED,picked for inspection
4,7542,260,346,8,ACCEPTED,accepted for execution
4,12045,272,279,8,PICKED,picked for inspection
4,12045,272,279,8,ACCEPTED,accepted for execution
4,16550,284,345,6,PICKED,picked for inspection
4,16550,284,345,6,ACCEPTED,accepted for execution
4,19935,293,334,10,PICKED,picked for inspection
4,19935,293,334,10,ACCEPTED,accepted for execution
5,15,320,314,1,PICKED,picked for inspection
5,15,320,314,1,ACCEPTED,accepted for execution
5,393,321,331,2,PICKED,picked for inspection
5,393,321,331,2,ACCEPTED,accepted for execution
5,1521,324,22,3,PICKED,picked for inspection
5,1521,324,22,3,ACCEPTED,accepted for execution
5,3024,328,187,3,PICKED,picked for inspection
5,3024,328,187,3,ACCEPTED,accepted for execution
5,4530,332,27,4,PICKED,picked for inspection
5,4530,332,27,4,ACCEPTED,accepted for execution
5,6791,338,226,4,PICKED,picked for inspection
5,6791,338,226,4,ACCEPTED,accepted for execution
5,9045,344,377,5,PICKED,picked for inspection
5,9045,344,377,5,ACCEPTED,accepted for execution
5,12049,352,81,5,PICKED,picked for inspection
5,12049,352,81,5,ACCEPTED,accepted for execution
5,15055,360,207,7,PICKED,picked for inspection
5,15055,360,207,7,ACCEPTED,accepted for execution
5,19183,371,121,9,PICKED,picked for inspection
5,19183,371,121,9,ACCEPTED,accepted for execution
6,22,400,292,1,PICKED,picked for inspection
6,22,400,292,1,ACCEPTED,accepted for execution
6,402,401,113,2,PICKED,picked for inspection
6,402,401,113,2,ACCEPTED,accepted for execution
6,1531,404,360,3,PICKED,picked for inspection
6,1531,404,360,3,ACCEPTED,accepted for execution
6,3034,408,106,4,PICKED,picked for inspection
6,3034,408,106,4,ACCEPTED,accepted for execution
6,5300,414,71,5,PICKED,picked for inspection
6,5300,414,71,5,ACCEPTED,accepted for execution
6,8312,422,151,6,PICKED,picked for inspection
6,8312,422,151,6,ACCEPTED,accepted for execution
6,11690,431,186,7,PICKED,picked for inspection
6,11690,431,186,7,ACCEPTED,accepted for execution
6,15819,442,147,8,PICKED,picked for inspection
6,15819,442,147,8,ACCEPTED,accepted for execution
6,20323,454,73,10,PICKED,picked for inspection
6,20323,454,73,10,ACCEPTED,accepted for execution
7,14,480,91,1,PICKED,picked for inspection
7,14,480,91,1,ACCEPTED,accepted for execution
7,398,481,126,2,PICKED,picked for inspection
7,398,481,126,2,ACCEPTED,accepted for execution
7,1526,484,89,2,PICKED,picked for inspection
7,1526,484,89,2,ACCEPTED,accepted for execution
7,2655,487,282,4,PICKED,picked for inspection
7,2655,487,282,4,ACCEPTED,accepted for execution
7,4908,493,261,6,PICKED,picked for inspection
7,4908,493,261,6,ACCEPTED,accepted for execution
7,8288,502,20,7,PICKED,picked for inspection
7,8288,502,20,7,ACCEPTED,accepted for execution
7,12417,513,104,7,PICKED,picked for inspection
7,12417,513,104,7,ACCEPTED,accepted for execution
7,16545,524,250,9,PICKED,picked for inspection
7,16545,524,250,9,ACCEPTED,accepted for execution
7,21799,538,361,10,PICKED,picked for inspection
7,21799,538,361,10,ACCEPTED,accepted for execution
8,21,560,117,1,PICKED,picked for inspection
8,21,560,117,1,ACCEPTED,accepted for execution
8,406,561,220,3,PICKED,picked for inspection
8,406,561,220,3,ACCEPTED,accepted for execution
8,1910,565,193,4,PICKED,picked for inspection
8,1910,565,193,4,ACCEPTED,accepted for execution
8,4163,571,328,5,PICKED,picked for inspection
8,4163,571,328,5,ACCEPTED,accepted for execution
8,7168,579,203,6,PICKED,picked for inspection
8,7168,579,203,6,ACCEPTED,accepted for execution
8,10547,588,268,7,PICKED,picked for inspection
8,10547,588,268,7,ACCEPTED,accepted for execution
8,14676,599,26,9,PICKED,picked for inspection
8,14676,599,26,9,ACCEPTED,accepted for execution
8,19929,613,330,10,PICKED,picked for inspection
8,19929,613,330,10,ACCEPTED,accepted for execution
9,2,640,129,3,PICKED,picked for inspection
9,2,640,129,3,ACCEPTED,accepted for execution
9,1503,644,337,3,PICKED,picked for inspection
9,1503,644,337,3,ACCEPTED,accepted for execution
9,3010,648,112,6,PICKED,picked for inspection
9,3010,648,112,6,ACCEPTED,accepted for execution
9,6389,657,221,7,PICKED,picked for inspection
9,6389,657,221,7,ACCEPTED,accepted for execution
9,10519,668,233,8,PICKED,picked for inspection
9,10519,668,233,8,ACCEPTED,accepted for execution
