sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_183,183,1,9,FrontEnd
RandomTask_281,281,1,3,BackEnd Design FrontEnd
RandomTask_91,91,1,1,Design FrontEnd
RandomTask_54,54,1,1,FrontEnd
RandomTask_241,241,1,4,BackEnd Design
RandomTask_302,302,1,2,Design
RandomTask_20,20,1,7,BackEnd Design FrontEnd
RandomTask_361,361,1,10,BackEnd Design FrontEnd
RandomTask_170,170,1,4,BackEnd Design
RandomTask_126,126,1,2,BackEnd Design FrontEnd
RandomTask_398,398,1,7,FrontEnd
RandomTask_250,250,1,9,BackEnd Design FrontEnd
RandomTask_94,94,1,8,FrontEnd
RandomTask_213,213,1,4,Design FrontEnd
RandomTask_209,209,1,9,BackEnd
RandomTask_285,285,1,1,Design
RandomTask_270,270,1,8,BackEnd Design
RandomTask_41,41,1,6,FrontEnd
RandomTask_380,380,1,9,BackEnd FrontEnd
RandomTask_31,31,1,2,BackEnd FrontEnd
RandomTask_240,240,1,2,BackEnd FrontEnd
RandomTask_78,78,1,9,FrontEnd
RandomTask_145,145,1,9,FrontEnd
RandomTask_8,8,1,2,Design FrontEnd
RandomTask_282,282,1,4,BackEnd FrontEnd
RandomTask_152,152,1,1,FrontEnd
RandomTask_303,303,1,10,Design
RandomTask_295,295,1,7,BackEnd
RandomTask_158,158,1,10,Design
RandomTask_200,200,1,5,BackEnd
RandomTask_161,161,1,7,BackEnd FrontEnd
RandomTask_132,132,1,7,BackEnd FrontEnd
RandomTask_191,191,1,8,Design
RandomTask_196,196,1,1,FrontEnd
RandomTask_310,310,1,4,Design FrontEnd
RandomTask_371,371,1,1,BackEnd Design
RandomTask_149,149,1,3,BackEnd Design
RandomTask_247,247,1,7,BackEnd
RandomTask_89,89,1,2,BackEnd Design FrontEnd
RandomTask_144,144,1,10,Design FrontEnd
RandomTask_261,261,1,6,Design
RandomTask_104,104,1,7,BackEnd FrontEnd
RandomTask_312,312,1,4,BackEnd Design FrontEnd
RandomTask_87,87,1,9,Design
RandomTask_171,171,1,6,FrontEnd
RandomTask_354,354,1,3,Design FrontEnd
RandomTask_65,65,1,4,Design
RandomTask_141,141,1,8,Design
RandomTask_128,128,1,6,BackEnd Design FrontEnd
RandomTask_74,74,1,7,BackEnd Design
RandomTask_84,84,1,6,BackEnd Design
