sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,24,0,57,4,PICKED,picked for inspection
1,24,0,57,4,ACCEPTED,accepted for execution
1,3033,8,339,6,PICKED,picked for inspection
1,3033,8,339,6,ACCEPTED,accepted for execution
2,20,80,289,2,PICKED,picked for inspection
2,20,80,289,2,ACCEPTED,accepted for execution
2,1147,83,79,2,PICKED,picked for inspection
2,1147,83,79,2,ACCEPTED,accepted for execution
2,3027,88,245,6,PICKED,picked for inspection
2,3027,88,245,6,ACCEPTED,accepted for execution
2,6406,97,159,7,PICKED,picked for inspection
2,6406,97,159,7,ACCEPTED,accepted for execution
2,10535,108,86,10,PICKED,picked for inspection
2,10535,108,86,10,ACCEPTED,accepted for execution
2,16539,124,341,6,PICKED,picked for inspection
2,16539,124,341,6,ACCEPTED,accepted for execution
3,7,160,342,1,PICKED,picked for inspection
3,7,160,342,1,ACCEPTED,accepted for execution
3,385,161,269,3,PICKED,picked for inspection
3,385,161,269,3,ACCEPTED,accepted for execution
3,1887,165,43,4,PICKED,picked for inspection
3,1887,165,43,4,ACCEPTED,accepted for execution
3,4141,171,316,4,PICKED,picked for inspection
3,4141,171,316,4,ACCEPTED,accepted for execution
3,7893,181,123,10,PICKED,picked for inspection
3,7893,181,123,10,ACCEPTED,accepted for execution
3,13896,197,96,7,PICKED,picked for inspection
3,13896,197,96,7,ACCEPTED,accepted for execution
4,23,240,368,1,PICKED,picked for inspection
4,23,240,368,1,ACCEPTED,accepted for execution
4,399,241,58,1,PICKED,picked for inspection
4,399,241,58,1,ACCEPTED,accepted for execution
4,1152,243,275,3,PICKED,picked for inspection
4,1152,243,275,3,ACCEPTED,accepted for execution
4,2655,247,25,4,PICKED,picked for inspection
4,2655,247,25,4,ACCEPTED,accepted for execution
4,4907,253,332,5,PICKED,picked for inspection
4,4907,253,332,5,ACCEPTED,accepted for execution
4,7917,261,277,4,PICKED,picked for inspection
4,7917,261,277,4,ACCEPTED,accepted for execution
4,10171,267,153,4,PICKED,picked for inspection
4,10171,267,153,4,ACCEPTED,accepted for execution
4,12424,273,39,5,PICKED,picked for inspection
4,12424,273,39,5,ACCEPTED,accepted for execution
4,15428,281,259,9,PICKED,picked for inspection
4,15428,281,259,9,ACCEPTED,accepted for execution
5,15,320,353,3,PICKED,picked for inspection
5,15,320,353,3,ACCEPTED,accepted for execution
5,1517,324,75,5,PICKED,picked for inspection
5,1517,324,75,5,ACCEPTED,accepted for execution
5,4521,332,214,6,PICKED,picked for inspection
5,4521,332,214,6,ACCEPTED,accepted for execution
5,7900,341,15,8,PICKED,picked for inspection
5,7900,341,15,8,ACCEPTED,accepted for execution
5,12403,353,345,6,PICKED,picked for inspection
5,12403,353,345,6,ACCEPTED,accepted for execution
5,17289,366,334,10,PICKED,picked for inspection
5,17289,366,334,10,ACCEPTED,accepted for execution
6,0,400,204,1,PICKED,picked for inspection
6,0,400,204,1,ACCEPTED,accepted for execution
6,384,401,83,3,PICKED,picked for inspection
6,384,401,83,3,ACCEPTED,accepted for execution
6,1887,405,110,6,PICKED,picked for inspection
6,1887,405,110,6,ACCEPTED,accepted for execution
6,5265,414,68,7,PICKED,picked for inspection
6,5265,414,68,7,ACCEPTED,accepted for execution
6,9394,425,181,8,PICKED,picked for inspection
6,9394,425,181,8,ACCEPTED,accepted for execution
6,13897,437,288,10,PICKED,picked for inspection
6,13897,437,288,10,ACCEPTED,accepted for execution
6,19900,453,44,10,PICKED,picked for inspection
6,19900,453,44,10,ACCEPTED,accepted for execution
7,13,480,180,2,PICKED,picked for inspection
7,13,480,180,2,ACCEPTED,accepted for execution
7,1142,483,36,3,PICKED,picked for inspection
7,1142,483,36,3,ACCEPTED,accepted for execution
7,2647,487,42,5,PICKED,picked for inspection
7,2647,487,42,5,ACCEPTED,accepted for execution
7,5655,495,382,7,PICKED,picked for inspection
7,5655,495,382,7,ACCEPTED,accepted for execution
7,9782,506,10,8,PICKED,picked for inspection
7,9782,506,10,8,ACCEPTED,accepted for execution
7,14285,518,205,9,PICKED,picked for inspection
7,14285,518,205,9,ACCEPTED,accepted for execution
7,19537,532,121,9,PICKED,picked for inspection
7,19537,532,121,9,ACCEPTED,accepted for execution
8,10,560,351,2,PICKED,picked for inspection
8,10,560,351,2,ACCEPTED,accepted for execution
8,1141,563,302,2,PICKED,picked for inspection
8,1141,563,302,2,ACCEPTED,accepted for execution
8,2269,566,64,5,PICKED,picked for inspection
8,2269,566,64,5,ACCEPTED,accepted for execution
8,5273,574,146,6,PICKED,picked for inspection
8,5273,574,146,6,ACCEPTED,accepted for execution
8,8651,583,378,8,PICKED,picked for inspection
8,8651,583,378,8,ACCEPTED,accepted for execution
8,13154,595,257,9,PICKED,picked for inspection
8,13154,595,257,9,ACCEPTED,accepted for execution
8,18406,609,320,6,PICKED,picked for inspection
8,18406,609,320,6,ACCEPTED,accepted for execution
8,22534,620,251,8,PICKED,picked for inspection
8,22534,620,251,8,ACCEPTED,accepted for execution
9,23,640,149,3,PICKED,picked for inspection
9,23,640,149,3,ACCEPTED,accepted for execution
9,1525,644,200,5,PICKED,picked for inspection
9,1525,644,200,5,ACCEPTED,accepted for execution
9,4529,652,247,7,PICKED,picked for inspection
9,4529,652,247,7,ACCEPTED,accepted for execution
9,8666,663,141,8,PICKED,picked for inspection
9,8666,663,141,8,ACCEPTED,accepted for execution
9,13168,675,303,10,PICKED,picked for inspection
9,13168,675,303,10,ACCEPTED,accepted for execution
9,19171,691,20,7,PICKED,picked for inspection
9,19171,691,20,7,ACCEPTED,accepted for execution
10,0,720,267,1,PICKED,picked for inspection
10,0,720,267,1,ACCEPTED,accepted for execution
10,386,721,139,3,PICKED,picked for inspection
10,386,721,139,3,ACCEPTED,accepted for execution
10,1890,725,97,3,PICKED,picked for inspection
10,1890,725,97,3,ACCEPTED,accepted for execution
10,3392,729,328,5,PICKED,picked for inspection
10,3392,729,328,5,ACCEPTED,accepted for execution
10,6396,737,74,7,PICKED,picked for inspection
10,6396,737,74,7,ACCEPTED,accepted for execution
10,10523,748,143,8,PICKED,picked for inspection
10,10523,748,143,8,ACCEPTED,accepted for execution
10,15027,760,296,9,PICKED,picked for inspection
10,15027,760,296,9,ACCEPTED,accepted for execution
10,20280,774,229,10,PICKED,picked for inspection
10,20280,774,229,10,ACCEPTED,accepted for execution
11,23,800,129,3,PICKED,picked for inspection
11,23,800,129,3,ACCEPTED,accepted for execution
11,1526,804,182,3,PICKED,picked for inspection
11,1526,804,182,3,ACCEPTED,accepted for execution
11,3029,808,309,7,PICKED,picked for inspection
11,3029,808,309,7,ACCEPTED,accepted for execution
11,7156,819,212,10,PICKED,picked for inspection
11,7156,819,212,10,ACCEPTED,accepted for execution
11,13157,835,112,6,PICKED,picked for inspection
11,13157,835,112,6,ACCEPTED,accepted for execution
11,17285,846,105,8,PICKED,picked for inspection
11,17285,846,105,8,ACCEPTED,accepted for execution
