sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,1,0,13,1,PICKED,picked for inspection
1,1,0,13,1,ACCEPTED,accepted for execution
1,3005,8,195,9,PICKED,picked for inspection
1,3005,8,195,9,ACCEPTED,accepted for execution
2,0,80,324,1,PICKED,picked for inspection
2,0,80,324,1,ACCEPTED,accepted for execution
2,3002,88,366,5,PICKED,picked for inspection
2,3002,88,366,5,ACCEPTED,accepted for execution
3,23,160,286,5,PICKED,picked for inspection
3,23,160,286,5,ACCEPTED,accepted for execution
4,22,240,43,4,PICKED,picked for inspection
4,22,240,43,4,ACCEPTED,accepted for execution
5,0,320,342,1,PICKED,picked for inspection
5,0,320,342,1,ACCEPTED,accepted for execution
5,3010,328,167,4,PICKED,picked for inspection
5,3010,328,167,4,ACCEPTED,accepted for execution
6,20,400,368,1,PICKED,picked for inspection
6,20,400,368,1,ACCEPTED,accepted for execution
6,3026,408,153,4,PICKED,picked for inspection
6,3026,408,153,4,ACCEPTED,accepted for execution
7,0,480,379,1,PICKED,picked for inspection
7,0,480,379,1,ACCEPTED,accepted for execution
7,3012,488,315,3,PICKED,picked for inspection
7,3012,488,315,3,ACCEPTED,accepted for execution
7,12016,512,346,8,PICKED,picked for inspection
7,12016,512,346,8,REJECTED,Weiwei cannot finish task within the remaining time
7,12016,512,304,8,PICKED,picked for inspection
7,12016,512,304,8,REJECTED,Weiwei cannot finish task within the remaining time
7,12016,512,397,7,PICKED,picked for inspection
7,12016,512,397,7,REJECTED,Weiwei cannot finish task within the remaining time
7,12016,512,116,10,PICKED,picked for inspection
7,12016,512,116,10,REJECTED,Weiwei cannot finish task within the remaining time
7,12016,512,272,9,PICKED,picked for inspection
7,12016,512,272,9,REJECTED,Weiwei cannot finish task within the remaining time
7,12016,512,276,10,PICKED,picked for inspection
7,12016,512,276,10,REJECTED,Weiwei cannot finish task within the remaining time
7,12016,512,346,8,PICKED,no other tasks could be accepted-trying to break this task
7,12016,512,346,6,ACCEPTED,broke task into smaller parts-accepted for execution
7,12016,512,346,6,ACCEPTED,accepted for execution
8,18,560,326,2,PICKED,picked for inspection
8,18,560,326,2,ACCEPTED,accepted for execution
8,6020,576,124,7,PICKED,picked for inspection
8,6020,576,124,7,ACCEPTED,accepted for execution
9,13,640,237,3,PICKED,picked for inspection
9,13,640,237,3,ACCEPTED,accepted for execution
9,9020,664,46,7,PICKED,picked for inspection
9,9020,664,46,7,ACCEPTED,accepted for execution
10,17,720,314,1,PICKED,picked for inspection
10,17,720,314,1,ACCEPTED,accepted for execution
10,3020,728,365,3,PICKED,picked for inspection
10,3020,728,365,3,ACCEPTED,accepted for execution
10,12023,752,230,9,PICKED,picked for inspection
10,12023,752,230,9,ACCEPTED,accepted for execution
10,21026,776,176,10,PICKED,picked for inspection
10,21026,776,176,10,REJECTED,Weiwei cannot finish task within the remaining time
10,21026,776,176,10,PICKED,no other tasks could be accepted-trying to break this task
10,21026,776,176,6,ACCEPTED,broke task into smaller parts-accepted for execution
10,21026,776,176,6,ACCEPTED,accepted for execution
11,42,800,180,2,PICKED,picked for inspection
11,42,800,180,2,ACCEPTED,accepted for execution
11,1927,805,234,3,PICKED,picked for inspection
11,1927,805,234,3,ACCEPTED,accepted for execution
11,4931,813,157,8,PICKED,picked for inspection
11,4931,813,157,8,ACCEPTED,accepted for execution
11,12809,834,215,10,PICKED,picked for inspection
11,12809,834,215,10,ACCEPTED,accepted for execution
12,23,880,19,2,PICKED,picked for inspection
12,23,880,19,2,ACCEPTED,accepted for execution
12,1901,885,146,6,PICKED,picked for inspection
12,1901,885,146,6,ACCEPTED,accepted for execution
12,7903,901,147,8,PICKED,picked for inspection
12,7903,901,147,8,ACCEPTED,accepted for execution
13,34,960,302,2,PICKED,picked for inspection
13,34,960,302,2,ACCEPTED,accepted for execution
13,1920,965,71,5,PICKED,picked for inspection
13,1920,965,71,5,ACCEPTED,accepted for execution
13,6799,978,94,8,PICKED,picked for inspection
13,6799,978,94,8,ACCEPTED,accepted for execution
13,14676,999,145,9,PICKED,picked for inspection
13,14676,999,145,9,ACCEPTED,accepted for execution
14,2,1040,371,1,PICKED,picked for inspection
14,2,1040,371,1,ACCEPTED,accepted for execution
14,753,1042,336,3,PICKED,picked for inspection
14,753,1042,336,3,ACCEPTED,accepted for execution
14,3753,1050,383,6,PICKED,picked for inspection
14,3753,1050,383,6,ACCEPTED,accepted for execution
14,9754,1066,191,8,PICKED,picked for inspection
14,9754,1066,191,8,ACCEPTED,accepted for execution
14,17629,1087,158,10,PICKED,picked for inspection
14,17629,1087,158,10,ACCEPTED,accepted for execution
15,0,1120,24,1,PICKED,picked for inspection
15,0,1120,24,1,ACCEPTED,accepted for execution
15,751,1122,125,3,PICKED,picked for inspection
15,751,1122,125,3,ACCEPTED,accepted for execution
15,3752,1130,190,5,PICKED,picked for inspection
15,3752,1130,190,5,ACCEPTED,accepted for execution
15,8627,1143,143,8,PICKED,picked for inspection
15,8627,1143,143,8,ACCEPTED,accepted for execution
15,16502,1164,60,10,PICKED,picked for inspection
15,16502,1164,60,10,ACCEPTED,accepted for execution
16,1,1200,335,1,PICKED,picked for inspection
16,1,1200,335,1,ACCEPTED,accepted for execution
16,752,1202,182,3,PICKED,picked for inspection
16,752,1202,182,3,ACCEPTED,accepted for execution
16,3763,1210,37,6,PICKED,picked for inspection
16,3763,1210,37,6,ACCEPTED,accepted for execution
16,9768,1226,235,7,PICKED,picked for inspection
16,9768,1226,235,7,ACCEPTED,accepted for execution
