sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_211,211,1,2,3,Design FrontEnd
RandomTask_173,173,1,3,2,Design
RandomTask_134,134,1,3,1,BackEnd FrontEnd
RandomTask_342,342,1,1,4,Design
RandomTask_122,122,1,1,7,BackEnd FrontEnd
RandomTask_329,329,1,4,1,BackEnd FrontEnd
RandomTask_246,246,1,5,3,BackEnd
RandomTask_277,277,1,4,1,BackEnd Design
RandomTask_325,325,1,5,3,BackEnd Design
RandomTask_123,123,1,10,2,Design
RandomTask_260,260,1,3,6,Design
RandomTask_239,239,1,10,1,Design
RandomTask_61,61,1,9,2,BackEnd Design
RandomTask_222,222,1,10,3,BackEnd
RandomTask_115,115,1,3,1,BackEnd Design FrontEnd
RandomTask_167,167,1,4,4,Design FrontEnd
RandomTask_316,316,1,4,7,BackEnd FrontEnd
RandomTask_115,115,1,7,6,BackEnd Design FrontEnd
