sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,19,0,195,9,start,0.1,21.0,0.1
1,5270,14,195,9,end,0.1,22.35,0.1
1,5284,14,367,8,start,0.1,22.35,0.1
1,13159,35,367,8,end,0.1,23.55,1.3
2,20,80,352,1,start,0.1,23.55,1.3
2,3021,88,352,1,end,0.25,23.55,1.45
2,3025,88,390,4,start,0.25,23.55,1.45
2,6775,98,390,4,end,0.25,24.150000000000002,2.05
2,6777,98,198,6,start,0.25,24.150000000000002,2.05
2,12778,114,198,6,end,0.25,25.05,2.9499999999999997
2,12781,114,308,10,start,0.25,25.05,2.9499999999999997
2,25531,148,308,10,end,1.75,26.55,4.449999999999999
3,29,160,185,3,start,1.75,26.55,4.449999999999999
3,1529,164,185,3,end,1.75,27.0,4.449999999999999
3,1533,164,387,2,start,1.75,27.0,4.449999999999999
3,3783,170,387,2,end,2.05,27.3,4.749999999999999
3,3785,170,167,4,start,2.05,27.3,4.749999999999999
3,7535,180,167,4,end,2.05,27.900000000000002,5.349999999999999
3,7539,180,225,8,start,2.05,27.900000000000002,5.349999999999999
3,13539,196,225,8,end,2.05,29.1,6.549999999999999
3,13542,196,49,9,start,2.05,29.1,6.549999999999999
3,22542,220,49,9,end,3.3999999999999995,30.0,6.549999999999999
4,20,240,315,3,start,3.3999999999999995,30.0,6.549999999999999
4,1520,244,315,3,end,3.3999999999999995,30.0,6.549999999999999
4,1523,244,29,5,start,3.3999999999999995,30.0,6.549999999999999
4,4523,252,29,5,end,3.3999999999999995,30.0,6.549999999999999
4,4527,252,253,9,start,3.3999999999999995,30.0,6.549999999999999
4,9777,266,253,9,end,3.3999999999999995,30.0,6.549999999999999
4,9779,266,130,6,start,3.3999999999999995,30.0,6.549999999999999
4,15780,282,130,6,end,4.299999999999999,30.0,6.549999999999999
4,15781,282,276,10,start,4.299999999999999,30.0,6.549999999999999
4,23282,302,276,10,end,4.299999999999999,30.0,8.049999999999999
5,24,320,201,5,start,4.299999999999999,30.0,8.049999999999999
5,3024,328,201,5,end,4.299999999999999,30.0,8.049999999999999
5,3027,328,348,6,start,4.299999999999999,30.0,8.049999999999999
5,6403,337,348,6,end,4.299999999999999,30.0,8.049999999999999
5,6405,337,279,8,start,4.299999999999999,30.0,8.049999999999999
5,10906,349,279,8,end,4.299999999999999,30.0,8.049999999999999
5,10909,349,293,5,start,4.299999999999999,30.0,8.049999999999999
5,15785,362,293,5,end,5.049999999999999,30.0,8.049999999999999
5,15788,362,343,9,start,5.049999999999999,30.0,8.049999999999999
5,22538,380,343,9,end,6.399999999999999,30.0,8.049999999999999
6,14,400,111,4,start,6.399999999999999,30.0,8.049999999999999
6,2265,406,111,4,end,6.399999999999999,30.0,8.049999999999999
6,2267,406,314,1,start,6.399999999999999,30.0,8.049999999999999
6,3017,408,314,1,end,6.549999999999999,30.0,8.2
6,3019,408,22,3,start,6.549999999999999,30.0,8.2
6,5270,414,22,3,end,6.999999999999999,30.0,8.2
6,5275,414,238,3,start,6.999999999999999,30.0,8.2
6,7525,420,238,3,end,7.449999999999999,30.0,8.649999999999999
6,7528,420,194,5,start,7.449999999999999,30.0,8.649999999999999
6,11278,430,194,5,end,7.449999999999999,30.0,9.399999999999999
6,11281,430,188,7,start,7.449999999999999,30.0,9.399999999999999
6,16531,444,188,7,end,7.449999999999999,30.0,10.45
6,16534,444,377,5,start,7.449999999999999,30.0,10.45
6,20284,454,377,5,end,8.2,30.0,11.2
7,13,480,59,1,start,8.2,30.0,11.2
7,389,481,59,1,end,8.2,30.0,11.2
7,391,481,27,4,start,8.2,30.0,11.2
7,2642,487,27,4,end,8.2,30.0,11.2
7,2644,487,321,1,start,8.2,30.0,11.2
7,3394,489,321,1,end,8.35,30.0,11.2
7,3397,489,162,1,start,8.35,30.0,11.2
7,4147,491,162,1,end,8.5,30.0,11.35
7,4149,491,127,2,start,8.5,30.0,11.35
7,5650,495,127,2,end,8.5,30.0,11.65
7,5652,495,93,3,start,8.5,30.0,11.65
7,7902,501,93,3,end,8.5,30.0,12.1
7,7904,501,72,5,start,8.5,30.0,12.1
7,11654,511,72,5,end,8.5,30.0,12.85
7,11657,511,81,5,start,8.5,30.0,12.85
7,15407,521,81,5,end,9.25,30.0,13.6
7,15411,521,375,9,start,9.25,30.0,13.6
7,22162,539,375,9,end,10.6,30.0,13.6
8,15,560,54,1,start,10.6,30.0,13.6
8,390,561,54,1,end,10.6,30.0,13.6
8,392,561,392,9,start,10.6,30.0,13.6
8,5642,575,392,9,end,10.6,30.0,13.6
8,5644,575,360,3,start,10.6,30.0,13.6
8,7895,581,360,3,end,11.049999999999999,30.0,13.6
8,7897,581,63,5,start,11.049999999999999,30.0,13.6
8,11648,591,63,5,end,11.799999999999999,30.0,13.6
8,11649,591,98,6,start,11.799999999999999,30.0,13.6
8,16150,603,98,6,end,12.7,30.0,13.6
8,16153,603,318,6,start,12.7,30.0,13.6
8,20654,615,318,6,end,13.6,30.0,13.6
8,20656,615,372,10,start,13.6,30.0,13.6
8,28156,635,372,10,end,13.6,30.0,15.1
9,12,640,152,1,start,13.6,30.0,15.1
9,389,641,152,1,end,13.6,30.0,15.1
9,391,641,171,6,start,13.6,30.0,15.1
9,3766,650,171,6,end,13.6,30.0,15.1
9,3769,650,78,9,start,13.6,30.0,15.1
9,9019,664,78,9,end,13.6,30.0,15.1
9,9022,664,240,2,start,13.6,30.0,15.1
9,10522,668,240,2,end,13.9,30.0,15.1
9,10525,668,89,2,start,13.9,30.0,15.1
9,12025,672,89,2,end,14.200000000000001,30.0,15.4
9,12028,672,282,4,start,14.200000000000001,30.0,15.4
9,15029,680,282,4,end,14.8,30.0,15.4
9,15031,680,161,7,start,14.8,30.0,15.4
9,20282,694,161,7,end,15.850000000000001,30.0,15.4
9,20284,694,380,9,start,15.850000000000001,30.0,15.4
9,27035,712,380,9,end,17.200000000000003,30.0,15.4
10,13,720,117,1,start,17.200000000000003,30.0,15.4
10,389,721,117,1,end,17.200000000000003,30.0,15.4
10,393,721,203,6,start,17.200000000000003,30.0,15.4
10,3769,730,203,6,end,17.200000000000003,30.0,15.4
10,3772,730,336,3,start,17.200000000000003,30.0,15.4
10,6022,736,336,3,end,17.650000000000002,30.0,15.4
10,6025,736,175,4,start,17.650000000000002,30.0,15.4
10,9025,744,175,4,end,17.650000000000002,30.0,16.0
10,9027,744,133,6,start,17.650000000000002,30.0,16.0
