sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,11,0,70,5,start,21.0,21.0,21.0
1,3011,8,70,5,end,21.75,21.75,21.0
1,3014,8,253,9,start,21.75,21.75,21.0
1,8265,22,253,9,end,21.75,23.1,21.0
2,26,80,80,10,start,21.75,23.1,21.0
2,6026,96,80,10,end,23.25,24.6,21.0
2,6029,96,31,2,start,23.25,24.6,21.0
2,7155,99,31,2,end,23.55,24.900000000000002,21.0
2,7158,99,124,7,start,23.55,24.900000000000002,21.0
2,11283,110,124,7,end,24.6,24.900000000000002,21.0
2,11287,110,23,10,start,24.6,24.900000000000002,21.0
2,17287,126,23,10,end,24.6,24.900000000000002,22.5
2,17291,126,243,3,start,24.6,24.900000000000002,22.5
2,18791,130,243,3,end,24.6,25.35,22.5
2,18794,130,94,8,start,24.6,25.35,22.5
2,23294,142,94,8,end,24.6,26.55,22.5
3,23,160,278,9,start,24.6,26.55,22.5
3,5274,174,278,9,end,25.950000000000003,27.900000000000002,23.85
3,5277,174,319,5,start,25.950000000000003,27.900000000000002,23.85
3,8277,182,319,5,end,25.950000000000003,28.650000000000002,24.6
3,8280,182,329,4,start,25.950000000000003,28.650000000000002,24.6
3,10530,188,329,4,end,26.550000000000004,29.250000000000004,24.6
3,10535,188,368,1,start,26.550000000000004,29.250000000000004,24.6
3,10910,189,368,1,end,26.700000000000003,29.250000000000004,24.75
3,10914,189,322,1,start,26.700000000000003,29.250000000000004,24.75
3,11290,190,322,1,end,26.85,29.400000000000002,24.75
3,11300,190,61,9,start,26.85,29.400000000000002,24.75
3,16550,204,61,9,end,28.200000000000003,29.400000000000002,26.1
3,16553,204,282,4,start,28.200000000000003,29.400000000000002,26.1
3,18803,210,282,4,end,28.800000000000004,30.0,26.1
3,18807,210,200,5,start,28.800000000000004,30.0,26.1
3,21807,218,200,5,end,29.550000000000004,30.0,26.1
3,21812,218,53,3,start,29.550000000000004,30.0,26.1
3,23313,222,53,3,end,29.550000000000004,30.0,26.55
3,23315,222,391,2,start,29.550000000000004,30.0,26.55
3,24440,225,391,2,end,29.550000000000004,30.0,26.85
3,24444,225,147,8,start,29.550000000000004,30.0,26.85
3,28944,237,147,8,end,29.550000000000004,30.0,28.05
4,26,240,113,2,start,29.550000000000004,30.0,28.05
4,1152,243,113,2,end,29.850000000000005,30.0,28.35
4,1155,243,149,3,start,29.850000000000005,30.0,28.35
4,2656,247,149,3,end,30.0,30.0,28.8
4,2663,247,163,7,start,30.0,30.0,28.8
4,6789,258,163,7,end,30.0,30.0,29.85
4,6792,258,381,3,start,30.0,30.0,29.85
4,8292,262,381,3,end,30.0,30.0,30.0
4,8295,262,380,9,start,30.0,30.0,30.0
